seed,batch_size,hidden_size,dropout,rmse,mae,train_time,inference_time,best_epoch,plot_path
123,4,64,0.0,62.66751769008806,37.00802993774414,64.61656403541565,0.016999006271362305,9,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.0.png
123,4,64,0.1,64.17360030855757,38.23360824584961,68.56523060798645,0.015997886657714844,64,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.1.png
123,4,64,0.2,62.040516074301195,37.450035095214844,69.27448844909668,0.01599740982055664,173,grid_search_plots/seed_123/mlp_bs4_hs64_dr0.2.png
123,8,32,0.0,67.92306294969883,49.639957427978516,35.38276147842407,0.01900005340576172,6,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.0.png
123,8,32,0.1,60.011160257644995,32.60173416137695,37.982205629348755,0.017999887466430664,64,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.1.png
123,8,32,0.2,63.52005481169904,37.877559661865234,37.507800817489624,0.01799774169921875,81,grid_search_plots/seed_123/mlp_bs8_hs32_dr0.2.png
123,8,64,0.0,67.92306294969883,49.639957427978516,35.62719535827637,0.015999794006347656,6,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.0.png
123,8,64,0.1,60.011160257644995,32.60173416137695,37.43023467063904,0.017000436782836914,64,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.1.png
123,8,64,0.2,63.52005481169904,37.877559661865234,37.483078956604004,0.016997337341308594,81,grid_search_plots/seed_123/mlp_bs8_hs64_dr0.2.png
123,16,32,0.0,61.651278388636236,40.80964279174805,20.902608156204224,0.01799798011779785,11,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.0.png
123,16,32,0.1,59.70184709768199,32.41801071166992,22.154760599136353,0.019000768661499023,76,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.1.png
123,16,32,0.2,62.920016424003535,36.7531623840332,22.059314966201782,0.016000032424926758,148,grid_search_plots/seed_123/mlp_bs16_hs32_dr0.2.png
123,16,64,0.0,61.651278388636236,40.80964279174805,20.74701762199402,0.01799774169921875,11,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.0.png
123,16,64,0.1,59.70184709768199,32.41801071166992,21.965707540512085,0.01699995994567871,76,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.1.png
123,16,64,0.2,62.920016424003535,36.7531623840332,21.9316668510437,0.017999649047851562,148,grid_search_plots/seed_123/mlp_bs16_hs64_dr0.2.png
123,32,32,0.0,66.3139395166563,47.74436950683594,13.008851289749146,0.015999794006347656,19,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.0.png
123,32,32,0.1,78.20218999191295,56.04922103881836,14.026288747787476,0.018285751342773438,30,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.1.png
123,32,32,0.2,58.12280531810965,35.005470275878906,13.829678297042847,0.017000198364257812,17,grid_search_plots/seed_123/mlp_bs32_hs32_dr0.2.png
123,32,64,0.0,66.3139395166563,47.74436950683594,13.173651456832886,0.016000032424926758,19,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.0.png
123,32,64,0.1,78.20218999191295,56.04922103881836,13.947765111923218,0.016000032424926758,30,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.1.png
123,32,64,0.2,58.12280531810965,35.005470275878906,13.866760015487671,0.015997648239135742,17,grid_search_plots/seed_123/mlp_bs32_hs64_dr0.2.png
2024,4,32,0.0,63.16461280295221,37.191558837890625,64.59452390670776,0.015999794006347656,72,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.0.png
2024,4,32,0.1,63.86926841028966,37.79987716674805,68.87911534309387,0.015997648239135742,53,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.1.png
2024,4,32,0.2,57.44412196593747,31.05382537841797,69.67767977714539,0.014999866485595703,849,grid_search_plots/seed_2024/mlp_bs4_hs32_dr0.2.png
