window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
91,-0.44287702,0.41884172,-0.74881387,1.5661386,-0.6943444,-0.6126402,0.0028173863,-13.286311
92,-0.44106135,0.41786465,-0.74881387,1.5661386,-0.42199704,-0.63987494,-0.007513031,-13.23184
93,-0.44832394,0.41936085,-0.74881387,1.5661386,-0.5037012,-0.63987494,-0.0046956455,-13.449718
94,-0.44741616,0.41926947,-0.74881387,1.5661386,-0.34029284,-0.4764665,-0.0046956437,-13.422484
95,-0.45195523,0.41882205,-0.74881387,1.5661386,-0.6943444,-0.4764665,0.007513031,-13.558657
96,-0.4356144,0.41860947,-0.74881387,1.5661386,-0.6943444,-0.20411916,0.016904319,-13.068432
97,-0.41291875,0.42240673,-0.74881387,1.5661386,-0.31305808,-0.01347601,0.010330416,-12.387563
98,-0.40837967,0.4241833,-0.74881387,1.5661386,-0.6126402,-0.17688441,0.015026062,-12.25139
99,-0.4029327,0.4225716,-0.74881387,1.5661386,-0.06794548,-0.44923177,-0.013147803,-12.087981
100,-0.4247205,0.4215875,-0.74881387,1.5661386,-0.72157913,-0.72157913,0.0,-12.741615
101,-0.4247206,0.4215875,-0.74881387,1.5661386,-0.72157913,-0.72157913,0.0,-12.741617
102,-0.4247206,0.42158753,-0.74881387,1.5661386,-0.2313539,-0.72157913,-0.016904319,-12.741617
103,-0.42381275,0.422032,-0.74881387,1.5661386,-0.14964968,-0.20411916,-0.001878258,-12.714382
104,-0.42562836,0.42096442,-0.74881387,1.5661386,-0.28582335,-0.20411916,0.0028173856,-12.768851
105,-0.42562833,0.42096442,-0.74881387,1.5661386,1.5661386,-0.28582335,-0.06386076,-12.76885
106,-0.50097775,0.2042121,-0.74881387,-0.01347601,-0.58540547,-0.6943444,-0.003756515,-15.029332
107,-0.50097775,0.2042121,-0.74881387,-0.01347601,-0.5037012,-0.58540547,-0.0028173882,-15.029332
108,-0.5055169,0.20572996,-0.74881387,-0.01347601,-0.34029284,-0.63987494,-0.010330417,-15.165506
109,-0.52367336,0.21420814,-0.88498753,-0.01347601,-0.6126402,-0.88498753,-0.009391287,-15.7102
110,-0.52185774,0.21367651,-0.88498753,-0.01347601,-0.4764665,-0.5581707,-0.0028173851,-15.655732
111,-0.5136873,0.21985291,-0.88498753,-0.01347601,-0.4764665,-0.2313539,0.008452159,-15.410619
112,-0.5173186,0.22010767,-0.88498753,-0.01347601,-0.63987494,-0.58540547,0.0018782575,-15.519559
113,-0.52185774,0.22395867,-0.88498753,-0.01347601,-0.17688441,-0.7760486,-0.020660834,-15.655732
114,-0.5354751,0.21480173,-0.88498753,-0.01347601,-0.5581707,-0.58540547,-0.0009391308,-16.064253
115,-0.5318438,0.21530758,-0.88498753,-0.01347601,-0.72157913,-0.44923177,0.009391288,-15.955314
116,-0.5173186,0.21671163,-0.88498753,-0.01347601,-0.74881387,-0.28582335,0.01596519,-15.519558
117,-0.5018856,0.21616139,-0.88498753,-0.01347601,-0.63987494,-0.28582335,0.012208676,-15.056568
118,-0.48645264,0.222202,-0.88498753,-0.01347601,-0.72157913,-0.17688441,0.018782577,-14.593579
119,-0.4682961,0.2244898,-0.88498753,-0.01347601,-0.58540547,-0.17688441,0.014086933,-14.048883
120,-0.4682961,0.2244898,-0.88498753,-0.01347601,-0.6126402,-0.58540547,0.00093912875,-14.048883
121,-0.47374305,0.22984459,-0.88498753,-0.01347601,-0.63987494,-0.7760486,-0.0046956437,-14.212292
122,-0.44832394,0.25123787,-0.88498753,0.12269767,-0.63987494,0.12269767,0.026295606,-13.449718
123,-0.43743002,0.24977714,-0.88498753,0.12269767,-0.4764665,-0.31305808,0.0056347735,-13.122901
124,-0.38205275,0.383403,-0.88498753,1.1848524,-0.4764665,1.1848524,0.05728686,-11.461582
125,-0.34664756,0.42031488,-0.88498753,1.1848524,-0.20411916,0.5856882,0.027234735,-10.399426
126,-0.32849112,0.43749323,-0.88498753,1.1848524,-0.01347601,0.34057555,0.012208674,-9.854733
127,-0.3076111,0.46604568,-0.88498753,1.1848524,-0.17688441,0.6129229,0.027234735,-9.228333
128,-0.30488768,0.46703932,-0.88498753,1.1848524,-0.44923177,-0.09518021,0.012208674,-9.14663
129,-0.27765292,0.48142868,-0.88498753,1.1848524,-0.72157913,0.36781028,0.037565153,-8.329588
130,-0.2340774,0.49814758,-0.88498753,1.1848524,-0.72157913,0.5856882,0.045078184,-7.0223217
131,-0.1805157,0.52832264,-0.88498753,1.1848524,-0.72157913,0.88527024,0.0554086,-5.415471
132,-0.10970541,0.58983725,-0.88498753,1.4027302,-0.20411916,1.4027302,0.0554086,-3.2911623
133,-0.08791762,0.5979636,-0.88498753,1.4027302,-0.20411916,0.44951448,0.022539092,-2.6375287
134,-0.092456765,0.59934366,-0.88498753,1.4027302,-0.28582335,-0.34029284,-0.0018782585,-2.7737029
135,-0.083378516,0.59840786,-0.88498753,1.4027302,-0.6943444,-0.01347601,0.023478221,-2.5013554
136,-0.08337851,0.59840786,-0.88498753,1.4027302,-0.58540547,-0.6943444,-0.003756515,-2.5013552
137,-0.08973328,0.6046847,-0.88498753,1.4027302,-0.63987494,-0.7760486,-0.0046956437,-2.6919985
138,-0.048881173,0.60752994,-0.88498753,1.4027302,-0.88498753,0.5856882,0.050712954,-1.4664352
139,-0.013476026,0.5884216,-0.7760486,1.4027302,-0.5581707,0.17716713,0.025356475,-0.40428078
140,-0.0053055957,0.5824733,-0.7760486,1.4027302,-0.2313539,-0.31305808,-0.0028173856,-0.15916787
141,-0.009844727,0.5847433,-0.7760486,1.4027302,-0.58540547,-0.36752757,0.007513031,-0.29534182
142,-0.009844718,0.58474326,-0.7760486,1.4027302,-0.7760486,-0.58540547,0.006573901,-0.29534152
143,0.0010491719,0.57329965,-0.7760486,1.4027302,-0.58540547,-0.44923177,0.0046956446,0.031475157
144,0.0019570033,0.5723911,-0.7760486,1.4027302,-0.44923177,-0.5581707,-0.0037565138,0.0587101
145,0.0019570023,0.5723911,-0.7760486,1.4027302,-0.28582335,-0.44923177,-0.0056347735,0.05871007
146,-0.0053055855,0.57735705,-0.7760486,1.4027302,-0.28582335,-0.5037012,-0.00751303,-0.15916756
147,-0.0053055803,0.57735705,-0.7760486,1.4027302,-0.17688441,-0.28582335,-0.003756515,-0.15916741
148,-0.015291658,0.58280355,-0.7760486,1.4027302,-0.17688441,-0.4764665,-0.010330417,-0.45874974
149,-0.03435598,0.59696007,-0.7760486,1.4027302,-0.58540547,-0.74881387,-0.0056347726,-1.0306793
150,-0.029816855,0.593259,-0.7760486,1.4027302,-0.7760486,-0.44923177,0.011269546,-0.8945056
151,-0.02255425,0.5853603,-0.7760486,1.4027302,0.12269767,-0.5581707,-0.023478217,-0.6766275
152,-0.029816853,0.5848645,-0.7760486,1.4027302,-0.31305808,-0.09518021,0.00751303,-0.89450556
153,-0.036171623,0.5889291,-0.7760486,1.4027302,1.1848524,-0.5037012,-0.058225986,-1.0851487
154,-0.081562854,0.5438202,-0.7760486,1.4027302,0.5856882,-0.17688441,-0.026295606,-2.4468856
155,-0.11787583,0.53434163,-0.7760486,1.4027302,0.34057555,-0.5037012,-0.029112993,-3.536275
156,-0.1460184,0.5316815,-0.7760486,1.4027302,0.6129229,-0.5037012,-0.03850428,-4.380552
157,-0.18959397,0.52116084,-0.7760486,1.4027302,-0.09518021,-0.6943444,-0.020660834,-5.687819
158,-0.20775047,0.5270107,-0.7760486,1.4027302,0.36781028,-0.63987494,-0.034747764,-6.232514
159,-0.23044607,0.5162872,-0.7760486,1.4027302,0.5856882,-0.31305808,-0.03099125,-6.913382
160,-0.26948252,0.4970171,-0.7760486,1.4027302,0.88527024,-0.58540547,-0.050712954,-8.0844755
161,-0.29762506,0.45276788,-0.7760486,1.4027302,1.4027302,0.04099346,-0.046956442,-8.928752
162,-0.3629884,0.32652038,-0.7760486,0.5856882,0.44951448,-0.5581707,-0.034747764,-10.889652
163,-0.40111703,0.29464605,-0.7760486,0.5856882,-0.34029284,-0.6943444,-0.012208674,-12.033511
164,-0.4083796,0.29574046,-0.7760486,0.5856882,-0.01347601,-0.5581707,-0.018782575,-12.251389
165,-0.4183657,0.28717119,-0.7760486,0.5856882,-0.6943444,-0.31305808,0.013147804,-12.550971
166,-0.4183657,0.28717119,-0.7760486,0.5856882,-0.7760486,-0.6943444,0.0028173863,-12.550971
167,-0.40020922,0.28113848,-0.74881387,0.5856882,0.5856882,-0.2313539,-0.028173864,-12.006276
168,-0.4247205,0.21938758,-0.74881387,0.17716713,0.17716713,-0.14964968,-0.011269545,-12.741615
169,-0.44560048,0.18878385,-0.74881387,0.04099346,-0.31305808,-0.44923177,-0.0046956446,-13.368014
170,-0.46557257,0.204726,-0.91222227,0.04099346,-0.36752757,-0.91222227,-0.018782575,-13.967177
171,-0.47374302,0.20553958,-0.91222227,0.04099346,-0.58540547,-0.6126402,-0.00093912875,-14.212291
172,-0.47555867,0.20675492,-0.91222227,0.04099346,-0.44923177,-0.63987494,-0.006573902,-14.26676
173,-0.47101954,0.20876805,-0.91222227,0.04099346,-0.5581707,-0.31305808,0.008452158,-14.130586
174,-0.45831,0.21460018,-0.91222227,0.04099346,-0.44923177,-0.17688441,0.009391288,-13.7493
175,-0.4510474,0.218437,-0.91222227,0.04099346,-0.5037012,-0.2313539,0.009391287,-13.531422
176,-0.45286307,0.2190925,-0.91222227,0.04099346,-0.28582335,-0.5581707,-0.009391287,-13.585892
177,-0.4628491,0.21807638,-0.91222227,0.04099346,-0.4764665,-0.58540547,-0.003756516,-13.885473
178,-0.4773743,0.23253247,-0.91222227,0.04099346,-0.74881387,-0.91222227,-0.0056347726,-14.321229
179,-0.4764665,0.23152193,-0.91222227,0.04099346,-0.44923177,-0.72157913,-0.009391288,-14.293995
180,-0.4810056,0.23227715,-0.91222227,0.04099346,-0.5581707,-0.58540547,-0.0009391308,-14.430168
181,-0.4773743,0.23189364,-0.91222227,0.04099346,-0.09518021,-0.44923177,-0.012208674,-14.321229
182,-0.4891761,0.22089069,-0.91222227,0.04099346,-0.5037012,-0.44923177,0.0018782564,-14.6752825
183,-0.48917606,0.22089069,-0.91222227,0.04099346,-0.17688441,-0.5037012,-0.011269545,-14.675282
184,-0.49916214,0.2131842,-0.91222227,0.04099346,-0.5037012,-0.4764665,0.0009391277,-14.974864
