item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid,train_time_s,inference_time_s
151828,6269,23616558,spearman,30,1,0.7,,True,False,True,catch24,9.7206439944941,7.421503353742213,1.1816288380841025,7.011105045203629,0.6644736842105263,50.84,0.1320
151828,6269,23616558,spearman,30,1,0.7,,True,False,False,catch24,9.423152455113954,7.064343988505843,1.158572034898147,6.767305233407974,0.631578947368421,70.90,0.2930
151828,6269,23616558,spearman,30,1,0.7,,True,False,False,stats,10.504571308559543,8.215738807628357,4.245359757367303,8.367560295528687,0.631578947368421,76.43,0.2580
151828,6269,23616558,spearman,30,1,0.7,,True,False,False,raw,10.484186897656516,7.782695707932017,-2.118366839838963,7.717359085771003,0.4868421052631579,71.05,0.2630
151828,6269,618626816,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,10.699550815779466,8.252493065167096,-0.15652232855753181,7.45202925632089,0.6447368421052632,17.81,0.1250
151828,6269,618626816,spearman,30,1,0.7,,True,False,True,catch24,9.54865200399874,7.376860512627496,1.7765651528352226,7.062682418365049,0.625,41.17,0.1280
151828,6269,618626816,spearman,30,1,0.7,,True,False,False,catch24,11.278695330036115,9.252090379303576,6.031489004496655,9.460242510968115,0.5723684210526315,71.42,0.2950
151828,6269,618626816,spearman,30,1,0.7,,True,False,False,stats,9.777018133756817,7.458515890283523,2.0926922442866305,7.276311100520947,0.625,70.94,0.2660
151828,6269,618626816,spearman,30,1,0.7,,True,False,False,raw,10.55514503532709,8.093890121559692,2.084017161450355,7.822049338416057,0.5394736842105263,72.90,0.2650
587317,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,6.1141778330596495,4.779788272832733,-0.8039598651960784,4.453025951037027,0.5,8.40,0.1240
587317,6269,42,spearman,30,1,0.7,,True,False,True,catch24,6.23371253574801,4.889215643888985,-1.5284147075578278,4.7212638557357085,0.5394736842105263,36.53,0.1370
587317,6269,42,spearman,30,1,0.7,,True,False,False,catch24,5.872674361090551,4.717978801602632,-1.3411435208289453,4.45111776115317,0.506578947368421,60.94,0.2804
587317,6269,42,spearman,30,1,0.7,,True,False,False,stats,6.238490425849969,4.878636360168457,-0.5823431638331195,4.484490093925379,0.47368421052631576,55.73,0.2540
587317,6269,42,spearman,30,1,0.7,,True,False,False,raw,6.056820590384504,4.835016331641502,0.6603173336951561,4.402243711526417,0.4473684210526316,57.05,0.2460
587317,6269,1000,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,6.011422722956596,4.671383670732086,0.06160014906739877,4.188957316428169,0.4934210526315789,8.26,0.1260
587317,6269,1000,spearman,30,1,0.7,,True,False,True,catch24,6.114975153175258,4.715430702259338,-0.2816036822749119,4.3067461727211915,0.506578947368421,34.79,0.1340
587317,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,6.015661256777997,4.837836034936843,-0.9663755878124362,4.458883534076318,0.5197368421052632,67.47,0.2740
587317,6269,1000,spearman,30,1,0.7,,True,False,False,stats,6.184675029570665,4.87283739700816,0.9932536268545911,4.558860270751021,0.4868421052631579,55.41,0.2460
587317,6269,1000,spearman,30,1,0.7,,True,False,False,raw,6.251654380852279,4.8359550712934505,-2.2111867705201793,4.8876126508795465,0.5328947368421053,52.03,0.2790
587317,6269,26008,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,6.021510243383622,4.728587038376752,0.13832235024645437,4.2274824688476125,0.47368421052631576,9.13,0.1300
587317,6269,26008,spearman,30,1,0.7,,True,False,True,catch24,6.2870974476911865,4.910538592369728,-1.2388418733684066,4.6808938402801274,0.5131578947368421,35.55,0.1312
587317,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,5.877616048881486,4.696559332554637,-0.8652366688048917,4.329257024780625,0.5197368421052632,61.32,0.2680
587317,6269,26008,spearman,30,1,0.7,,True,False,False,stats,6.0891799085118805,4.758042242012772,-0.695858462963229,4.40806513049994,0.5197368421052632,54.04,0.2510
587317,6269,26008,spearman,30,1,0.7,,True,False,False,raw,6.5875221174311305,5.212739140379663,1.0019714567396376,4.847438707995391,0.5131578947368421,57.86,0.2510
587317,6269,555555,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,5.975964215586408,4.720901707418604,-0.6472065433178072,4.3300091704773065,0.506578947368421,9.05,0.1280
587317,6269,555555,spearman,30,1,0.7,,True,False,True,catch24,6.009924744732316,4.746771425982706,-0.2652951346503364,4.257979012524419,0.5197368421052632,34.71,0.1290
587317,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,5.827511877242749,4.744411063350104,-0.8772498049767189,4.31917115570308,0.47368421052631576,67.12,0.2790
587317,6269,555555,spearman,30,1,0.7,,True,False,False,stats,5.927117467327401,4.691219529295279,-0.33278972650665084,4.2195610476141825,0.5460526315789473,53.05,0.2580
587317,6269,555555,spearman,30,1,0.7,,True,False,False,raw,7.131460642492028,5.49450229819304,1.5692516027712355,5.331668796487083,0.4342105263157895,59.25,0.2470
587317,6269,213626,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,6.328151983793013,4.991902843799466,0.27163611518012154,4.479960731641404,0.5263157894736842,8.81,0.1300
587317,6269,213626,spearman,30,1,0.7,,True,False,True,catch24,5.954869376942266,4.689941325218849,-0.11701094558815552,4.179172756172885,0.5,35.62,0.1310
587317,6269,213626,spearman,30,1,0.7,,True,False,False,catch24,5.99779174971589,4.755208713556427,-1.6236530441084718,4.5936113142741695,0.506578947368421,64.39,0.2774
587317,6269,213626,spearman,30,1,0.7,,True,False,False,stats,6.037316365392712,4.770406635758144,-0.8761679456124898,4.430301828039014,0.5328947368421053,54.32,0.2470
587317,6269,213626,spearman,30,1,0.7,,True,False,False,raw,6.436546305266692,5.260276196049709,0.4667559605018765,4.650031191771243,0.4868421052631579,65.07,0.2500
587317,6269,907969,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,6.048875747712137,4.757317256304174,-0.0042571460499483,4.214831474444599,0.5,8.59,0.1290
587317,6269,907969,spearman,30,1,0.7,,True,False,True,catch24,6.2043308485741235,4.8771331949171675,-0.028558612648957694,4.328588376178593,0.506578947368421,37.46,0.1220
587317,6269,907969,spearman,30,1,0.7,,True,False,False,catch24,6.060581423505469,4.826784401937248,-1.619915264104706,4.641965628263223,0.5328947368421053,61.09,0.2720
587317,6269,907969,spearman,30,1,0.7,,True,False,False,stats,6.07840086698259,4.769110237071716,0.7011213489607269,4.4067583299994055,0.5131578947368421,54.07,0.2475
587317,6269,907969,spearman,30,1,0.7,,True,False,False,raw,6.145193138119609,4.8197690490024545,-0.6514781565448038,4.440408370446619,0.39473684210526316,55.26,0.2510
587317,6269,5219788,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,5.9517798965794375,4.666467691558639,-0.7965635910532833,4.341647768942699,0.5131578947368421,8.74,0.1270
