window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
43,-0.03111384,-0.3957289,1.3613383,4.0,0.38891906,-0.5972094,1.0,9.0,0.013605442,4.0,0.08191484,3.0,0.25,0.76666665,0.16666667,0.4237664,4.0,2.0207093,0.0,0.0,0.5890486,1.0607717,-0.20321134,0.46684057
44,-0.025125813,-0.387517,1.6415917,4.0,0.3556655,-0.58822393,1.0,10.0,0.037037037,4.0,0.08337991,2.0,0.33333334,0.7,0.5,0.39632264,4.0,2.0207093,0.0,0.0,0.5890486,1.0698736,-0.20593481,0.46970537
45,-0.023167783,-0.38516402,1.7806095,4.0,0.35551658,-0.5961383,1.0,10.0,0.049382716,5.0,0.09902499,2.0,0.33333334,0.6333333,0.43333334,0.39077258,4.0,1.9933361,0.0,0.0,0.5890486,1.0745828,-0.20684263,0.47021785
46,-0.47858095,-1.1263477,2.0214465,9.0,0.34524396,-0.5450722,1.0,10.0,0.034013607,4.0,0.09713922,2.0,0.25,0.56666666,0.73333335,0.45002925,4.0,1.8752993,0.0,0.0,0.5890486,1.0416044,-0.23316954,0.48560873
47,-0.46637183,-1.1101879,2.050204,8.0,0.34728947,-0.52918154,1.0,10.0,0.006802721,5.0,0.099331744,3.0,0.25,0.5,0.6666667,0.46936294,4.0,1.8752993,0.0,0.0,0.5890486,1.0360893,-0.23770866,0.4885886
48,-0.04284998,-0.688394,2.079782,9.0,0.34728947,-0.53740937,1.0,10.0,0.04761905,0.0,0.098974705,3.0,0.25,0.43333334,0.6333333,0.47617936,4.0,1.8752993,0.0,0.0,0.5890486,1.04373,-0.23498519,0.48728073
49,-0.44023362,-0.6529825,2.1278706,8.0,0.35519567,-0.5193895,1.0,10.0,0.04,0.0,0.11633916,3.0,0.2,0.36666667,0.6,0.50539744,4.0,1.9137723,0.0,0.0,0.3926991,1.0249969,-0.24860255,0.4928521
50,-0.8333162,-1.0430069,2.148495,9.0,0.36779705,-0.49781874,1.0,10.0,0.04,0.0,0.11466102,4.0,0.2,0.26666668,0.53333336,0.5268256,4.0,1.9625757,0.0,0.0,0.3926991,0.9998414,-0.25858864,0.50004
51,-0.8019406,-1.0091535,2.1713557,10.0,0.36957818,-0.48749143,1.0,10.0,0.041666668,6.0,0.113345005,4.0,0.16666667,0.2,0.53333336,0.53811175,4.0,1.9421457,0.0,0.0,0.3926991,0.98733443,-0.26948252,0.5060195
52,-0.74838734,-0.95321846,2.2456086,11.0,0.3907378,-0.39912948,1.0,11.0,0.0625,6.0,0.12916529,5.0,0.16666667,0.13333334,0.5,0.5435126,4.0,1.8860124,0.0,0.0,0.3926991,0.97591996,-0.29217812,0.5119033
53,-0.7568873,-0.9625825,2.315339,10.0,0.38712397,-0.425406,1.0,11.0,0.125,6.0,0.12754136,5.0,0.16666667,0.06666667,0.5,0.55797803,4.0,1.857639,0.0,0.0,0.3926991,0.9742482,-0.28945467,0.5097528
54,-0.73319393,-0.93774444,2.3592312,10.0,0.41830438,-0.4182601,1.0,11.0,0.125,0.0,0.12232781,5.0,0.16666667,0.0,0.46666667,0.5544657,4.0,1.857639,0.0,0.0,0.3926991,0.9652103,-0.29944074,0.5126056
55,-0.7251412,-0.92941886,2.383025,10.0,0.4054235,-0.41705707,1.0,11.0,0.0625,0.0,0.121885546,5.0,0.16666667,-0.06666667,0.43333334,0.5534625,4.0,1.8278787,0.0,0.0,0.3926991,0.9664636,-0.30307204,0.5132904
56,-0.6935117,-0.89681274,2.4177568,10.0,0.47380066,-0.41283566,1.0,11.0,0.041666668,0.0,0.12024343,5.0,0.14285715,-0.23333333,0.4,0.5566581,3.0,1.8278787,0.0,0.0,0.3926991,0.9567135,-0.31759724,0.515756
57,-0.6356784,-0.83683145,2.480397,10.0,0.4738645,-0.39390746,1.0,11.0,0.0625,0.0,0.118527375,5.0,0.14285715,-0.3,0.38333333,0.58253616,3.0,1.7323378,0.0,0.0,0.3926991,0.9312985,-0.34392413,0.5212635
58,-0.594766,-0.79273564,2.4879549,10.0,0.47562084,-0.375205,1.0,11.0,0.0625,0.0,0.11519097,6.0,0.14285715,-0.36666667,0.36666667,0.59865016,3.0,1.7323378,0.0,0.0,0.3926991,0.9189405,-0.360265,0.52964544
59,-0.5776371,-0.7744427,2.5251849,10.0,0.48270485,-0.3575105,1.0,11.0,0.0625,8.0,0.113708235,6.0,0.14285715,-0.43333334,0.36666667,0.61208755,4.0,1.7109077,0.0,0.0,0.3926991,0.90246373,-0.36752757,0.53277826
60,-0.5827312,-0.78010786,2.6480749,10.0,0.47597936,-0.36133826,1.0,11.0,0.074074075,8.0,0.1121761,2.0,0.125,-0.5,0.4,0.62686104,4.0,1.7109077,0.0,0.0,0.3926991,0.89148694,-0.36571193,0.53123665
61,-0.6221072,-0.82005036,2.666438,11.0,0.47597936,-0.30704984,1.0,10.0,0.11111111,8.0,0.0953021,2.0,0.125,-0.53333336,0.36666667,0.60923123,4.0,1.819166,0.0,0.0,0.19634955,0.8997554,-0.34573978,0.52971625
62,-0.5923245,-0.7889149,2.6844492,11.0,0.44719344,-0.34980655,1.0,9.0,0.11111111,5.0,0.07951014,2.0,0.125,-0.6,0.3,0.61167073,4.0,1.7713627,0.0,0.0,0.3926991,0.8836,-0.35935715,0.53336126
63,-0.5794725,-0.77632266,2.6394963,3.0,0.3814677,-0.3654651,1.0,8.0,0.074074075,7.0,0.078091174,2.0,0.125,-0.6666667,0.26666668,0.6030565,4.0,1.7977358,0.0,0.0,0.3926991,0.880935,-0.36661974,0.53265744
64,-0.54542416,-0.74669087,2.5172007,3.0,0.34166235,-0.39075783,1.0,7.0,0.0625,7.0,0.06408071,2.0,0.14285715,-0.6666667,0.2,0.56600225,4.0,2.042526,0.0,0.0,0.3926991,0.89975405,-0.391131,0.520969
65,-0.5216,-0.7286268,2.4444551,7.0,0.32193905,-0.42416126,1.0,6.0,0.0625,5.0,0.07495417,4.0,0.16666667,-0.7,0.13333334,0.5167558,4.0,2.0879424,0.0,0.0,0.3926991,0.924122,-0.41110316,0.5064742
66,-0.47066683,-0.68469054,2.262248,3.0,0.34347847,-0.47861904,1.0,5.0,0.04,5.0,0.07983404,2.0,0.2,-0.73333335,0.06666667,0.42654708,4.0,2.0903294,0.0,0.0,0.5890486,0.8379441,-0.44469267,0.48991644
67,-0.42463204,-0.64260983,1.8871795,5.0,0.2289969,-0.50349295,0.9655172,4.0,0.020576132,3.0,0.08229122,2.0,0.33333334,-0.8,0.06666667,0.34149572,4.0,2.0522392,0.0,0.0,0.5890486,0.85405266,-0.47101957,0.48102942
68,-0.41317943,-0.6330975,1.3858767,3.0,0.17843844,-1.2101885,0.9655172,3.0,0.008230452,6.0,0.037104912,3.0,0.33333334,-0.8666667,0.0,0.30664298,4.0,2.0405219,0.0,0.0,0.7853982,0.86036295,-0.47828215,0.47678536
69,-0.50721127,-0.27281818,0.9033237,3.0,0.089626186,-2.5016263,0.9655172,4.0,0.015306123,3.0,0.0438061,1.0,0.5,-0.9,-0.1,0.16801293,4.0,2.0405219,0.0,0.0,0.9817477,0.8375078,-0.5391064,0.3543873
70,-0.51070774,-0.25395083,0.5992184,1.0,0.079383194,-3.193028,0.9655172,4.0,0.013476021,6.0,0.046794437,1.0,1.0,0.4,-0.16666667,0.13483347,4.0,2.0405219,0.0,0.0,1.7671459,0.7659097,-0.5536316,0.32351977
71,-0.17705113,-0.3762337,0.5907721,1.0,0.2579581,-0.21508808,0.9655172,4.0,0.009116132,6.0,0.07282996,3.0,1.0,0.6333333,-0.26666668,0.15656373,4.0,2.1069856,0.0,0.0,1.7671459,1.1833944,-0.60356194,0.2050988
72,-0.17705113,-0.3762337,0.58500993,1.0,0.23182787,-0.20992081,0.9310345,4.0,0.009116132,6.0,0.07287261,4.0,1.0,0.56666666,-0.16666667,0.14587334,4.0,2.1069856,0.0,0.0,1.9634954,1.1820022,-0.60356194,0.2050988
73,-0.26635683,-0.45968035,0.55639744,1.0,0.22960722,0.23386626,0.9310345,4.0,0.011494253,4.0,0.06761728,2.0,1.0,0.5,-0.06666667,0.12495303,4.0,2.0581822,0.0,0.0,1.9634954,1.1553422,-0.5835898,0.2113147
74,-0.33658746,-0.5190747,0.62798995,3.0,0.2579581,0.15311527,0.9310345,4.0,0.013872374,4.0,0.056801066,1.0,1.0,0.6666667,-0.1,0.14704832,4.0,2.037135,0.0,0.0,1.5707964,1.1402564,-0.5645255,0.22386284
75,-0.3566412,-0.5349618,0.69253147,3.0,0.275183,0.33115032,0.9310345,4.0,0.020576132,4.0,0.1633259,2.0,0.33333334,0.6666667,-0.16666667,0.16785055,4.0,2.066895,0.0,0.0,1.1780972,1.1007967,-0.55817074,0.22909354
76,-0.31253904,-0.58524466,0.7138396,1.0,0.06807738,2.5327737,0.9310345,3.0,0.06802721,5.0,0.064706646,4.0,0.25,0.73333335,-0.2,0.23565204,4.0,2.0903294,0.0,0.0,1.1780972,0.95115256,-0.4764665,0.44441536
77,-0.31476593,-0.5876312,0.6848544,1.0,0.055337444,-1.3851595,0.9310345,4.0,0.054421768,5.0,0.105953634,4.0,0.25,0.6666667,-0.23333333,0.23193896,4.0,2.078612,0.0,0.0,1.3744467,1.0498668,-0.4755587,0.44415534
78,-0.30869618,-0.5816163,0.68646234,1.0,0.065325275,-1.3817073,0.9310345,5.0,0.054421768,5.0,0.10588207,4.0,0.25,0.6,-0.3,0.22759362,4.0,2.078612,0.0,0.0,1.3744467,1.1041553,-0.47828215,0.44406608
79,-0.33147573,-0.6046363,0.6798866,1.0,0.064809576,-1.3831291,0.9310345,5.0,0.04761905,5.0,0.10911201,4.0,0.25,0.6,-0.33333334,0.2369678,4.0,2.060569,0.0,0.0,1.5707964,1.129013,-0.46829608,0.4436752
80,-0.3434701,-0.6180405,0.66967547,1.0,0.064809576,-1.4128203,0.9310345,5.0,0.027210884,5.0,0.24265935,4.0,0.25,0.53333336,-0.33333334,0.22441252,4.0,2.0819993,0.0,0.0,1.5707964,1.1364318,-0.46375698,0.44139707
81,-0.36167523,-0.63758177,0.66158694,1.0,0.059655815,-1.4324534,0.9310345,5.0,0.034013607,5.0,0.2431301,4.0,0.25,0.46666667,-0.33333334,0.21346077,4.0,2.0889425,0.0,0.0,1.5707964,1.1411353,-0.45649436,0.4392595
82,-0.3853682,-0.107278176,0.6549031,1.0,0.059655815,-1.4672707,0.8965517,5.0,0.034013607,5.0,0.243753,2.0,0.25,0.4,-0.33333334,0.19651234,4.0,2.0889425,0.0,0.0,1.5707964,1.1465387,-0.44741613,0.43581054
83,-0.3853682,-0.107278176,0.6523305,1.0,0.059655815,-1.4691558,0.8965517,5.0,0.027210884,5.0,0.2439934,2.0,0.25,0.33333334,-0.26666668,0.1893163,4.0,2.0411394,0.0,0.0,1.5707964,1.1475158,-0.44741613,0.43581054
84,-0.41478896,-0.41478896,0.6456264,1.0,0.06406698,-1.4101639,0.8965517,5.0,0.027210884,5.0,0.2444833,2.0,0.25,0.3,-0.33333334,0.1619656,3.0,2.118703,0.0,0.0,1.5707964,1.1452627,-0.43379876,0.43772838
85,-0.40595168,-0.40595168,0.6415885,1.0,0.06406698,-1.4254476,0.8965517,5.0,0.04761905,5.0,0.24474657,2.0,0.25,0.23333333,-0.4,0.1682593,2.0,2.1274157,0.0,0.0,1.5707964,1.1401994,-0.43743005,0.4383123
86,-0.3959069,-0.6711859,0.63775986,1.0,0.06547753,-1.4041883,0.8965517,5.0,0.054421768,5.0,0.24434868,4.0,0.25,0.16666667,-0.33333334,0.17576833,2.0,2.0889425,0.0,0.0,1.5707964,1.1419437,-0.44106135,0.44026083
87,-0.4041541,-0.6808442,0.62890446,1.0,0.06547753,-1.425893,0.8965517,5.0,0.010305192,5.0,0.14732735,2.0,1.0,0.1,-0.13333334,0.1780866,3.0,2.0889425,0.0,0.0,1.5707964,1.1542577,-0.4383379,0.43801555
88,-0.25602415,-0.5267382,0.62314016,1.0,0.065325275,-1.4814831,0.8965517,5.0,0.0067380103,5.0,0.14582327,4.0,1.0,0.033333335,-0.06666667,0.17955677,4.0,2.1274157,0.0,0.0,1.7671459,1.1264158,-0.43107527,0.4325943
89,-0.25357407,-0.5239134,0.6198396,1.0,0.068508945,-1.4753389,0.8965517,5.0,0.0067380103,5.0,0.14513364,4.0,1.0,-0.033333335,0.033333335,0.18782042,4.0,2.1274157,0.0,0.0,1.7671459,1.1226513,-0.4319831,0.433194
90,-0.21355405,-0.4831396,0.6383781,1.0,0.065037735,-1.6516925,0.8965517,5.0,0.034013607,5.0,0.24377649,4.0,0.25,-0.1,0.23333333,0.19413204,4.0,2.1571758,0.0,0.0,1.5707964,1.1331024,-0.42562833,0.42935398
91,-0.17474477,-0.44645157,0.65318453,1.0,0.07389947,-1.5950572,0.8965517,5.0,0.013605442,5.0,0.24314602,4.0,0.25,-0.13333334,0.26666668,0.20386747,4.0,2.1069856,0.0,0.0,1.5707964,1.1414914,-0.442877,0.42600194
92,-0.17942542,-0.45176756,0.65825677,1.0,0.07389947,-1.6153555,0.8965517,5.0,0.013605442,5.0,0.24240157,4.0,0.25,-0.2,0.4,0.20434733,4.0,2.118703,0.0,0.0,1.5707964,1.1399914,-0.44106135,0.42500815
93,-0.16175808,-0.4331285,0.6634282,1.0,0.07389947,-1.5978843,0.86206895,5.0,0.04761905,5.0,0.24281548,4.0,0.25,-0.26666668,0.43333334,0.20815042,4.0,2.1117594,0.0,0.0,1.5707964,1.1295869,-0.44832397,0.42652997
94,-0.16392219,-0.4353518,0.6649538,1.0,0.07389947,-1.5989294,0.86206895,5.0,0.034013607,5.0,0.24218237,4.0,0.25,-0.33333334,0.36666667,0.20696452,4.0,2.1298025,0.0,0.0,1.5707964,1.1290083,-0.44741613,0.42643702
95,-0.15344164,-0.4251612,0.66875917,1.0,0.07389947,-1.5842611,0.82758623,5.0,0.013605442,5.0,0.20667012,4.0,0.25,-0.36666667,0.3,0.21334122,4.0,2.0913296,0.0,0.0,1.5707964,1.1248983,-0.45195526,0.42598194
96,-0.19189945,-0.463757,0.6591128,1.0,0.074061714,-1.5776505,0.86206895,5.0,0.013605442,5.0,0.20575315,4.0,0.25,-0.4,0.3,0.19581395,4.0,2.118703,0.0,0.0,1.5707964,1.1348206,-0.4356144,0.42576572
97,-0.24300057,-0.5124142,0.6751448,1.0,0.0758357,-1.556575,0.86206895,5.0,0.027210884,5.0,0.22862683,4.0,0.25,-0.4,0.26666668,0.1857519,4.0,2.1415198,0.0,0.0,1.5707964,1.1170034,-0.4129188,0.4296279
