source,target,weight
213625,918537,0.00884770043194294
457,582893,0.00881163589656353
213631,213633,0.008806202560663223
48375,213627,0.00879957526922226
213630,26372,0.008718724362552166
915640,6032,0.008714770898222923
904144,606214,0.008673768490552902
26768,213633,0.008660171180963516
1325,500057,0.008652073331177235
936693,213633,0.008463941514492035
587317,911753,0.008421515114605427
6032,680152,0.008327056653797626
904144,933442,0.008284304291009903
151815,900087600,0.00825684517621994
213630,680152,0.008249560371041298
278,538923,0.00823540985584259
1325,213624,0.00811486504971981
457,500056,0.008111104369163513
48369,907967,0.008090146817266941
582893,26076,0.008073348551988602
213631,26372,0.008060554042458534
907969,26372,0.007998805493116379
213625,908786,0.00794153194874525
933457,538923,0.007935631088912487
213636,911753,0.00791202113032341
545602,26002,0.007872325368225574
213628,545602,0.007829088717699051
936693,911753,0.007823960855603218
919137,16920,0.007816069759428501
213629,907967,0.007812182419002056
26372,900087600,0.007794733624905348
16920,538923,0.007779333274811506
932812,16920,0.007739868480712175
18568,500057,0.007693442516028881
213625,545597,0.007635209709405899
916110,213626,0.007593004032969475
912509,213631,0.0075285183265805244
278,213625,0.007528267800807953
26008,213626,0.007520575542002916
500056,213631,0.00748594431206584
213630,606214,0.007456076797097921
932812,933442,0.007445028983056545
932812,213625,0.00736230006441474
6032,151821,0.0073545388877391815
26768,907967,0.00735422782599926
151828,213633,0.007337875198572874
911753,907969,0.007334556896239519
26768,911753,0.007327576167881489
26924,6032,0.007304896600544453
213627,933442,0.007274256553500891
26002,457,0.007260502781718969
213626,500056,0.00721577787771821
933457,213626,0.0072089675813913345
907969,16920,0.007202950306236744
911753,213631,0.00719091109931469
213626,500057,0.007163588888943195
48375,213624,0.007160647306591272
213628,26220,0.007151634432375431
213629,915640,0.007149247918277979
213626,26924,0.007137422449886799
500056,907967,0.00711157126352191
151821,213630,0.007058863993734121
151821,545602,0.0070369127206504345
916110,919137,0.007017293944954872
26924,500057,0.007012007292360067
48375,606214,0.006991765461862087
916110,545602,0.006978638935834169
919137,26076,0.006954111158847809
13544,915640,0.006952497176826
1325,213627,0.0069093299098312855
919137,545597,0.006861862726509571
545598,16920,0.006756227929145098
151821,26076,0.006739575415849686
1325,213630,0.006716442760080099
907967,500056,0.006711290683597326
500056,457,0.006693027447909117
13544,680152,0.006616768892854452
907969,911753,0.006612973287701607
213633,213642,0.006606719922274351
908786,606214,0.00658175814896822
213628,16920,0.006532567553222179
26008,587317,0.00649538217112422
213631,26924,0.006488915532827377
582893,915640,0.006488083861768246
26002,907967,0.0064627742394804955
26076,606214,0.006457821931689978
25032,48369,0.006408071145415306
25032,26220,0.006396578159183264
213631,915640,0.006358577404171228
6032,933442,0.006340932101011276
213626,16920,0.00633304612711072
48375,915640,0.006328947842121124
915640,25032,0.006318227853626013
912509,911753,0.006277463864535093
606230,26002,0.006272953934967518
213624,26076,0.006267379503697157
26924,900087600,0.006248218938708305
933457,26768,0.006193335168063641
26768,933457,0.006193223875015974
500057,6032,0.006158741656690836
912509,915640,0.0061541106551885605
213624,933442,0.006058620288968086
18568,907969,0.005967538338154554
213629,916110,0.005938111804425716
1325,26076,0.005932270083576441
912509,213633,0.005930769722908735
26076,900087600,0.005917776376008987
6032,606214,0.005889188498258591
606214,213633,0.005801256280392408
213631,26076,0.005795835517346859
500056,213628,0.005785261746495962
907967,680152,0.005755465943366289
582893,606214,0.005734623875468969
500057,48375,0.005724566522985697
545597,932812,0.005721685476601124
933457,26220,0.005719788372516632
500057,213642,0.0057053579948842525
900087600,1325,0.005687208380550146
26220,680152,0.00562200415879488
13544,933442,0.005582820158451796
213628,907967,0.0055676172487437725
26372,26002,0.005565347149968147
932812,26372,0.00555642182007432
907969,213633,0.005495576187968254
545598,213633,0.005486181937158108
500056,213626,0.005418211687356234
213629,6032,0.005398851353675127
213633,900087600,0.005388777703046799
30534,13544,0.005374492611736059
26372,911753,0.005255088675767183
151815,933442,0.005246988497674465
457,213642,0.005237090867012739
500057,26372,0.00522949593141675
18568,907967,0.005217561032623053
587317,606230,0.005209200084209442
18568,606214,0.005195808596909046
213628,213633,0.0051952856592834
25032,606214,0.005187906324863434
606214,680152,0.00510459765791893
907967,911753,0.00510050356388092
26372,213642,0.005088945385068655
213625,606214,0.0050743925385177135
545598,48375,0.005032842978835106
545597,213626,0.00500949053093791
907967,904144,0.005001353099942207
545597,213627,0.004929723683744669
213642,933442,0.0049107857048511505
500056,213633,0.004908387083560228
680152,907967,0.004901737440377474
545597,26924,0.004895391408354044
48369,26220,0.004894552752375603
918537,908786,0.004847098607569933
213631,900087600,0.004837884567677975
680152,213633,0.00482981326058507
110187,907969,0.004798614885658026
936693,680152,0.004795718938112259
919137,213625,0.004758309107273817
26924,457,0.004740451462566853
900087600,26372,0.004739447496831417
213629,457,0.004735880997031927
919137,916110,0.004698105156421661
213626,213628,0.004669593647122383
500056,680152,0.0046606119722127914
911753,907967,0.004644422791898251
26768,915640,0.004621956963092089
907970,933457,0.004591729491949081
500057,26220,0.004570311866700649
213625,919137,0.0045694815926253796
545602,26372,0.004557521548122168
213629,606230,0.004538854584097862
919137,213642,0.004534613806754351
213633,538923,0.004508795216679573
18568,25032,0.004500472918152809
921558,606214,0.004498293623328209
213629,911753,0.004494244698435068
582893,606230,0.004490020219236612
30534,933442,0.004466156009584665
916110,606230,0.004406575579196215
545602,500057,0.004386075306683779
606230,911753,0.004385287873446941
933457,911753,0.004342588596045971
933457,680152,0.004310928750783205
545602,6032,0.0043077110312879086
912509,151828,0.0042574359104037285
278,904144,0.004249210469424725
25032,151821,0.004248661920428276
26924,545602,0.004248194862157106
213630,213624,0.004234933294355869
907970,912509,0.0041898442432284355
911753,213642,0.004186538513749838
213630,1325,0.0041863624937832355
213631,213628,0.004165888763964176
26076,680152,0.004162727389484644
26924,151821,0.004156190901994705
915640,151821,0.00412126537412405
606214,6032,0.004116165917366743
908786,545598,0.00409709895029664
213630,151821,0.004096254240721464
6032,48375,0.004093012772500515
213642,900087600,0.0040901112370193005
213630,6032,0.004080513026565313
26768,1325,0.0040460615418851376
911753,213633,0.0040352982468903065
26924,500056,0.004025802947580814
48369,900087600,0.003994335420429707
26924,26076,0.003990172408521175
213624,606214,0.003950704820454121
907967,900087600,0.003949854057282209
932812,680152,0.003919892944395542
278,918537,0.003919110167771578
457,680152,0.003918838687241077
680152,213624,0.0038938536308705807
907967,26924,0.0038904892280697823
680152,213631,0.0038483093958348036
606230,500056,0.0038412241265177727
1325,213633,0.0038192286156117916
213629,26924,0.0038168199826031923
908786,213627,0.0038146472070366144
48375,907969,0.003808828303590417
213625,26220,0.0037965576630085707
911753,26372,0.003782655345275998
907967,26076,0.0037548509426414967
26924,213628,0.003750655334442854
680152,500056,0.0037458729930222034
500057,213626,0.0037385288160294294
907970,680152,0.0037347900215536356
933442,606214,0.0037332463543862104
213628,26372,0.0037323266733437777
933442,26076,0.0037205989938229322
936693,213642,0.003717974992468953
680152,6032,0.003706922521814704
916110,110187,0.003670329228043556
213628,900087600,0.003669824218377471
916110,587317,0.0036572886165231466
907967,213642,0.0036385583225637674
213628,915640,0.0036236955784261227
30534,213627,0.003600611351430416
936693,213624,0.0035789988469332457
30534,680152,0.0035697463899850845
932812,151815,0.003568200394511223
18568,900087600,0.003566797124221921
213629,933457,0.0035531807225197554
213631,213642,0.003538188524544239
213642,213633,0.0035340290050953627
16920,907969,0.0035243849270045757
213627,25032,0.003507680259644985
26008,26002,0.0034906489308923483
48375,933442,0.003398009343072772
1325,545602,0.0033813181798905134
213636,900087600,0.0033772189635783434
151815,26372,0.0033471486531198025
6032,587317,0.0033256863243877888
606230,907967,0.003302555298432708
18568,213631,0.0032944013364613056
545597,26220,0.0032924541737884283
500056,26220,0.0032846115063875914
48375,904144,0.0032704502809792757
6032,582893,0.00326194753870368
921558,908786,0.003261204808950424
680152,606214,0.0032512180041521788
26220,6032,0.0032498049549758434
904144,26002,0.0032366677187383175
680152,26002,0.003233622293919325
921558,919137,0.0031937211751937866
13544,16920,0.0031934804283082485
26924,26372,0.0031903130002319813
26008,110187,0.0031733529176563025
916110,936693,0.0031653931364417076
918537,919137,0.0031621414236724377
26008,907969,0.0031589914578944445
915640,680152,0.0031554768793284893
606214,907967,0.003148052142933011
213642,151815,0.0031430120579898357
13544,545602,0.0031020878814160824
582893,911753,0.0030817859806120396
26372,213631,0.0030758152715861797
26076,151815,0.003065575612708926
26220,907969,0.0030512968078255653
900087600,907967,0.003038150956854224
213626,26220,0.0029746931977570057
26076,26372,0.0029744503553956747
18568,911753,0.002941807731986046
606214,904144,0.002939464058727026
680152,213628,0.002927127294242382
932812,545602,0.0029173772782087326
907969,26002,0.0029030086006969213
213630,545598,0.002898754784837365
110187,213636,0.0028980248607695103
213636,936693,0.002882726490497589
918537,916110,0.002863746602088213
545598,25032,0.002857009181752801
151821,48375,0.0028532950673252344
26924,1325,0.002820322522893548
936693,213628,0.002813187427818775
933442,213627,0.002792587038129568
213626,680152,0.002791584236547351
936693,457,0.002788617741316557
213628,911753,0.0027691605500876904
582893,213631,0.002768056932836771
680152,915640,0.0027674040757119656
151828,26220,0.0027524514589458704
587317,213642,0.0027507180348038673
6032,26924,0.0027363302651792765
918537,582893,0.0027083158493041992
110187,538923,0.002706226659938693
18568,213633,0.0027031591162085533
936693,916110,0.0027019591070711613
213624,213627,0.002692269394174218
932812,151821,0.0026921830140054226
213642,904144,0.0026872807648032904
680152,500057,0.0026768031530082226
936693,26220,0.0026502429973334074
606230,213626,0.0026487165596336126
587317,933442,0.0026459861546754837
500056,545602,0.002636789344251156
48369,26768,0.0026207028422504663
13544,213626,0.0026112766936421394
213633,907969,0.002610629191622138
606214,213642,0.0026055932976305485
680152,16920,0.002602802589535713
680152,457,0.0025990235153585672
6032,457,0.0025873533450067043
213631,606230,0.00258243503049016
48369,16920,0.002576761180534959
904144,213624,0.0025762501172721386
933457,25032,0.002554266946390271
30534,26076,0.0025457453448325396
921558,213624,0.0025449248496443033
48369,907969,0.00253907754085958
918537,907967,0.0025388854555785656
1325,25032,0.0025291622150689363
921558,213630,0.0025284886360168457
500057,933442,0.0025106475222855806
151828,900087600,0.0025040851905941963
606230,918537,0.002474208129569888
26002,213642,0.0024724386166781187
213629,538923,0.002470865612849593
936693,545602,0.0024679999332875013
13544,582893,0.0024595484137535095
26768,904144,0.002417484065517783
26002,26372,0.0024152251426130533
26372,500056,0.0024139939341694117
26220,911753,0.002404945669695735
916110,213642,0.00239778240211308
933442,916110,0.0023838228080421686
921558,25032,0.002381320111453533
545598,26220,0.0023722131736576557
151815,26220,0.0023722131736576557
213624,26220,0.0023722131736576557
26008,26220,0.0023722131736576557
30534,26220,0.0023722131736576557
26372,26220,0.0023722131736576557
110187,26220,0.0023722131736576557
900087600,26220,0.0023722131736576557
213627,26220,0.0023722131736576557
545602,26220,0.0023722131736576557
213630,26220,0.0023722131736576557
933442,26220,0.0023722131736576557
932812,26220,0.0023722131736576557
921558,26220,0.0023722131736576557
213633,26220,0.0023722131736576557
919137,26220,0.0023722131736576557
213636,26220,0.0023722131736576557
213642,26220,0.0023722131736576557
918537,26220,0.0023722131736576557
916110,26220,0.0023722131736576557
908786,26220,0.0023722131736576557
606230,26220,0.0023722131736576557
587317,26220,0.0023722131736576557
26076,26220,0.0023722131736576557
1325,26220,0.0023722131736576557
16920,26220,0.0023722131736576557
278,26220,0.0023722131736576557
16920,908786,0.002365486230701208
680152,900087600,0.002359773963689804
907967,606214,0.0023542740382254124
213636,907967,0.00235330150462687
26076,933442,0.0023522130213677883
213630,213633,0.0023305434733629227
213630,26924,0.002319097286090255
500057,680152,0.002314747078344226
908786,919137,0.0023027972783893347
213636,26002,0.002294298494234681
912509,213642,0.0022878479212522507
30534,213642,0.0022878479212522507
6032,213642,0.0022878479212522507
151828,213642,0.0022878479212522507
151821,213642,0.0022878479212522507
110187,213642,0.0022878479212522507
915640,213642,0.0022878479212522507
545598,213642,0.0022878479212522507
500056,213642,0.0022878479212522507
545597,213642,0.0022878479212522507
48375,213642,0.0022878479212522507
907969,213642,0.0022878479212522507
26768,213642,0.0022878479212522507
538923,213642,0.0022878479212522507
907970,213642,0.0022878479212522507
48369,213642,0.0022878479212522507
213628,213642,0.0022878479212522507
26924,213642,0.0022878479212522507
680152,213642,0.0022878479212522507
545602,213642,0.0022878479212522507
26220,213642,0.0022878479212522507
25032,213642,0.0022878479212522507
213629,213642,0.0022878479212522507
16920,213642,0.0022878479212522507
26008,213642,0.0022878479212522507
933457,213642,0.0022878479212522507
213627,213642,0.0022878479212522507
13544,213642,0.0022878479212522507
213630,213642,0.0022878479212522507
213626,213642,0.0022878479212522507
213625,213642,0.0022878479212522507
932812,213642,0.0022878479212522507
1325,213642,0.0022878479212522507
213624,213642,0.0022878479212522507
18568,213642,0.0022878479212522507
908786,213642,0.0022878479212522507
213626,587317,0.0022818187717348337
911753,545602,0.0022673020139336586
915640,545602,0.002243718598037958
933457,900087600,0.0022417507134377956
213626,915640,0.0022289264015853405
213633,680152,0.0022117402404546738
213625,932812,0.0022026067599654198
151821,933442,0.0021811085753142834
278,582893,0.0021802301052957773
606230,457,0.002172552514821291
25032,213624,0.002171671250835061
213629,110187,0.002164588775485754
48369,500056,0.0021580373868346214
151821,500057,0.0021509630605578423
916110,500057,0.0021470924839377403
900087600,680152,0.002131225075572729
26002,213631,0.0021269272547215223
545602,606230,0.0021160119213163853
213625,545602,0.0021126405335962772
213625,915640,0.002110204426571727
213628,213629,0.002107940847054124
213626,900087600,0.002106746658682823
912509,26372,0.0020918832160532475
26002,680152,0.0020844279788434505
213629,26002,0.0020583835430443287
904144,911753,0.002043812768533826
908786,213625,0.0020378672052174807
936693,16920,0.0020364222582429647
18568,26076,0.0020295761059969664
500056,26372,0.0020220582373440266
151821,680152,0.002019972074776888
545598,151821,0.0019426541402935982
26002,907969,0.0019412162946537137
606214,213624,0.001939556677825749
918537,26002,0.0019326379988342524
908786,916110,0.0019300172571092844
151815,16920,0.0019205777207389474
213625,213626,0.0019005623180419207
13544,606214,0.0018993853591382504
151821,582893,0.0018913954263553023
457,26076,0.0018897834233939648
911753,500057,0.0018846991006284952
110187,500056,0.0018712127348408103
606230,213631,0.0018696237821131945
213624,500057,0.0018690215656533837
933457,48369,0.0018684215610846877
921558,545602,0.0018628615653142333
915640,213631,0.0018625836819410324
213633,213624,0.0018562785116955638
545598,680152,0.0018536351853981614
936693,538923,0.0018529273802414536
680152,907969,0.0018483952153474092
213624,48375,0.0018353488994762301
213633,500056,0.001806562184356153
16920,213626,0.0018027708865702152
213626,26002,0.0017992225475609303
26220,213631,0.0017899781232699752
606214,932812,0.001783994142897427
907969,680152,0.001781832193955779
1325,500056,0.0017814950551837683
213624,904144,0.0017783630173653364
936693,907967,0.0017780092312023044
1325,213626,0.0017764437943696976
213629,213625,0.001771685667335987
213626,26372,0.0017646445194259286
213628,457,0.0017388493288308382
457,6032,0.0017367006512358785
911753,680152,0.0017314397264271975
919137,213626,0.0017298613674938679
915640,911753,0.0017288579838350415
213633,911753,0.0017283461056649685
48369,457,0.0017251826357096434
213636,916110,0.0017043903935700655
500056,606230,0.0016958907945081592
213633,606214,0.0016920401249080896
918537,6032,0.0016918814508244395
26220,26924,0.0016913831932470202
680152,213626,0.0016847430961206555
933457,213631,0.0016846033977344632
213627,919137,0.0016789314104244113
606214,915640,0.0016643416602164507
582893,48369,0.0016638763481751084
911753,606230,0.0016637397930026054
213627,500057,0.0016589656006544828
900087600,545602,0.0016563569661229849
921558,545598,0.0016445015789940953
25032,6032,0.0016387192299589515
907967,25032,0.0016353405080735683
213631,907969,0.0016347576165571809
500057,26076,0.0016276058740913868
48369,582893,0.0016236549708992243
908786,26076,0.0016217490192502737
911753,915640,0.0016211223555728793
680152,911753,0.0016194161726161838
680152,545602,0.0016179551603272557
213642,500057,0.0016161587554961443
933442,500057,0.0016154962358996272
213625,933442,0.001602056436240673
912509,545602,0.0015971575630828738
936693,26076,0.0015931040979921818
25032,26076,0.0015931040979921818
500056,26076,0.0015931040979921818
213636,26076,0.0015931040979921818
213629,26076,0.0015931040979921818
213628,26076,0.0015931040979921818
213627,26076,0.0015931040979921818
213626,26076,0.0015931040979921818
151828,26076,0.0015931040979921818
16920,26076,0.0015931040979921818
110187,26076,0.0015931040979921818
26002,26076,0.0015931040979921818
48375,26076,0.0015931040979921818
26008,26076,0.0015931040979921818
48369,26076,0.0015931040979921818
26220,26076,0.0015931040979921818
545602,26076,0.0015931040979921818
538923,26076,0.0015931040979921818
587317,26076,0.0015931040979921818
13544,26076,0.0015931040979921818
933457,26076,0.0015931040979921818
916110,26076,0.0015931040979921818
915640,26076,0.0015931040979921818
6032,26076,0.0015931040979921818
912509,26076,0.0015931040979921818
26768,26076,0.0015931040979921818
911753,26076,0.0015931040979921818
907970,26076,0.0015931040979921818
907969,26076,0.0015931040979921818
606230,26076,0.0015931040979921818
26372,213626,0.001581875840201974
30534,538923,0.0015775564825162292
933442,6032,0.001570661785081029
606230,933442,0.0015689865685999393
606214,908786,0.0015675891190767288
538923,151828,0.0015657594194635749
213626,606230,0.0015573668060824275
110187,911753,0.0015553825069218874
1325,18568,0.001541836652904749
48375,457,0.0015352435875684023
915640,213626,0.0015338077209889889
213628,933457,0.0015252751763910055
500057,911753,0.0015243352390825748
213631,213626,0.0015114927664399147
587317,6032,0.0015059122815728188
457,500057,0.0015025396132841706
587317,907969,0.0014940359396860003
30534,25032,0.0014936438528820872
680152,1325,0.0014859475195407867
606214,151821,0.001478708116337657
500056,26002,0.0014782979851588607
213642,606230,0.0014769763220101595
936693,6032,0.001470079179853201
25032,680152,0.001465573557652533
278,48369,0.0014568595215678215
933442,587317,0.001447433838620782
16920,213633,0.0014472322072833776
213631,545602,0.0014380966313183308
26002,606230,0.0014348557451739907
26372,1325,0.001420658198185265
907969,587317,0.001415913226082921
213625,907967,0.0014124051667749882
213633,16920,0.001405067858286202
606214,26002,0.001403702306561172
26220,904144,0.0014031504979357123
538923,911753,0.0014014504849910736
587317,213626,0.0014007495483383536
912509,680152,0.0013990517472848296
933457,26924,0.0013856523437425494
921558,6032,0.0013783584581688046
907967,606230,0.0013760015135630965
48375,151821,0.0013756804401054978
545597,915640,0.001364833558909595
457,907969,0.0013621071120724082
936693,587317,0.001362058101221919
26220,606214,0.0013580198865383863
545597,933442,0.001343808602541685
13544,213627,0.0013430393300950527
213625,213633,0.0013414574787020683
213627,545602,0.0013410038081929088
30534,545602,0.0013410038081929088
213642,545602,0.0013410038081929088
213633,545602,0.0013410038081929088
538923,545602,0.0013410038081929088
545597,545602,0.0013410038081929088
545598,545602,0.0013410038081929088
582893,545602,0.0013410038081929088
606214,545602,0.0013410038081929088
904144,545602,0.0013410038081929088
