product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time,inference_time,total_time
545598,6269,42,spearman,15,1,0.88,,True,False,False,9.221299835614314,7.158496283238231,-0.9135764003579133,6.628668088706193,0.48026315789473684,56.66512370109558,0.242997407913208,56.90812110900879
545598,6269,42,spearman,15,1,0.91,,True,False,False,9.292188269306568,7.132436384562573,-1.2623219521217097,6.744783718824355,0.4407894736842105,52.46990728378296,0.20999813079833984,52.6799054145813
48369,6269,42,spearman,15,1,0.75,,True,False,True,10.551911499934379,8.147157869307824,1.1944374640782673,7.6113545833137115,0.5921052631578947,40.236743211746216,0.13699865341186523,40.37374186515808
48369,6269,42,spearman,15,1,0.75,,True,False,False,11.126785003725262,8.346323889065411,0.6222117835400152,7.805526420013988,0.4868421052631579,534.8955562114716,0.3699955940246582,535.2655518054962
48369,6269,42,spearman,15,1,0.82,,True,False,False,10.896487777948382,7.446291100745108,-2.128283544303545,7.841887550236354,0.5,209.65926218032837,0.26399874687194824,209.92326092720032
48369,6269,42,spearman,15,1,0.85,,True,False,False,10.349952617044687,7.426952128316842,-0.2899894246868059,7.104211696773255,0.42105263157894735,126.49181246757507,0.3141744136810303,126.8059868812561
48369,6269,42,spearman,15,1,0.88,,True,False,False,10.597605407451656,7.932937762316535,-0.7567373444052303,7.471221480406269,0.5131578947368421,109.91070199012756,0.29099607467651367,110.20169806480408
48369,6269,42,spearman,15,1,0.91,,True,False,False,10.777557249193023,7.81879634639017,-0.73363578241635,7.526886656798141,0.47368421052631576,75.64369201660156,0.21799707412719727,75.86168909072876
6032,6269,42,spearman,15,1,0.75,,True,False,True,16.640579018113723,12.79279533710355,9.576340824949975,13.912573549570242,0.5921052631578947,37.9917426109314,0.13399863243103027,38.12574124336243
6032,6269,42,spearman,15,1,0.75,,True,False,False,14.837751560685225,8.966879997378081,-1.8647170066833496,10.12677503135797,0.5,748.0042455196381,1.2129859924316406,749.2172315120697
6032,6269,42,spearman,15,1,0.82,,True,False,False,16.241720154584694,9.658273285510493,-0.7440286025502323,10.721435549307529,0.5460526315789473,147.35609889030457,0.5059945583343506,147.86209344863892
6032,6269,42,spearman,15,1,0.85,,True,False,False,14.864375713228242,9.024368585324755,-3.3246249155281418,10.519436231827344,0.5394736842105263,111.48541522026062,0.30499839782714844,111.79041361808777
6032,6269,42,spearman,15,1,0.88,,True,False,False,14.004926867159252,8.80244743122774,-0.8390717786901137,9.41284323605909,0.5986842105263158,86.61012864112854,0.2589988708496094,86.86912751197815
6032,6269,42,spearman,15,1,0.91,,True,False,False,16.40307240527156,9.804711017733306,-0.7321200713612674,10.835743974909422,0.618421052631579,59.58879256248474,0.2279980182647705,59.81679058074951
606214,6269,42,spearman,15,1,0.75,,True,False,True,11.607445705219382,9.622727038813572,8.648963080512154,10.371645382441121,0.5855263157894737,32.3205246925354,0.12400031089782715,32.44452500343323
606214,6269,42,spearman,15,1,0.75,,True,False,False,9.96864735196177,7.981921763201944,5.948443232018963,8.466914924786114,0.5197368421052632,203.66371607780457,0.3210000991821289,203.9847161769867
606214,6269,42,spearman,15,1,0.82,,True,False,False,10.036620992214347,7.995247697518542,5.8600958905188865,8.48214639311653,0.5131578947368421,77.40922784805298,0.25899767875671387,77.66822552680969
606214,6269,42,spearman,15,1,0.85,,True,False,False,10.076430799026086,8.098448410532832,6.288704865898183,8.635003718620798,0.5197368421052632,60.67450475692749,0.23199915885925293,60.90650391578674
606214,6269,42,spearman,15,1,0.88,,True,False,False,11.094002644467665,8.983218754039092,7.414911563100379,9.646533901518701,0.5592105263157895,58.5478789806366,0.22299957275390625,58.7708785533905
606214,6269,42,spearman,15,1,0.91,,True,False,False,10.2069261484684,8.068730335609585,6.075626011767419,8.63955216107845,0.506578947368421,54.02677512168884,0.21999812126159668,54.24677324295044
916110,6269,42,spearman,15,1,0.75,,True,False,True,9.563830919185623,7.561211841558319,4.083112193088906,7.692996468254617,0.6578947368421053,31.069419860839844,0.11799979209899902,31.187419652938843
