product_id,baseline,baseline_mae,baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,graph2vec_mlp_pct_improvement,gcn_mlp_mae,gcn_mlp_seed,gcn_mlp_pct_improvement,gat_mlp_mae,gat_mlp_seed,gat_mlp_pct_improvement,best_hybrid,best_hybrid_mae,best_hybrid_beats_baseline,best_hybrid_pct_improvement
213627,mlp_baseline,13.580752104715584,1000,13.140009761635774,213626,3.2453456162179197,13.199802274018332,213626,2.805071676148017,13.34972356659135,907969,1.701146860960774,graph2vec_mlp,13.140009761635774,True,3.2453456162179197
213628,mlp_baseline,12.94169915891161,26008,12.461858387866052,13451285,3.707710750756731,12.77567281286701,618626816,1.2828790408891264,13.01053756514406,23616558,-0.531911655395327,graph2vec_mlp,12.461858387866052,True,3.707710750756731
213629,mlp_baseline,13.347032185473472,26008,12.9689847908768,26008,2.832445365705555,13.28185915479473,13451285,0.48829604793845854,13.322392133326312,555555,0.18461071948246877,graph2vec_mlp,12.9689847908768,True,2.832445365705555
213630,mlp_baseline,12.086395712459788,5219788,11.853754330304714,23616558,1.9248201671507932,11.825309603821998,907969,2.1601651546841123,12.01688681708442,907969,0.5751002782716523,gcn_mlp,11.825309603821998,True,2.1601651546841123
213631,mlp_baseline,10.417448779336768,5219788,10.767486871457567,555555,-3.360113397582597,10.752659691704643,13451285,-3.217783158509725,10.81149725820504,5219788,-3.7825813902716408,gcn_mlp,10.752659691704643,False,-3.217783158509725
213633,mlp_baseline,9.808592079511657,42,10.052679273817274,13451285,-2.488503878303498,10.113359837750204,907969,-3.107150911853611,10.69942334742328,1000,-9.082152267015022,graph2vec_mlp,10.052679273817274,False,-2.488503878303498
213636,mlp_baseline,5.8314540651109485,555555,6.043144749660118,213626,-3.630152654647408,6.439251606760461,213626,-10.422744222335714,6.199861457924437,13451285,-6.317590582040871,graph2vec_mlp,6.043144749660118,False,-3.630152654647408
213642,mlp_baseline,7.671518350738326,555555,7.495532066993464,1000,2.294021544352102,7.71714345146628,13451285,-0.5947336451794092,8.005800533917995,213626,-4.35744487461855,graph2vec_mlp,7.495532066993464,True,2.294021544352102
500056,mlp_baseline,13.368326676437276,618626816,14.429914050632052,907969,-7.941063978230775,14.977253932578892,23616558,-12.035367590002693,15.189714257234062,23616558,-13.624648954809915,graph2vec_mlp,14.429914050632052,False,-7.941063978230775
500057,mlp_baseline,10.645128331153222,13451285,11.416891054390303,907969,-7.249914695518508,11.387892118466446,618626816,-6.977499605519161,11.39651062285978,13451285,-7.058461564128078,gcn_mlp,11.387892118466446,False,-6.977499605519161
538923,mlp_baseline,7.1106628841824,23616558,7.110299496868857,907969,0.005110456218526127,7.137506896374273,23616558,-0.3775177171116799,7.111034387077382,26008,-0.0052245887765036015,graph2vec_mlp,7.110299496868857,True,0.005110456218526127
545597,mlp_baseline,8.030555715747909,618626816,7.834641400505514,618626816,2.43961093325344,7.771391360588323,1000,3.2272281562204284,7.898485433042439,555555,1.644597053806373,gcn_mlp,7.771391360588323,True,3.2272281562204284
545598,mlp_baseline,6.745561624664108,13451285,6.889433997908449,907969,-2.1328449912649696,6.907659879696914,42,-2.4030357152193007,6.991539500118081,23616558,-3.646514391842364,graph2vec_mlp,6.889433997908449,False,-2.1328449912649696
545602,mlp_baseline,9.77687429290971,618626816,9.98710674709744,907969,-2.150303337132945,9.684315849752988,555555,0.9467079189495837,9.724733028536528,26008,0.5333122101303396,gcn_mlp,9.684315849752988,True,0.9467079189495837
582893,mlp_baseline,9.251499088761074,213626,9.541553896237042,907969,-3.1352195432665972,8.801582691716213,42,4.863172905582722,9.005837583853529,5219788,2.6553697141469783,gcn_mlp,8.801582691716213,True,4.863172905582722
587317,mlp_baseline,4.641338603948456,1000,4.737416566586962,42,-2.07004855359553,4.790166487101636,26008,-3.206572410523327,4.723559211282169,23616558,-1.7714847881119298,gat_mlp,4.723559211282169,False,-1.7714847881119298
606214,mlp_baseline,6.577341304105871,23616558,6.645740696028168,907969,-1.0399246254653023,5.935300079046511,13451285,9.761409593547603,6.27708838967716,213626,4.564958705142451,gcn_mlp,5.935300079046511,True,9.761409593547603
606230,mlp_baseline,5.684121275259779,555555,5.782966538971546,907969,-1.7389717587834097,5.778167880438511,26008,-1.6545495886597594,5.804129725188211,23616558,-2.11129291788286,gcn_mlp,5.778167880438511,False,-1.6545495886597594
680152,mlp_baseline,7.606947836533092,618626816,7.232310382369297,23616558,4.924937862260109,7.273728451697655,23616558,4.380461020583304,7.513648562961155,23616558,1.226500767152077,graph2vec_mlp,7.232310382369297,True,4.924937862260109
904144,mlp_baseline,8.741171626483693,618626816,8.991045347226212,26008,-2.858583853741762,8.903144387637868,13451285,-1.852986854341533,8.627281045602038,618626816,1.3029212301082571,gat_mlp,8.627281045602038,True,1.3029212301082571
907967,mlp_baseline,14.279882318833296,42,14.185387181300744,42,0.6617361083426153,14.67092207366345,1000,-2.7383962003273856,14.25042096306296,213626,0.20631371542524182,graph2vec_mlp,14.185387181300744,True,0.6617361083426153
907969,mlp_baseline,31.422106474832773,1000,33.535028096118005,555555,-6.7243156437572225,34.21778749952129,1000,-8.897178891961596,33.65156236037709,907969,-7.095182773089956,graph2vec_mlp,33.535028096118005,False,-6.7243156437572225
907970,mlp_baseline,7.388496467490602,213626,6.099220868029626,42,17.449769450845526,7.385342392266965,23616558,0.04268899954834477,8.450348162183575,907969,-14.371688466863628,graph2vec_mlp,6.099220868029626,True,17.449769450845526
