product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_mae,lstm_baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,gcn_lstm_mae,gcn_lstm_seed,gat_lstm_mae,gat_lstm_seed,mlp_baseline_mae,mlp_baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,gcn_mlp_mae,gcn_mlp_seed,gat_mlp_mae,gat_mlp_seed
545597,graph2vec_lstm,True,26008,10.338218166655372,7.703595272855821,-1.6479787444756702,0.5131578947368421,7.957119503831552,618626816,7.703595272855821,26008,8.233697756345755,1000,9.067242609909158,618626816,8.030555715747909,618626816,7.834641400505514,618626816,7.771391360588323,1000,7.898485433042439,555555
545598,gat_lstm,True,213626,8.424852077845506,6.555762077468673,0.0397946335910971,0.5789473684210527,6.894890202416314,618626816,7.394618317971822,618626816,6.573357111488292,23616558,6.555762077468673,213626,6.745561624664108,13451285,6.889433997908449,907969,6.907659879696914,42,6.991539500118081,23616558
545602,gat_lstm,True,5219788,12.805537955684349,9.2212282816569,-0.4962797975228503,0.5,10.138782158396602,13451285,9.79947546416638,13451285,9.290253745185003,23616558,9.2212282816569,5219788,9.77687429290971,618626816,9.98710674709744,907969,9.684315849752988,555555,9.724733028536528,26008
582893,gcn_mlp,True,42,11.975038686255694,8.801582691716213,1.1228831983080096,0.4605263157894737,10.576963081858516,42,10.27369313458212,13451285,9.17827161776474,555555,9.441244555454627,907969,9.251499088761074,213626,9.541553896237042,907969,8.801582691716213,42,9.005837583853529,5219788
587317,lstm_baseline,False,907969,5.682204769730252,4.537842152165432,-0.2685709747613645,0.5,4.537842152165432,907969,4.7125119975968905,13451285,4.63194872662912,5219788,4.757993504891988,13451285,4.641338603948456,1000,4.737416566586962,42,4.790166487101636,26008,4.723559211282169,23616558
606214,gcn_lstm,True,555555,7.66632196152067,5.648347829681596,2.710400936650295,0.5789473684210527,6.490958438200109,5219788,6.208337939642613,1000,5.648347829681596,555555,5.802394468020769,555555,6.577341304105871,23616558,6.645740696028168,907969,5.935300079046511,13451285,6.27708838967716,213626
606230,lstm_baseline,False,5219788,7.406437139336279,5.471694734361437,1.2598996255912034,0.5986842105263158,5.471694734361437,5219788,5.52352431552862,5219788,5.677287538067188,23616558,5.78456125695721,618626816,5.684121275259779,555555,5.782966538971546,907969,5.778167880438511,26008,5.804129725188211,23616558
680152,graph2vec_mlp,True,23616558,9.596627903258485,7.232310382369297,0.2778255300584182,0.4605263157894737,8.96899975047392,13451285,8.09570474562302,13451285,7.667555703057183,23616558,7.843508726631114,907969,7.606947836533092,618626816,7.232310382369297,23616558,7.273728451697655,23616558,7.513648562961155,23616558
904144,lstm_baseline,False,555555,10.805300446422256,8.34610312787536,2.611241270124523,0.6447368421052632,8.34610312787536,555555,9.42865629757152,26008,9.60812915540209,555555,9.859371528126836,555555,8.741171626483693,618626816,8.991045347226212,26008,8.903144387637868,13451285,8.627281045602038,618626816
907967,graph2vec_lstm,True,5219788,19.67516555746249,13.881493836446523,0.3073799033570134,0.6842105263157895,13.967973921034073,13451285,13.881493836446523,5219788,14.210141026116665,42,14.336766934862323,907969,14.279882318833296,42,14.185387181300744,42,14.67092207366345,1000,14.25042096306296,213626
907969,mlp_baseline,False,1000,44.89709839201741,31.422106474832773,-14.636396320816738,0.7171052631578947,31.43366929596545,5219788,31.705738142424934,907969,38.438679277507305,5219788,40.393225725959326,555555,31.422106474832773,1000,33.535028096118005,555555,34.21778749952129,1000,33.65156236037709,907969
907970,graph2vec_mlp,True,42,7.898584999501301,6.099220868029626,-1.126978051428701,0.6776315789473685,7.070188541038363,213626,6.568600894578921,618626816,6.599571078431373,555555,6.842784862892301,5219788,7.388496467490602,213626,6.099220868029626,42,7.385342392266965,23616558,8.450348162183575,907969
908786,gcn_mlp,True,555555,13.824345067698747,9.76678206873875,-1.3748562445048411,0.5921052631578947,12.574966286327324,26008,10.927685622296302,5219788,11.42007721794976,1000,11.985636165718628,555555,10.151296350691052,26008,10.489909022462134,618626816,9.76678206873875,555555,11.16591912936541,907969
911753,lstm_baseline,False,618626816,26.61750547557885,17.88097623438617,-4.172983082291347,0.7236842105263158,17.88097623438617,618626816,19.78828160903033,618626816,19.468554777257584,907969,21.281485389260684,907969,18.99178837794884,907969,20.894661672754225,1000,21.64284111471737,1000,25.371072706833385,26008
912509,gat_mlp,True,907969,11.08573157066473,7.868270849090775,-1.815237381879021,0.6052631578947368,7.935670248823228,555555,8.760827553817649,213626,8.484384733087877,5219788,8.765502111584533,5219788,8.040980711481929,213626,7.977980570076338,555555,7.986487812466091,13451285,7.868270849090775,907969
915640,gcn_mlp,True,213626,8.749964387711989,6.89115854649762,0.8875459284564249,0.5328947368421053,8.520186280892565,26008,7.134472903083353,555555,7.175342235689849,213626,7.048558490728241,213626,8.815198860916437,1000,7.683254790461921,42,6.89115854649762,213626,6.943221746706495,13451285
916110,graph2vec_mlp,True,26008,7.856699628372373,6.147556392195957,0.7279872395633872,0.6513157894736842,6.4066863215826695,1000,6.50232208476347,5219788,6.5294148937549465,42,6.523371291316413,907969,6.259194068659365,13451285,6.147556392195957,26008,6.399089888030408,13451285,6.511258418263953,42
918537,lstm_baseline,False,23616558,10.653581714945751,7.619524385414872,-1.498643410751243,0.6578947368421053,7.619524385414872,23616558,7.718525431514565,5219788,8.033881405599756,23616558,7.995068388047561,213626,7.672070129244935,1000,8.6856730966007,1000,8.662161559061287,42,8.653374516106899,618626816
919137,mlp_baseline,False,213626,17.502212068418796,12.735446010539734,2.845749745961108,0.5789473684210527,14.90055376778241,618626816,15.980492919099095,42,14.83023362689548,907969,14.993214458032371,26008,12.735446010539734,213626,16.418678988039105,907969,15.116634992213031,1000,14.78681140475803,213626
