window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
3,4,-0.2891691327095032,-0.08964243531227112,0.7324373722076416,2.0,0.3836159110069275,0.6514185070991516,0.931034505367279,7.0,0.13333334028720856,3.0,0.11171316355466843,1.0,0.20000000298023224,0.46666666865348816,-0.30000001192092896,0.291016161441803,3.0,2.1367459297180176,0.0,0.0,1.5707963705062866,1.0714088678359985,8.566666603088379,5.763639450073242
3,5,-0.31228694319725037,-0.07308843731880188,0.7040448784828186,2.0,0.23691709339618683,2.1657769680023193,0.931034505367279,6.0,0.005102040711790323,2.0,0.05511682480573654,1.0,0.5,0.5333333611488342,-0.4333333373069763,0.22639130055904388,3.0,2.1571757793426514,0.0,0.0,1.5707963705062866,1.1196013689041138,17.53333282470703,10.033507347106934
4,0,-0.647323727607727,-0.46139031648635864,0.66056889295578,1.0,0.41276365518569946,-0.05571191385388374,0.9655172228813171,4.0,0.03703703731298447,4.0,0.14878980815410614,3.0,0.3333333432674408,0.4000000059604645,-0.06666667014360428,0.20322684943675995,3.0,2.165888547897339,0.0,0.0,1.3744467496871948,1.1810002326965332,21.33333396911621,12.101106643676758
4,1,-0.7077006697654724,0.018146170303225517,0.8601668477058411,4.0,0.22892896831035614,-0.6778801083564758,1.0,5.0,0.025510204955935478,7.0,0.18228203058242798,1.0,0.5,0.1666666716337204,-0.13333334028720856,0.14397692680358887,3.0,1.905442237854004,0.0,0.0,0.9817476868629456,1.2070664167404175,10.899999618530273,5.510804653167725
4,2,-0.8716861605644226,-0.7178592085838318,0.6154373288154602,1.0,0.11115667223930359,1.032021403312683,0.7586206793785095,5.0,0.01189060602337122,6.0,0.17475758492946625,4.0,1.0,0.4000000059604645,-0.13333334028720856,0.140192911028862,3.0,1.9840058088302612,0.0,0.0,1.3744467496871948,1.2219678163528442,2.299999952316284,1.9502431154251099
4,3,-0.1511937826871872,-1.0850377082824707,0.6439427733421326,3.0,0.468637079000473,0.43686434626579285,0.931034505367279,5.0,0.02210884355008602,4.0,0.11465433239936829,1.0,0.5,0.23333333432674408,-0.13333334028720856,0.1388704478740692,4.0,2.002048969268799,0.0,0.0,1.3744467496871948,1.2658389806747437,4.766666889190674,3.7479496002197266
4,4,-0.053880807012319565,0.1633261889219284,0.6428780555725098,2.0,0.36318930983543396,-0.5795208215713501,0.9655172228813171,4.0,0.03231292590498924,6.0,0.12563009560108185,3.0,0.5,0.3333333432674408,0.0,0.0706283450126648,4.0,2.165888547897339,0.0,0.0,1.7671458721160889,1.2772291898727417,13.433333396911621,9.898391723632812
4,5,-0.3572882413864136,-0.15184751152992249,0.7494786977767944,2.0,0.3834448456764221,0.5390582084655762,0.931034505367279,8.0,0.03999999910593033,3.0,0.09550511837005615,1.0,0.20000000298023224,0.46666666865348816,-0.36666667461395264,0.27901285886764526,4.0,2.091329574584961,0.0,0.0,1.5707963705062866,1.0765528678894043,8.899999618530273,5.597721099853516
4,6,-0.3537220358848572,-0.1088375449180603,0.7128878831863403,2.0,0.3480737805366516,2.2434825897216797,0.931034505367279,6.0,0.015306122601032257,2.0,0.059406571090221405,1.0,0.5,0.46666666865348816,-0.46666666865348816,0.21955285966396332,3.0,2.1571757793426514,0.0,0.0,1.3744467496871948,1.133510708808899,17.866666793823242,9.80053997039795
5,0,-0.6756653785705566,-0.8618181347846985,0.65079265832901,1.0,0.423395037651062,0.03759181499481201,0.9655172228813171,4.0,0.012345679104328156,4.0,0.15013337135314941,3.0,0.3333333432674408,0.3333333432674408,-0.10000000149011612,0.1857362687587738,3.0,2.127415657043457,0.0,0.0,1.3744467496871948,1.154273271560669,21.66666603088379,12.0868501663208
5,1,-0.729458749294281,0.5470940470695496,0.8585811853408813,4.0,0.24865634739398956,-0.6635816097259521,1.0,5.0,0.015306122601032257,7.0,0.1825529783964157,1.0,0.5,0.10000000149011612,-0.20000000298023224,0.1290564090013504,3.0,1.905442237854004,0.0,0.0,0.9817476868629456,1.211214303970337,11.0,5.483517646789551
5,2,-0.895071268081665,-0.677450954914093,0.9245786666870117,3.0,0.33711355924606323,0.26645269989967346,0.8965517282485962,4.0,0.020408162847161293,6.0,0.08444780111312866,1.0,0.5,-0.3333333432674408,-0.03333333507180214,0.042546290904283524,4.0,1.8890167474746704,0.0,0.0,0.9817476868629456,1.245648980140686,22.03333282470703,13.555717468261719
5,3,-0.14221277832984924,-0.7021756172180176,0.6519336104393005,3.0,0.468637079000473,0.5596228837966919,0.931034505367279,5.0,0.020576132461428642,4.0,0.18803046643733978,1.0,0.3333333432674408,0.1666666716337204,-0.20000000298023224,0.14579562842845917,4.0,2.0224788188934326,0.0,0.0,1.3744467496871948,1.2351391315460205,4.733333110809326,3.750249147415161
5,4,-0.10639248043298721,0.10805486142635345,0.6232753396034241,2.0,0.3551201820373535,-0.3304044306278229,0.9655172228813171,3.0,0.00911613181233406,6.0,0.08521163463592529,3.0,1.0,0.3333333432674408,0.0,0.05045642331242561,4.0,2.106985569000244,0.0,0.0,1.7671458721160889,1.2912673950195312,13.966666221618652,10.025771141052246
5,5,-0.36571967601776123,0.36571967601776123,0.7119273543357849,2.0,0.3480737805366516,2.262718915939331,0.931034505367279,6.0,0.005102040711790323,2.0,0.05853746458888054,1.0,0.5,0.4000000059604645,-0.5333333611488342,0.21781028807163239,3.0,2.091329574584961,0.0,0.0,1.3744467496871948,1.1311944723129272,18.0,9.843605041503906
6,0,-0.6918715238571167,-0.8771942853927612,0.6536805033683777,1.0,0.441510945558548,0.04711068421602249,0.9655172228813171,4.0,0.02469135820865631,4.0,0.1742025464773178,3.0,0.3333333432674408,0.2666666805744171,-0.1666666716337204,0.17492929100990295,3.0,2.1571757793426514,0.0,0.0,1.3744467496871948,1.1619688272476196,21.899999618530273,12.140982627868652
6,1,-0.6201727986335754,-0.7567245960235596,0.601452112197876,1.0,0.16198082268238068,0.028809361159801483,0.7586206793785095,3.0,0.016250494867563248,4.0,0.1556186079978943,3.0,1.0,0.2666666805744171,-0.20000000298023224,0.23667024075984955,3.0,2.0284221172332764,0.0,0.0,1.3744467496871948,1.1583353281021118,5.233333110809326,5.858582496643066
6,2,-0.7583993077278137,0.485849529504776,0.8338584303855896,4.0,0.29977425932884216,-0.5238378643989563,1.0,5.0,0.0357142873108387,6.0,0.18069544434547424,1.0,0.5,0.06666667014360428,-0.2666666805744171,0.0903397873044014,3.0,1.950858473777771,0.0,0.0,0.9817476868629456,1.2306095361709595,11.266666412353516,5.625884532928467
6,3,-0.9277336001396179,-0.707614541053772,0.9154041409492493,3.0,0.35236087441444397,0.2735593318939209,0.8965517282485962,4.0,0.028911564499139786,6.0,0.08102735877037048,1.0,0.5,-0.4000000059604645,-0.06666667014360428,0.03775269165635109,4.0,1.9822362661361694,0.0,0.0,0.9817476868629456,1.240350365638733,22.33333396911621,13.401835441589355
6,4,-0.1828581541776657,-0.3748592138290405,0.638495922088623,1.0,0.44225621223449707,0.5898930430412292,0.8965517282485962,5.0,0.03703703731298447,4.0,0.17290721833705902,3.0,0.3333333432674408,0.10000000149011612,-0.20000000298023224,0.14503943920135498,4.0,2.034196138381958,0.0,0.0,1.3744467496871948,1.236434817314148,4.866666793823242,3.645813226699829
6,5,-0.12558507919311523,-0.12558507919311523,0.6362481713294983,2.0,0.3838036060333252,-0.326659619808197,1.0,3.0,0.008503401651978493,6.0,0.12236763536930084,3.0,0.5,0.3333333432674408,-0.06666667014360428,0.04742107540369034,4.0,2.106985569000244,0.0,0.0,1.5707963705062866,1.28607177734375,14.166666984558105,10.0861234664917
