window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
86,0,15.166666984558105,5.657345294952393,0.0,28.0,13.0,15.0,0.06896551698446274,455.0
87,0,15.033333778381348,5.7531633377075195,0.0,28.0,13.0,9.0,-0.13793103396892548,451.0
87,1,5.699999809265137,3.7784476280212402,0.0,15.0,0.0,3.0,0.1034482792019844,171.0
88,0,14.899999618530273,5.844370365142822,0.0,28.0,18.0,9.0,-0.3103448152542114,447.0
88,1,5.699999809265137,3.7784476280212402,0.0,15.0,3.0,0.0,-0.1034482792019844,171.0
89,0,14.5,6.026330947875977,0.0,28.0,15.0,6.0,-0.3103448152542114,435.0
89,1,5.733333110809326,3.7588415145874023,0.0,15.0,5.0,4.0,-0.03448275849223137,172.0
90,0,14.766666412353516,6.216555118560791,0.0,28.0,16.0,23.0,0.24137930572032928,443.0
90,1,5.766666889190674,3.7566237449645996,0.0,15.0,5.0,6.0,0.03448275849223137,173.0
91,0,14.766666412353516,6.216555118560791,0.0,28.0,28.0,16.0,-0.4137931168079376,443.0
91,1,5.699999809265137,3.787259340286255,0.0,15.0,10.0,3.0,-0.24137930572032928,171.0
92,0,14.266666412353516,5.715087413787842,0.0,26.0,11.0,13.0,0.06896551698446274,428.0
92,1,5.4666666984558105,3.730355978012085,0.0,15.0,9.0,3.0,-0.2068965584039688,164.0
93,0,14.433333396911621,5.690245151519775,0.0,26.0,20.0,16.0,-0.13793103396892548,433.0
93,1,5.166666507720947,3.7954652309417725,0.0,15.0,8.0,0.0,-0.27586206793785095,155.0
94,0,14.199999809265137,5.599999904632568,0.0,26.0,14.0,13.0,-0.03448275849223137,426.0
95,0,13.933333396911621,5.7904133796691895,0.0,26.0,10.0,6.0,-0.13793103396892548,418.0
95,1,4.9666666984558105,3.8164846897125244,0.0,15.0,1.0,1.0,0.0,149.0
96,0,14.600000381469727,6.416645050048828,0.0,30.0,15.0,30.0,0.517241358757019,438.0
97,0,14.899999618530273,6.635008335113525,0.0,30.0,11.0,24.0,0.4482758641242981,447.0
98,0,15.533333778381348,7.121485710144043,0.0,30.0,18.0,30.0,0.4137931168079376,466.0
98,1,5.766666889190674,4.5290422439575195,0.0,18.0,6.0,13.0,0.24137930572032928,173.0
98,2,91.33333587646484,20.473289489746094,56.0,131.0,103.0,118.0,0.517241358757019,2740.0
99,0,15.733333587646484,7.270641326904297,0.0,30.0,21.0,24.0,0.1034482792019844,472.0
100,0,15.5,7.209946632385254,0.0,30.0,18.0,14.0,-0.13793103396892548,465.0
101,0,15.233333587646484,7.260318279266357,0.0,30.0,10.0,10.0,0.0,457.0
102,0,15.5,7.209946632385254,0.0,30.0,20.0,18.0,-0.06896551698446274,465.0
103,0,15.100000381469727,7.281712055206299,0.0,30.0,13.0,8.0,-0.17241379618644714,453.0
104,0,15.133333206176758,7.274307727813721,0.0,30.0,18.0,14.0,-0.13793103396892548,454.0
105,0,15.066666603088379,7.256874084472656,0.0,30.0,26.0,16.0,-0.3448275923728943,452.0
106,0,14.699999809265137,6.967304706573486,0.0,30.0,20.0,15.0,-0.17241379618644714,441.0
107,0,14.333333015441895,6.968181610107422,0.0,30.0,14.0,9.0,-0.17241379618644714,430.0
108,0,14.300000190734863,6.972087383270264,0.0,30.0,11.0,13.0,0.06896551698446274,429.0
109,0,14.266666412353516,6.990151882171631,0.0,30.0,11.0,10.0,-0.03448275849223137,428.0
110,0,14.433333396911621,6.969855785369873,0.0,30.0,3.0,16.0,0.4482758641242981,433.0
111,0,14.833333015441895,6.638691425323486,0.0,30.0,0.0,15.0,0.517241358757019,445.0
112,0,15.800000190734863,6.518691062927246,6.0,30.0,16.0,29.0,0.4482758641242981,474.0
113,0,15.699999809265137,6.537838459014893,6.0,30.0,19.0,13.0,-0.2068965584039688,471.0
114,0,15.533333778381348,6.5152812004089355,6.0,30.0,18.0,14.0,-0.13793103396892548,466.0
115,0,15.100000381469727,6.764367580413818,5.0,30.0,15.0,5.0,-0.3448275923728943,453.0
115,1,3.2333333492279053,2.3900256156921387,0.0,10.0,10.0,0.0,-0.3448275923728943,97.0
116,0,15.199999809265137,6.784295558929443,5.0,30.0,9.0,18.0,0.3103448152542114,456.0
116,1,3.066666603088379,2.0645151138305664,0.0,9.0,1.0,5.0,0.13793103396892548,92.0
116,2,53.83333206176758,12.811670303344727,29.0,84.0,49.0,58.0,0.3103448152542114,1615.0
117,0,15.333333015441895,6.699917316436768,5.0,30.0,9.0,13.0,0.13793103396892548,460.0
117,1,3.133333444595337,2.0286831855773926,0.0,9.0,1.0,3.0,0.06896551698446274,94.0
117,2,54.36666488647461,12.931829452514648,29.0,84.0,39.0,65.0,0.8965517282485962,1631.0
118,0,15.5,6.601767539978027,5.0,30.0,6.0,14.0,0.27586206793785095,465.0
118,1,10.433333396911621,7.508587837219238,0.0,33.0,0.0,10.0,0.3448275923728943,313.0
118,2,3.200000047683716,1.989974856376648,0.0,9.0,4.0,3.0,-0.03448275849223137,96.0
118,3,55.099998474121094,12.660568237304688,29.0,84.0,49.0,61.0,0.4137931168079376,1653.0
119,0,15.800000190734863,6.363437175750732,5.0,30.0,23.0,15.0,-0.27586206793785095,474.0
119,1,3.1666667461395264,1.9846633672714233,0.0,9.0,0.0,3.0,0.1034482792019844,95.0
119,2,55.233333587646484,12.61661148071289,29.0,84.0,58.0,53.0,-0.17241379618644714,1657.0
120,0,15.233333587646484,6.453336715698242,5.0,30.0,16.0,6.0,-0.3448275923728943,457.0
120,1,3.5333333015441895,2.3485219478607178,0.0,11.0,4.0,11.0,0.24137930572032928,106.0
120,2,54.5,13.065858840942383,29.0,84.0,69.0,36.0,-1.137930989265442,1635.0
121,0,15.199999809265137,6.451873302459717,5.0,30.0,13.0,15.0,0.06896551698446274,456.0
121,1,3.5,2.3487584590911865,0.0,11.0,1.0,3.0,0.06896551698446274,105.0
121,2,53.83333206176758,12.816872596740723,29.0,84.0,50.0,49.0,-0.03448275849223137,1615.0
122,0,15.100000381469727,6.508200168609619,5.0,30.0,16.0,10.0,-0.2068965584039688,453.0
122,1,53.29999923706055,13.289469718933105,29.0,84.0,41.0,34.0,-0.24137930572032928,1599.0
123,0,14.699999809265137,6.8026957511901855,4.0,30.0,13.0,4.0,-0.3103448152542114,441.0
123,1,53.79999923706055,13.098091125488281,29.0,84.0,44.0,56.0,0.4137931168079376,1614.0
124,0,14.733333587646484,6.796731472015381,4.0,30.0,6.0,14.0,0.27586206793785095,442.0
124,1,54.33333206176758,13.013668060302734,29.0,84.0,39.0,60.0,0.7241379022598267,1630.0
125,0,14.800000190734863,6.720118999481201,4.0,30.0,30.0,8.0,-0.7586206793785095,444.0
126,0,14.166666984558105,6.126898765563965,4.0,30.0,24.0,11.0,-0.4482758641242981,425.0
127,0,13.866666793823242,5.852254867553711,4.0,30.0,30.0,15.0,-0.517241358757019,416.0
128,0,13.033333778381348,5.243938446044922,4.0,29.0,24.0,5.0,-0.6551724076271057,391.0
129,0,12.399999618530273,5.023942470550537,4.0,29.0,14.0,5.0,-0.3103448152542114,372.0
130,0,12.433333396911621,5.037746429443359,4.0,29.0,10.0,15.0,0.17241379618644714,373.0
131,0,12.966666221618652,5.570657253265381,4.0,29.0,18.0,26.0,0.27586206793785095,389.0
132,0,13.333333015441895,6.214677810668945,4.0,29.0,8.0,29.0,0.7241379022598267,400.0
133,0,13.566666603088379,6.141027927398682,4.0,29.0,14.0,15.0,0.03448275849223137,407.0
134,0,13.633333206176758,6.15620756149292,4.0,29.0,16.0,16.0,0.0,409.0
135,0,13.433333396911621,6.17350959777832,4.0,29.0,15.0,10.0,-0.17241379618644714,403.0
136,0,13.399999618530273,6.167657375335693,4.0,29.0,9.0,14.0,0.17241379618644714,402.0
137,0,13.433333396911621,6.146453380584717,4.0,29.0,13.0,10.0,-0.1034482792019844,403.0
138,0,13.600000381469727,6.199999809265137,4.0,29.0,10.0,18.0,0.27586206793785095,408.0
139,0,13.566666603088379,6.221914768218994,4.0,29.0,16.0,9.0,-0.24137930572032928,407.0
140,0,13.633333206176758,6.258238792419434,4.0,29.0,15.0,18.0,0.1034482792019844,409.0
141,0,13.566666603088379,6.253976345062256,4.0,29.0,29.0,13.0,-0.5517241358757019,407.0
142,0,12.899999618530273,5.60565185546875,4.0,29.0,13.0,9.0,-0.13793103396892548,387.0
143,0,12.766666412353516,5.64909029006958,4.0,29.0,14.0,9.0,-0.17241379618644714,383.0
144,0,12.899999618530273,5.723343849182129,4.0,29.0,5.0,18.0,0.4482758641242981,387.0
145,0,12.933333396911621,5.6799845695495605,4.0,29.0,18.0,6.0,-0.4137931168079376,388.0
146,0,13.100000381469727,5.89547872543335,4.0,29.0,13.0,23.0,0.3448275923728943,393.0
147,0,12.933333396911621,5.966201305389404,4.0,29.0,14.0,8.0,-0.2068965584039688,388.0
148,0,13.233333587646484,6.2326202392578125,4.0,29.0,15.0,23.0,0.27586206793785095,397.0
149,0,12.899999618530273,6.394528865814209,4.0,29.0,6.0,5.0,-0.03448275849223137,387.0
150,0,13.166666984558105,6.266755104064941,4.0,29.0,15.0,14.0,-0.03448275849223137,395.0
151,0,13.199999809265137,6.2790656089782715,4.0,29.0,10.0,16.0,0.2068965584039688,396.0
