product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_pocid,lstm_baseline_seed,graph2vec_lstm_pocid,graph2vec_lstm_seed,gcn_lstm_pocid,gcn_lstm_seed,gat_lstm_pocid,gat_lstm_seed,mlp_baseline_pocid,mlp_baseline_seed,graph2vec_mlp_pocid,graph2vec_mlp_seed,gcn_mlp_pocid,gcn_mlp_seed,gat_mlp_pocid,gat_mlp_seed
26220,graph2vec_mlp,True,26008,52.744387573582735,34.30709357666814,-3.043713762869243,0.3881578947368421,0.5723684210526315,1000,0.5592105263157895,42,0.4802631578947368,42,0.4934210526315789,907969,0.5131578947368421,1000,0.3881578947368421,26008,0.4736842105263157,213626,0.4736842105263157,213626
26372,gcn_mlp,True,5219788,30.935001011684232,23.79920488245347,10.82208251953125,0.25,0.3486842105263157,555555,0.3618421052631579,5219788,0.3355263157894737,23616558,0.3552631578947368,213626,0.3157894736842105,907969,0.3947368421052631,26008,0.25,5219788,0.3881578947368421,1000
26768,gcn_mlp,True,23616558,33.002389604917106,22.15823112437928,-17.330778520870833,0.375,0.5986842105263158,555555,0.5592105263157895,26008,0.5197368421052632,23616558,0.5328947368421053,213626,0.5328947368421053,26008,0.3881578947368421,618626816,0.375,23616558,0.4276315789473684,13451285
26924,gat_lstm,True,1000,22.10628027476729,14.907477029787948,-1.4408732831867692,0.4605263157894737,0.5855263157894737,1000,0.5328947368421053,5219788,0.5131578947368421,907969,0.4605263157894737,1000,0.5789473684210527,213626,0.5855263157894737,907969,0.5460526315789473,5219788,0.5657894736842105,5219788
30534,graph2vec_mlp,True,1000,13.125411770394235,10.8504680184757,2.640142764920503,0.4276315789473684,0.5460526315789473,1000,0.5131578947368421,42,0.506578947368421,23616558,0.4802631578947368,1000,0.5657894736842105,618626816,0.4276315789473684,1000,0.4605263157894737,1000,0.4736842105263157,1000
48369,gat_mlp,True,555555,12.040664485638391,9.259445645450766,0.7454401963676502,0.4210526315789473,0.5,23616558,0.506578947368421,42,0.506578947368421,13451285,0.5131578947368421,5219788,0.5131578947368421,5219788,0.506578947368421,1000,0.4407894736842105,213626,0.4210526315789473,555555
48375,gat_lstm,True,26008,29.24071871794361,22.26009011736103,12.541032398448271,0.3947368421052631,0.4802631578947368,26008,0.5197368421052632,26008,0.4802631578947368,907969,0.3947368421052631,26008,0.506578947368421,23616558,0.506578947368421,1000,0.4276315789473684,23616558,0.4407894736842105,26008
110187,graph2vec_mlp,True,213626,61.62810122397462,51.33663122638378,34.57368618834253,0.4736842105263157,0.6513157894736842,1000,0.625,13451285,0.5723684210526315,907969,0.5789473684210527,23616558,0.5986842105263158,26008,0.4736842105263157,213626,0.506578947368421,618626816,0.5263157894736842,42
151815,gcn_mlp,True,555555,15.23023791140088,12.327276317122717,8.88079567204893,0.5460526315789473,0.5855263157894737,5219788,0.5789473684210527,42,0.5526315789473685,13451285,0.5723684210526315,23616558,0.631578947368421,42,0.6447368421052632,555555,0.5460526315789473,555555,0.618421052631579,13451285
151821,gat_lstm,True,42,9.869615052588994,7.762378960653068,1.6755660250296,0.5,0.5789473684210527,26008,0.5328947368421053,213626,0.5460526315789473,213626,0.5,42,0.5657894736842105,26008,0.5394736842105263,42,0.5526315789473685,1000,0.5460526315789473,618626816
151828,mlp_baseline,False,1000,11.077245805681825,8.323269744324529,-0.9317778606040804,0.4736842105263157,0.5921052631578947,213626,0.5855263157894737,26008,0.5526315789473685,26008,0.4868421052631579,42,0.4736842105263157,1000,0.6118421052631579,618626816,0.4736842105263157,618626816,0.5592105263157895,618626816
213624,graph2vec_mlp,True,42,11.626958074467282,9.12303565530216,-2.585520127240349,0.4144736842105263,0.6644736842105263,907969,0.618421052631579,13451285,0.631578947368421,26008,0.6513157894736842,5219788,0.5986842105263158,1000,0.4144736842105263,42,0.5526315789473685,1000,0.4342105263157895,42
213625,lstm_baseline,False,42,10.588688374696543,7.870864537806293,2.305916599198884,0.6447368421052632,0.6447368421052632,42,0.6842105263157895,555555,0.6907894736842105,213626,0.6973684210526315,213626,0.6447368421052632,23616558,0.6973684210526315,23616558,0.7105263157894737,555555,0.7039473684210527,213626
213626,gat_lstm,True,5219788,25.267808426663663,17.889666688208486,-8.528942881066815,0.5723684210526315,0.625,213626,0.618421052631579,555555,0.5789473684210527,618626816,0.5723684210526315,5219788,0.5789473684210527,618626816,0.5855263157894737,907969,0.5855263157894737,555555,0.6118421052631579,618626816
213627,graph2vec_mlp,True,555555,19.81033202426057,13.691519045362286,-2.1882549610013275,0.5921052631578947,0.6118421052631579,5219788,0.618421052631579,555555,0.625,213626,0.618421052631579,42,0.6118421052631579,42,0.5921052631578947,555555,0.5986842105263158,5219788,0.6052631578947368,13451285
213628,gcn_lstm,True,1000,21.519831888799335,16.34960593429266,-9.14926835602405,0.4605263157894737,0.5855263157894737,26008,0.5131578947368421,26008,0.4605263157894737,1000,0.6578947368421053,213626,0.6447368421052632,618626816,0.6513157894736842,907969,0.6513157894736842,26008,0.6513157894736842,1000
213629,graph2vec_mlp,True,5219788,19.018512269228825,15.084297504300386,6.132375555100784,0.6710526315789473,0.7236842105263158,1000,0.7236842105263158,213626,0.7236842105263158,26008,0.6973684210526315,1000,0.6776315789473685,1000,0.6710526315789473,5219788,0.7105263157894737,13451285,0.6973684210526315,13451285
213630,gcn_mlp,True,13451285,17.102523878226954,13.203369763941549,3.3987206103754977,0.5,0.5526315789473685,213626,0.5394736842105263,26008,0.5394736842105263,42,0.5328947368421053,907969,0.5328947368421053,907969,0.506578947368421,13451285,0.5,13451285,0.5263157894736842,907969
213631,gat_lstm,True,618626816,14.447980353809898,11.211127087960836,-0.4590346891116472,0.4605263157894737,0.5197368421052632,42,0.506578947368421,26008,0.5197368421052632,42,0.4605263157894737,618626816,0.5197368421052632,26008,0.5263157894736842,42,0.5328947368421053,1000,0.5197368421052632,5219788
213633,gat_mlp,True,1000,14.095237874510891,10.565507764130636,2.39238795112161,0.3684210526315789,0.5,5219788,0.4342105263157895,1000,0.4605263157894737,555555,0.4802631578947368,213626,0.375,5219788,0.3815789473684211,1000,0.4013157894736842,42,0.3684210526315789,1000
213636,gat_lstm,True,26008,11.219361692128974,7.812967995802562,-5.329980062113868,0.3421052631578947,0.3552631578947368,1000,0.3881578947368421,23616558,0.3881578947368421,26008,0.3421052631578947,26008,0.375,23616558,0.3486842105263157,23616558,0.375,42,0.3552631578947368,907969
213642,gat_lstm,True,1000,12.582564839830972,9.823915836857816,0.07520653219784,0.4407894736842105,0.4671052631578947,13451285,0.4671052631578947,907969,0.4868421052631579,13451285,0.4407894736842105,1000,0.4671052631578947,26008,0.4868421052631579,42,0.4605263157894737,5219788,0.4407894736842105,23616558
500056,gat_mlp,True,907969,19.4965417484184,15.900242076200598,3.597691978504455,0.4013157894736842,0.506578947368421,1000,0.4736842105263157,26008,0.4802631578947368,42,0.4605263157894737,555555,0.4539473684210526,23616558,0.4342105263157895,1000,0.4210526315789473,42,0.4013157894736842,907969
500057,gat_mlp,True,13451285,14.83613300089876,11.548823568556044,-2.0969157935747136,0.3947368421052631,0.4539473684210526,555555,0.4802631578947368,618626816,0.4539473684210526,213626,0.4276315789473684,618626816,0.5,26008,0.4868421052631579,213626,0.4013157894736842,23616558,0.3947368421052631,13451285
538923,gcn_lstm,True,213626,11.103244264980503,8.35222460163964,-2.425258439350752,0.506578947368421,0.5657894736842105,26008,0.5657894736842105,5219788,0.506578947368421,213626,0.5394736842105263,907969,0.5592105263157895,5219788,0.5592105263157895,26008,0.5460526315789473,1000,0.5592105263157895,1000
545597,gcn_mlp,True,42,12.14511462082733,8.75799868465249,-6.280039625230178,0.3684210526315789,0.4539473684210526,13451285,0.4473684210526316,26008,0.4078947368421052,1000,0.4144736842105263,213626,0.4210526315789473,213626,0.4407894736842105,26008,0.3684210526315789,42,0.4078947368421052,23616558
545598,gcn_mlp,True,5219788,9.727469963937692,7.935057185054604,2.466499079286663,0.3486842105263157,0.5197368421052632,618626816,0.3618421052631579,1000,0.4342105263157895,5219788,0.5131578947368421,13451285,0.5131578947368421,618626816,0.3881578947368421,13451285,0.3486842105263157,5219788,0.3684210526315789,13451285
545602,gat_mlp,True,1000,16.613968620348775,13.81903436448839,9.295104868271771,0.3815789473684211,0.4736842105263157,13451285,0.4605263157894737,1000,0.4868421052631579,907969,0.4671052631578947,42,0.4605263157894737,23616558,0.4342105263157895,618626816,0.4144736842105263,1000,0.3815789473684211,1000
582893,gcn_mlp,True,1000,15.528128095298602,13.246595756680358,9.436566807865317,0.4144736842105263,0.5263157894736842,555555,0.506578947368421,1000,0.5328947368421053,5219788,0.4802631578947368,42,0.4868421052631579,618626816,0.4605263157894737,213626,0.4144736842105263,1000,0.4210526315789473,555555
587317,gat_lstm,True,26008,5.966172633637295,4.763250818439558,-0.6908038706561319,0.4078947368421052,0.5,213626,0.4473684210526316,26008,0.4671052631578947,26008,0.4078947368421052,26008,0.4802631578947368,26008,0.4605263157894737,5219788,0.4868421052631579,555555,0.4539473684210526,618626816
606214,gat_lstm,True,13451285,9.49640459444524,7.407918044944215,5.609437531115962,0.5328947368421053,0.5723684210526315,907969,0.5657894736842105,213626,0.5460526315789473,5219788,0.5328947368421053,13451285,0.5855263157894737,618626816,0.5855263157894737,13451285,0.5723684210526315,1000,0.5789473684210527,13451285
606230,gcn_mlp,True,1000,8.173062055909973,6.20555825326957,1.7728798560846866,0.5197368421052632,0.5460526315789473,42,0.5526315789473685,26008,0.5263157894736842,555555,0.5328947368421053,1000,0.5526315789473685,23616558,0.5592105263157895,5219788,0.5197368421052632,1000,0.5263157894736842,5219788
680152,gcn_mlp,True,1000,13.399721408187212,11.496750239453284,9.05141936408149,0.3815789473684211,0.4868421052631579,26008,0.4539473684210526,5219788,0.4078947368421052,26008,0.4605263157894737,26008,0.4144736842105263,23616558,0.4407894736842105,907969,0.3815789473684211,1000,0.4210526315789473,13451285
904144,gat_lstm,True,23616558,17.325865552021604,13.347553207204232,-2.2035801496381078,0.4210526315789473,0.5789473684210527,26008,0.5526315789473685,618626816,0.4539473684210526,1000,0.4210526315789473,23616558,0.4210526315789473,1000,0.5131578947368421,555555,0.4473684210526316,1000,0.4407894736842105,26008
907967,gat_lstm,True,907969,20.777907987819937,15.224673451940998,1.7424839493495967,0.5592105263157895,0.631578947368421,26008,0.5986842105263158,907969,0.6381578947368421,5219788,0.5592105263157895,907969,0.5921052631578947,618626816,0.6118421052631579,42,0.618421052631579,1000,0.6052631578947368,26008
907969,gat_lstm,True,42,58.80472448733386,42.61106600792579,-20.96070236006593,0.6710526315789473,0.6907894736842105,555555,0.6973684210526315,23616558,0.6842105263157895,26008,0.6710526315789473,42,0.6907894736842105,5219788,0.6973684210526315,42,0.6776315789473685,1000,0.6776315789473685,555555
907970,mlp_baseline,False,23616558,12.306510417130012,9.718728931900722,-6.990912692998749,0.3684210526315789,0.6381578947368421,555555,0.5592105263157895,907969,0.4276315789473684,1000,0.5789473684210527,555555,0.3684210526315789,23616558,0.6513157894736842,5219788,0.6052631578947368,23616558,0.631578947368421,1000
