product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_mae,lstm_baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,gcn_lstm_mae,gcn_lstm_seed,gat_lstm_mae,gat_lstm_seed,mlp_baseline_mae,mlp_baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,gcn_mlp_mae,gcn_mlp_seed,gat_mlp_mae,gat_mlp_seed
26076,graph2vec_mlp,True,907969,11.284707308756822,8.847450381010965,2.653364356047188,0.506578947368421,10.079150891771503,23616558,9.107707251131146,213626,10.672693583700392,555555,10.10186217812931,555555,9.948976342195,1000,8.847450381010965,907969,9.198000434177374,1000,9.199838990479511,23616558
26220,lstm_baseline,False,26008,40.27590433085287,23.85661927079843,-8.354009195090898,0.625,23.85661927079843,26008,27.415881985932398,23616558,28.11102829415814,26008,27.426272345524207,618626816,25.109178477642583,42,32.243665046941224,13451285,32.93559935825323,26008,31.438201617571263,42
26372,gcn_lstm,True,23616558,28.067174792039594,19.451451603883232,3.4230126929438973,0.3355263157894737,22.309378031811683,26008,21.574352227005303,42,19.451451603883232,23616558,19.744083778530943,13451285,21.384811762890784,555555,22.26860270780676,5219788,22.45087657255285,26008,21.792247952978595,618626816
26768,gcn_lstm,True,5219788,22.706125896197253,15.794074719248254,-3.6116475684970033,0.5986842105263158,16.020840116575652,907969,16.376170426412344,213626,15.794074719248254,5219788,16.81669562159021,5219788,19.236042864182416,555555,19.72989948746425,5219788,19.611917433395885,907969,21.52187373591404,555555
26924,gcn_lstm,True,618626816,14.749226697207508,10.084086237390055,1.714343114616045,0.5921052631578947,10.634202458500082,23616558,11.992723306020102,907969,10.084086237390055,618626816,13.954993366415984,555555,12.918861102434544,213626,11.209296843584848,1000,10.669428395290002,13451285,11.782715604196188,5219788
30534,lstm_baseline,False,555555,11.887421114432318,9.621150515437906,1.4376689250173131,0.5460526315789473,9.621150515437906,555555,9.660432650372872,23616558,9.967809197170284,26008,9.943961498784084,42,10.018649327209571,5219788,9.977124579591688,555555,10.321663234748092,42,10.562723208097072,1000
48369,graph2vec_mlp,True,13451285,10.430980615853844,7.763386028264862,-1.0489913653704075,0.5460526315789473,8.638360902374865,213626,8.7548669388676,26008,12.128272634316112,555555,12.40126100357841,13451285,7.806243485095454,13451285,7.763386028264862,13451285,8.178922017415365,42,7.921230736900778,1000
48375,mlp_baseline,False,23616558,14.218470682182282,10.282685896929571,-1.671009462643293,0.506578947368421,11.7062820780511,23616558,12.331777180721556,13451285,14.728170285427492,26008,15.296541812373142,213626,10.282685896929571,23616558,10.695280749813405,1000,13.124008047814463,23616558,12.000014236549926,618626816
110187,lstm_baseline,False,555555,43.71141185561787,33.79918872608858,7.165918013628791,0.7039473684210527,33.79918872608858,555555,36.271682340335225,213626,37.06244335299224,42,37.307978411905125,907969,35.13944633334291,555555,35.27985656339359,13451285,36.23560427996068,907969,36.38007220099954,13451285
151815,gat_lstm,True,907969,12.220303736694875,8.821716289894253,-0.7139918071771759,0.6052631578947368,9.096820469775231,42,9.020309298646216,13451285,9.243114970088785,13451285,8.821716289894253,907969,8.931616440317988,213626,9.34830841363645,26008,9.74921561845767,26008,9.139408959282768,5219788
