item_id,cat_label,cluster,trend_strength,trend_changes,lr_slope,lr_r2,forecastability,fluctuation,ac_relevance,seasonal_strength,window_fluctuation,st_variation,diff_series,complexity,rec_concentration,centroid
213626,milknplant based bevs,0,0.1834519130402401,134,0.007209933273175902,0.005480831607665437,0.15838846008566296,0.9723684210526315,0.8408583630153591,0.3043312070061598,0.8723404255319149,-0.9758522881946969,0.1636807942843527,33.80362583601145,0.12477669277605519,389.4592228163042
213627,milknplant based bevs,0,0.14303186294600767,133,0.01139319814430486,0.014448693154731518,0.16848059417157038,0.968421052631579,0.7601369576699559,0.24090432748759782,0.5319148936170213,-1.2021352917078665,0.2542716407024657,35.560013610994794,-0.44031436978902194,392.52130783780785
213628,milknplant based bevs,0,0.09780313603826662,137,-0.007324756996840919,0.0057895845551089176,0.17095354107802152,0.9723684210526315,0.7398342053580925,0.2353138584734178,0.6808510638297872,-0.4753523866808074,0.2684559875913841,36.05226039833329,-0.46414907907195313,368.0760885519256
213629,milknplant based bevs,0,0.11715115425654388,130,-0.004936902770963026,0.002889937494255257,0.16881173540863686,0.9763157894736842,0.7971619165552295,0.24331302186666703,0.5319148936170213,-0.9810199565482977,0.2597269402590397,34.680807142953576,-0.7519526634317657,372.5907151082104
213630,milknplant based bevs,0,0.16831346891251464,125,0.005676681226797684,0.0071558285459440985,0.15407347716929276,0.9539473684210527,0.7608965461906256,0.342343480978498,0.8723404255319149,-0.2479125882099755,0.18857461797868297,35.49895869074273,0.3052532991162309,390.8287284229152
213631,milknplant based bevs,0,0.1362223195870419,131,-0.005004348434590775,0.005951812725015659,0.15241190757743456,0.968421052631579,0.7016519548871752,0.29568346979635995,0.8085106382978723,-0.06087809647131003,0.2028939634356572,37.027956468645165,-0.4895440154110715,367.64880115638607
213633,milknplant based bevs,0,0.2217280460512282,116,-0.0018684654355268983,0.0008967782349584841,0.14731126001122494,0.9565789473684211,0.7648160530755592,0.3148305479381792,0.851063829787234,-0.7516720901458787,0.22789237759494022,35.450763381371935,0.04758214907842273,374.98110711023577
213636,milknplant based bevs,0,0.1466782512703979,115,-0.014503104896658653,0.05383777393211442,0.15296451412767603,0.9407894736842105,0.5976676046466649,0.28862061765297964,0.6170212765957447,0.2053313460468919,0.3847136830575626,40.11664446960206,-0.41717599150274615,303.04602438650875
213642,milknplant based bevs,0,0.1949133472820862,113,-0.0022242637748986693,0.0012914157745250732,0.14464277875069703,0.9342105263157895,0.7136002866603776,0.3496953074944843,0.1276595744680851,1.1824360331492119,0.20879937314214786,36.63175495971161,0.8091392393436767,349.643278099459
500057,carbonated sft drnks,0,0.40872187113351377,135,-0.0012860964998505134,0.00042523005929717694,0.15434320663105067,0.9552631578947368,0.9658931480165663,0.38164698929027574,0.2765957446808511,0.028243773517262913,0.27477393970760966,31.525852049039223,-0.5225914301179481,373.63712434991834
538923,eggs egg substitutes,0,0.21801706303535473,127,0.0003148462690866873,4.868675518387988e-05,0.15991602836038593,0.9407894736842105,0.9579458597677123,0.258426872562209,0.1702127659574468,-0.5332680480463319,0.15952820458982364,31.64525123432401,0.3899615704777337,385.5230345181244
545597,sparkling seltzer mixer,0,0.2377550325785306,127,-0.008830017867518965,0.02447339584866215,0.1497897493354998,0.9644736842105263,0.6855825251585013,0.32167020883767317,0.574468085106383,-0.14719521881234676,0.2566607872344109,37.45405356636542,-0.43089026471038105,340.91677864536047
545598,sparkling seltzer mixer,0,0.250928940051537,115,-0.010180483179971823,0.03707184540964048,0.14961200072088604,0.9631578947368421,0.7093773147229672,0.30915359904943496,0.6170212765957447,0.14149442462743886,0.26347444061432007,36.815247400990984,-0.6978717011686235,338.8059009316119
545602,sparkling seltzer mixer,0,0.1749858599380918,130,-0.003256914882319977,0.0018888605629238109,0.15170960225757407,0.9776315789473684,0.7075546261220589,0.32934654460645585,0.6595744680851063,-0.44616875222078634,0.2288815313907081,36.86450494655404,-0.5177234188228028,369.8577265698168
582893,sparkling seltzer mixer,0,0.2692251935867117,126,-0.013632791716790289,0.046417168887229465,0.15087067056338943,0.9710526315789474,0.7642794776445234,0.303589074041433,0.6170212765957447,-0.10530867674034416,0.22796454921873427,35.45206553056762,-0.5788464378363992,338.4935770487068
587317,milknplant based bevs,0,0.1748387771620411,97,9.90310369859282e-05,1.3991151321168793e-05,0.1481511118433517,0.9368421052631579,0.650505818811391,0.33686308476738247,0.8723404255319149,-0.19556785729722262,0.28743696812979136,38.44061063713954,0.5088700922601974,379.3714338950768
606214,refrigerated drnks,0,0.1418279680300627,124,-0.004335800441432821,0.012255923852680706,0.1527977744648348,0.9473684210526315,0.6895883256944729,0.2746961298088971,0.1276595744680851,-0.1679965719733206,0.2231311649937038,37.3415215677835,-0.5286263609822381,362.9283385086452
606230,refrigerated drnks,0,0.13780997817645568,104,-0.0013388930851449094,0.001272681939261111,0.1527035669009494,0.9394736842105263,0.7730567931242874,0.3156864391959229,0.1276595744680851,-0.8996452429320433,0.18326951303582115,35.26457560286274,-0.008600901102080893,373.084678506069
680152,sparkling seltzer mixer,0,0.2732978479216619,128,-0.005781702593213609,0.007888770014981672,0.1492343150349273,0.9618421052631579,0.7169457683297097,0.3165678998396899,0.5531914893617021,-0.3992048677895428,0.31224902856910586,36.59434617400658,-0.42804304808007704,358.1756862050987
907967,eggs egg substitutes,0,0.16832566416488826,135,-0.003099069701839521,0.0012561105195666444,0.1643620753583433,0.9842105263157894,0.7904407979007986,0.28451688489757687,0.1276595744680851,-0.6483235271271356,0.19423334291024044,34.882899564647346,-0.24000066975044887,376.570345412436
907970,eggs egg substitutes,0,0.37126082180955833,116,-0.0009332388676534735,0.0004285042233531655,0.16436799434966995,0.9460526315789474,0.9315999394172512,0.2788943066969104,0.1276595744680851,-0.3818306246630193,0.24304460435699907,32.098044495992596,-0.18077741715999907,386.320734772831
911753,eggs egg substitutes,0,0.2936545333825663,139,-0.03158142518650345,0.033850551884011204,0.17861775378969488,0.9605263157894737,1.1135424118541648,0.24277638977091964,0.574468085106383,-1.085412137638001,0.21886098293267647,30.079678553271577,-0.05488545838510417,352.71597693007146
