source,target,weight
13544,151821,1.0
500056,213626,1.0
213630,213626,1.0
213625,213626,1.0
26372,151821,1.0
26768,151821,1.0
48369,151821,1.0
213624,213626,1.0
151828,213626,1.0
151815,213626,1.0
582893,213626,1.0
26220,213626,1.0
213626,151821,1.0
213627,151821,1.0
26076,213626,1.0
213629,151821,1.0
26008,213626,1.0
1325,213626,1.0
278,213626,1.0
900087600,213625,1.0
213636,151821,1.0
545598,213626,1.0
932812,151815,1.0
26002,213627,1.0
545598,151815,1.0
26768,151815,1.0
151828,151815,1.0
213625,151815,1.0
213627,151815,1.0
13544,213627,1.0
919137,213626,1.0
915640,213626,1.0
213629,151815,1.0
213631,151815,1.0
213636,151815,1.0
582893,151815,1.0
916110,151815,1.0
587317,151815,1.0
606214,151815,1.0
606230,151815,1.0
911753,213626,1.0
907970,213626,1.0
907967,213626,1.0
680152,213626,1.0
606214,213626,1.0
908786,151815,1.0
911753,151815,1.0
933457,213625,1.0
213642,151821,1.0
916110,213625,1.0
18568,213624,1.0
908786,151828,1.0
48369,213625,1.0
911753,151828,1.0
30534,213625,1.0
26924,213625,1.0
916110,151828,1.0
918537,151828,1.0
26220,213625,1.0
1325,213624,1.0
26002,213625,1.0
26002,213624,1.0
545597,151821,1.0
13544,213625,1.0
900087600,213624,1.0
916110,213624,1.0
911753,213624,1.0
908786,213624,1.0
907970,213624,1.0
30534,213624,1.0
110187,213624,1.0
680152,213624,1.0
545598,213624,1.0
907970,151828,1.0
606214,151828,1.0
48375,213625,1.0
213633,151828,1.0
545598,151821,1.0
908786,213625,1.0
904144,151821,1.0
907967,213625,1.0
907967,151821,1.0
915640,151821,1.0
680152,213625,1.0
545602,213625,1.0
900087600,151821,1.0
13544,151828,1.0
16920,151828,1.0
18568,151828,1.0
538923,213625,1.0
26002,151828,1.0
26076,151828,1.0
26768,151828,1.0
30534,151828,1.0
110187,151828,1.0
213625,151828,1.0
213628,151828,1.0
110187,213625,1.0
26220,151815,1.0
48369,151815,1.0
13544,151815,1.0
213626,213628,1.0
213626,48369,1.0
213627,48369,1.0
907970,213628,1.0
213629,48369,1.0
213630,48369,1.0
213636,48369,1.0
907967,213628,1.0
680152,213628,1.0
538923,213628,1.0
213630,213628,1.0
151815,213628,1.0
933457,213628,1.0
907967,48369,1.0
915640,48369,1.0
918537,48369,1.0
933442,48369,1.0
48375,213628,1.0
457,48375,1.0
26076,213628,1.0
1325,48375,1.0
26008,213628,1.0
26076,213627,1.0
30534,48369,1.0
26076,48369,1.0
26076,48375,1.0
545602,30534,1.0
213631,30534,1.0
213636,30534,1.0
606230,213629,1.0
582893,213629,1.0
500056,213629,1.0
213642,213629,1.0
500057,30534,1.0
213626,213629,1.0
538923,30534,1.0
26924,213629,1.0
26372,213629,1.0
26002,48369,1.0
26002,213629,1.0
25032,213629,1.0
921558,30534,1.0
932812,30534,1.0
18568,213629,1.0
936693,30534,1.0
16920,213629,1.0
13544,48369,1.0
457,213629,1.0
18568,48369,1.0
26008,48375,1.0
13544,48375,1.0
26768,48375,1.0
151821,110187,1.0
30534,48375,1.0
907970,213627,1.0
6032,110187,1.0
907969,213627,1.0
213629,213627,1.0
213628,213627,1.0
16920,110187,1.0
48369,110187,1.0
48375,110187,1.0
213626,213627,1.0
213626,110187,1.0
911753,213627,1.0
213628,110187,1.0
213624,213627,1.0
110187,213627,1.0
500057,110187,1.0
545597,110187,1.0
545602,110187,1.0
680152,110187,1.0
907967,110187,1.0
48375,213627,1.0
936693,110187,1.0
919137,48375,1.0
278,110187,1.0
916110,213627,1.0
904144,48375,1.0
500056,48375,1.0
538923,48375,1.0
545597,48375,1.0
680152,48375,1.0
213626,48375,1.0
18568,213628,1.0
16920,213628,1.0
278,213628,1.0
907969,48375,1.0
936693,213627,1.0
213624,48375,1.0
933457,213627,1.0
907970,48375,1.0
151815,48375,1.0
915640,48375,1.0
213630,48375,1.0
904144,213624,0.9999999403953552
110187,18568,0.9999999403953552
151815,18568,0.9999999403953552
680152,18568,0.9999999403953552
25032,213625,0.9999999403953552
500056,900087600,0.9999999403953552
1325,921558,0.9999999403953552
918537,213627,0.9999999403953552
151821,213631,0.9999999403953552
213627,1325,0.9999999403953552
26372,13544,0.9999999403953552
213633,933442,0.9999999403953552
904144,916110,0.9999999403953552
933457,151828,0.9999999403953552
6032,916110,0.9999999403953552
213625,26008,0.9999999403953552
545597,26008,0.9999999403953552
26002,907970,0.9999999403953552
48369,911753,0.9999999403953552
500057,151828,0.9999999403953552
26008,151815,0.9999999403953552
13544,110187,0.9999999403953552
48369,916110,0.9999999403953552
500056,907967,0.9999999403953552
500056,911753,0.9999999403953552
213642,26768,0.9999999403953552
900087600,911753,0.9999999403953552
213631,26924,0.9999999403953552
30534,606230,0.9999999403953552
933457,151821,0.9999999403953552
457,26002,0.9999999403953552
213633,26008,0.9999999403953552
26768,26008,0.9999998807907104
538923,213627,0.9999998807907104
545597,921558,0.9999998807907104
16920,907970,0.9999998807907104
213625,1325,0.9999998807907104
26372,48369,0.9999998807907104
26076,606214,0.9999998807907104
587317,213629,0.9999998807907104
213630,151828,0.9999998807907104
538923,606214,0.9999998807907104
26924,918537,0.9999998807907104
932812,500056,0.9999998807907104
907970,915640,0.9999998807907104
6032,48369,0.9999998211860657
457,110187,0.9999998211860657
545597,907967,0.9999998211860657
30534,911753,0.9999998211860657
911753,915640,0.9999998211860657
911753,26002,0.9999998211860657
213627,921558,0.9999998211860657
213628,48369,0.9999998211860657
908786,915640,0.9999998211860657
915640,900087600,0.9999998211860657
151821,916110,0.9999997615814209
918537,545602,0.9999997615814209
911753,908786,0.9999997615814209
213629,545597,0.9999997615814209
457,921558,0.9999997615814209
26768,916110,0.9999997019767761
500057,213631,0.9999997019767761
916110,933442,0.9999997019767761
13544,900087600,0.9999996423721313
48375,213629,0.9999996423721313
900087600,907967,0.9999996423721313
1325,918537,0.9999996423721313
26008,915640,0.9999996423721313
213631,921558,0.9999995827674866
538923,213629,0.9999995827674866
110187,933457,0.9999995827674866
606230,213625,0.9999995827674866
545598,1325,0.9999995827674866
151815,936693,0.9999995231628418
933442,30534,0.9999995231628418
213629,916110,0.999999463558197
907967,916110,0.9999994039535522
26924,936693,0.9999992847442627
48369,606214,0.9999992847442627
582893,907970,0.9999992251396179
933442,545602,0.9999992251396179
908786,907967,0.9999991655349731
213624,151821,0.9999991655349731
904144,545602,0.9999991655349731
213628,213629,0.9999991655349731
26002,900087600,0.9999991059303284
915640,13544,0.9999991059303284
545597,213624,0.9999991059303284
213628,933442,0.9999990463256836
545602,151821,0.9999990463256836
48375,18568,0.9999989867210388
1325,213628,0.999998927116394
680152,916110,0.9999988675117493
545597,26768,0.9999988079071045
213628,900087600,0.9999988079071045
1325,900087600,0.9999987483024597
933457,606214,0.9999982714653015
908786,26002,0.9999982118606567
26220,213624,0.999998152256012
918537,213628,0.9999980926513672
48369,933457,0.9999978542327881
907970,26768,0.9999977350234985
213630,900087600,0.9999977350234985
582893,30534,0.9999976754188538
933457,545602,0.999997615814209
110187,606214,0.999997615814209
1325,545597,0.9999974966049194
30534,26768,0.9999974370002747
907970,6032,0.9999973773956299
545597,936693,0.9999970197677612
26076,26002,0.9999969005584717
936693,916110,0.9999967217445374
26768,933457,0.9999964833259583
907967,907970,0.9999961853027344
151821,908786,0.9999961256980896
538923,916110,0.9999960064888
545597,213627,0.9999958276748657
151828,545597,0.9999954700469971
457,911753,0.9999954700469971
25032,907970,0.9999951720237732
606214,900087600,0.9999946355819702
900087600,48369,0.9999945759773254
151815,933442,0.9999942779541016
606230,213627,0.9999937415122986
907967,213624,0.9999935030937195
907967,545602,0.999993085861206
908786,26768,0.9999917149543762
538923,48369,0.9999914169311523
921558,110187,0.9999904632568359
213631,110187,0.9999901056289673
213633,545602,0.999989926815033
213642,48369,0.9999891519546509
907970,921558,0.9999886751174927
606214,213624,0.9999880194664001
213625,915640,0.999987006187439
151815,915640,0.9999869465827942
907969,213625,0.9999869465827942
151821,1325,0.9999855756759644
907970,545602,0.9999824166297913
907969,907967,0.9999820590019226
545602,213631,0.9999817609786987
912509,915640,0.9999799132347107
48375,916110,0.9999793171882629
48375,900087600,0.999971330165863
500057,213628,0.9999712705612183
18568,26768,0.9999704360961914
933442,213625,0.999962568283081
933442,1325,0.9999608397483826
915640,30534,0.9999507665634155
538923,1325,0.99994295835495
933457,213631,0.9999423027038574
26220,911753,0.9999337196350098
545598,606214,0.999927818775177
919137,213627,0.9999257326126099
151828,933442,0.9999246001243591
30534,908786,0.999922513961792
151815,921558,0.9999187588691711
151828,900087600,0.9999134540557861
213629,921558,0.9998980760574341
933457,915640,0.999890148639679
213629,110187,0.9998878240585327
587317,26768,0.9998877644538879
933442,915640,0.9998735785484314
545602,900087600,0.9998630881309509
13544,911753,0.9998435974121094
907967,30534,0.9998311996459961
545602,213628,0.9997922778129578
900087600,110187,0.9997884631156921
26924,1325,0.9997684359550476
933457,213624,0.9997561573982239
213624,213631,0.9997511506080627
151821,606214,0.9996923208236694
582893,911753,0.9996772408485413
545597,213628,0.9996752142906189
936693,1325,0.9996697306632996
933442,13544,0.9996163845062256
13544,213624,0.9996132850646973
916110,606214,0.9995458126068115
921558,213628,0.9992473721504211
213628,213624,0.9989705681800842
213629,933442,0.9989286661148071
213630,545597,0.998860776424408
213627,907967,0.9988523721694946
582893,1325,0.9960877299308777
30534,900087600,0.9890721440315247
