item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,composite_score,pocid,train_time,inference_time,best_epoch
110187,6269,907969,no_emb,30,1,,,,,baseline,46.36166687228695,34.50544969435611,3.627762454397538,32.714136473331884,0.6842105263157895,5.7255,0.0773,3
110187,6269,907969,spearman,30,1,0.7,,True,False,True,53.970861847113,40.08741289571999,17.499426234002208,41.382140705987055,0.6513157894736842,8.0746,1.195,31
110187,6269,907969,spearman,30,1,0.7,,True,False,False,53.48415154419414,40.15861748149192,12.882632745442049,40.00238832883056,0.6578947368421053,7.7373,0.8791,31
110187,6269,5219788,no_emb,30,1,,,,,baseline,50.2167888168661,38.41702630005631,19.426441477794278,39.569261352895694,0.6644736842105263,6.7523,0.077,9
110187,6269,5219788,spearman,30,1,0.7,,True,False,True,54.62123222279865,42.750516871221706,20.80781184458265,43.200198290350414,0.6907894736842105,7.2934,0.8836,27
110187,6269,5219788,spearman,30,1,0.7,,True,False,False,56.11266962852192,43.60872934320394,23.695124362224067,44.88229824061796,0.6973684210526315,7.3264,0.7937,27
110187,6269,13451285,no_emb,30,1,,,,,baseline,58.754618162847976,45.39422143128962,21.355994691256605,46.06486311206054,0.7171052631578947,8.3624,0.0976,43
110187,6269,13451285,spearman,30,1,0.7,,True,False,True,48.74712707166229,37.42720918873556,16.990886611876146,37.97808748598407,0.6447368421052632,6.9236,1.302,9
110187,6269,13451285,spearman,30,1,0.7,,True,False,False,50.93148320668892,39.24594720983817,12.966358011844113,38.51881790876503,0.7105263157894737,6.837,1.2418,23
110187,6269,23616558,no_emb,30,1,,,,,baseline,56.51253670234243,44.57987902444952,29.03327960671942,46.65955800896345,0.6710526315789473,6.9686,0.0764,16
110187,6269,23616558,spearman,30,1,0.7,,True,False,True,48.05934353214434,37.44154459900327,16.472939682162664,37.50829283636365,0.6447368421052632,6.2598,1.6896,4
110187,6269,23616558,spearman,30,1,0.7,,True,False,False,48.15168464248557,37.32634837798823,16.94907921279957,37.644699218939735,0.6578947368421053,6.3633,1.4287,4
110187,6269,618626816,no_emb,30,1,,,,,baseline,50.47962725361849,39.34093458745994,15.985652427268183,39.071460380491274,0.5921052631578947,6.5125,0.0911,4
110187,6269,618626816,spearman,30,1,0.7,,True,False,True,46.40443830577827,35.34816446179658,6.740770710839166,33.724452946048075,0.6578947368421053,6.5408,1.2032,6
110187,6269,618626816,spearman,30,1,0.7,,True,False,False,45.67302195115495,34.696370291943644,1.953293551416958,31.99892693641763,0.6513157894736842,6.179,1.212,6
26372,6269,42,no_emb,30,1,,,,,baseline,29.60102977236436,22.374743879230973,10.943517834532496,23.130080314623047,0.3947368421052631,6.427,0.0707,4
26372,6269,42,spearman,30,1,0.7,,True,False,True,30.04388577971894,22.62208729164273,12.032918418934145,23.68569431750369,0.375,6.791,0.8809,5
26372,6269,42,spearman,30,1,0.7,,True,False,False,29.872708607926487,22.47840355268491,11.727373210433262,23.487798494742783,0.3684210526315789,6.691,1.2866,5
26372,6269,1000,no_emb,30,1,,,,,baseline,28.64206125925181,21.82683226641487,9.025225595711104,22.0340450951574,0.4078947368421052,6.9529,0.0983,6
26372,6269,1000,spearman,30,1,0.7,,True,False,True,30.701841500447077,23.44280586990656,13.423558951982486,24.5675119556958,0.4407894736842105,6.6983,1.1395,6
26372,6269,1000,spearman,30,1,0.7,,True,False,False,30.3429880540382,23.14065045624777,12.718675177081735,24.136325435351477,0.4539473684210526,6.453,0.8789,6
26372,6269,26008,no_emb,30,1,,,,,baseline,28.488734630653333,21.49727503458659,7.085929047827627,21.390168335930223,0.375,6.7009,0.0816,4
26372,6269,26008,spearman,30,1,0.7,,True,False,True,29.358489795998008,22.391301946702345,9.596217261420357,22.676124700029682,0.4144736842105263,6.55,0.8065,4
26372,6269,26008,spearman,30,1,0.7,,True,False,False,29.19401781047336,22.18816620072508,9.403024461534288,22.494806570801522,0.4144736842105263,6.8012,0.8028,4
26372,6269,555555,no_emb,30,1,,,,,baseline,29.10052730893466,22.21524935454325,8.512104558009728,22.232102132605572,0.4144736842105263,6.8602,0.0996,4
26372,6269,555555,spearman,30,1,0.7,,True,False,True,29.62033139218269,22.625596551334155,9.733425427106472,22.8999211907015,0.4210526315789473,6.521,0.864,5
26372,6269,555555,spearman,30,1,0.7,,True,False,False,29.84213437387824,22.82187005585315,9.279855453890134,22.94649856437494,0.3881578947368421,6.3861,0.9506,3
26372,6269,213626,no_emb,30,1,,,,,baseline,28.372286834624013,21.23821101469152,7.236289753633387,21.304768609393232,0.4013157894736842,6.7156,0.0752,5
26372,6269,213626,spearman,30,1,0.7,,True,False,True,29.764881300063127,22.690944397371577,10.197336483625026,23.104510870280713,0.4013157894736842,6.9273,0.5974,4
26372,6269,213626,spearman,30,1,0.7,,True,False,False,29.801319085284025,22.727229037316015,10.300250795152452,23.15752950075913,0.4210526315789473,6.9375,0.6647,4
26372,6269,907969,no_emb,30,1,,,,,baseline,30.255735207264337,23.161045411053827,10.493836334328249,23.54158803997769,0.3684210526315789,7.6049,0.0786,2
26372,6269,907969,spearman,30,1,0.7,,True,False,True,28.79125028482492,21.958517760233164,9.810283960080614,22.337825572490903,0.4473684210526316,7.0449,0.6937,7
26372,6269,907969,spearman,30,1,0.7,,True,False,False,30.82330412513584,23.645163043651703,11.822191874186196,24.278490792027398,0.3618421052631579,6.4559,0.6196,2
26372,6269,5219788,no_emb,30,1,,,,,baseline,29.10257829734075,22.03499630697413,9.432878905651616,22.41825795182681,0.4013157894736842,5.9889,0.0701,6
26372,6269,5219788,spearman,30,1,0.7,,True,False,True,28.56641023920997,21.652230256523183,9.27530966864692,22.01509010089751,0.4210526315789473,6.2825,0.6684,6
26372,6269,5219788,spearman,30,1,0.7,,True,False,False,28.70657933168268,21.74194120269975,9.607091654359904,22.190547880106255,0.4144736842105263,6.32,1.0829,6
26372,6269,13451285,no_emb,30,1,,,,,baseline,28.52453985232835,21.607699612386867,8.433161479974883,21.772485199254614,0.4078947368421052,6.4783,0.111,6
26372,6269,13451285,spearman,30,1,0.7,,True,False,True,31.58111676457247,24.67715925328872,15.159825717701631,25.749804625033825,0.4210526315789473,6.7144,0.9874,9
26372,6269,13451285,spearman,30,1,0.7,,True,False,False,30.636240283443065,23.66119339886833,13.456422843185123,24.597524202234897,0.4276315789473684,6.8748,0.8471,9
26372,6269,23616558,no_emb,30,1,,,,,baseline,29.01956480691822,22.26442100175845,8.697287366281149,22.250209495469008,0.4407894736842105,6.9421,0.0783,6
26372,6269,23616558,spearman,30,1,0.7,,True,False,True,29.27906101584421,22.276582830092487,9.766696082221138,22.650350236000513,0.4342105263157895,6.9161,0.8186,5
26372,6269,23616558,spearman,30,1,0.7,,True,False,False,28.66891886589604,21.721903233746296,7.584542118645961,21.66107077104608,0.4013157894736842,6.7723,0.9462,4
26372,6269,618626816,no_emb,30,1,,,,,baseline,29.479905067456237,22.66233234779508,9.943817412931155,22.891489973909675,0.4407894736842105,6.7708,0.0866,4
26372,6269,618626816,spearman,30,1,0.7,,True,False,True,29.740378161137627,22.66470567541185,9.69462521870931,22.960021804099103,0.4144736842105263,6.691,0.6451,5
26372,6269,618626816,spearman,30,1,0.7,,True,False,False,29.620082966690955,22.559509875727635,9.63107132755853,22.85768678416702,0.4144736842105263,6.6068,1.1364,5
13544,6269,42,no_emb,30,1,,,,,baseline,39.38298422849267,30.37013898117869,-7.442376837329148,29.144621068873295,0.6052631578947368,6.8018,0.0991,16
13544,6269,42,spearman,30,1,0.7,,True,False,True,46.09436923622278,36.23767575025072,0.7953220197529185,32.3054340606123,0.5986842105263158,6.5923,0.6186,27
13544,6269,42,spearman,30,1,0.7,,True,False,False,34.27620017545267,26.66771338276224,-4.784398472873993,25.001128051635394,0.5197368421052632,6.0651,0.7037,1
