product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid
151821,6269,42,spearman,30,1,0.6,,True,False,False,catch24,11.514326558140645,9.49109741909052,6.2026459189022285,9.68059911356851,0.5197368421052632
151821,6269,42,spearman,30,1,0.65,,True,False,False,catch24,11.64675882716654,9.62478323543773,6.3092167922873905,9.806879420514552,0.5197368421052632
151821,6269,42,spearman,30,1,0.7,,True,False,False,catch24,11.524932182071984,9.070502175225151,6.059860192093194,9.545056682865578,0.5921052631578947
151821,6269,1000,spearman,30,1,0.6,,True,False,True,catch24,11.591694480638015,9.325061847961027,4.138177547579497,9.16165708920414,0.4934210526315789
151821,6269,1000,spearman,30,1,0.6,,True,False,False,catch24,11.61728265773166,9.488265227648167,3.8285737349316964,9.137851069510795,0.5657894736842105
151821,6269,1000,spearman,30,1,0.65,,True,False,False,catch24,13.804052848806698,11.019404130823473,4.873565125309564,10.875268738436608,0.5
151821,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,11.776909149766748,9.624092027252795,6.586272894167433,9.941045805238431,0.5526315789473685
151821,6269,26008,spearman,30,1,0.6,,True,False,True,catch24,11.016659095852692,9.115585514143401,4.635041392706578,8.945986274638841,0.4868421052631579
151821,6269,26008,spearman,30,1,0.6,,True,False,False,catch24,11.216868174182729,9.222030864042395,5.058600930606618,9.178592035753617,0.4934210526315789
151821,6269,26008,spearman,30,1,0.65,,True,False,False,catch24,11.672774322470833,8.944462314929838,1.595398603701124,8.471352390893156,0.5394736842105263
151821,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,10.232314967961997,8.263741661520566,1.8254573547762203,7.638457238055195,0.4473684210526316
151821,6269,555555,spearman,30,1,0.6,,True,False,True,catch24,10.988103718767395,8.887926824731764,3.746906467512542,8.652760182444775,0.5723684210526315
151821,6269,555555,spearman,30,1,0.6,,True,False,False,catch24,14.283878851372789,11.869176228841146,10.479300854252834,12.729058696459889,0.6118421052631579
151821,6269,555555,spearman,30,1,0.65,,True,False,False,catch24,12.674860355009367,10.173181833005419,3.8773588916055517,9.850065358657426,0.5723684210526315
151821,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,10.261940758396484,8.432778177697674,2.6193339279274537,7.893998405604524,0.506578947368421
151821,6269,213626,spearman,30,1,0.6,,True,False,True,catch24,9.891863604358889,8.002349971945769,2.6507886437808765,7.609216456111106,0.5526315789473685
151821,6269,213626,spearman,30,1,0.6,,True,False,False,catch24,16.067760056861214,13.388301836898904,12.162764642752853,14.421646648343547,0.5855263157894737
151821,6269,213626,spearman,30,1,0.65,,True,False,False,catch24,11.023877484992415,8.962773690815844,5.120209014493655,9.032684418823582,0.5789473684210527
151821,6269,213626,spearman,30,1,0.7,,True,False,False,catch24,11.09367230045614,9.111070819929534,5.555337369831559,9.213438197668342,0.5526315789473685
151821,6269,907969,spearman,30,1,0.6,,True,False,True,catch24,11.419823055209452,9.288549111559501,4.605151781069687,9.183336750762022,0.48026315789473684
151821,6269,907969,spearman,30,1,0.6,,True,False,False,catch24,10.628026411551211,8.737489824980692,3.4388794119841135,8.358105515016806,0.4144736842105263
151821,6269,907969,spearman,30,1,0.65,,True,False,False,catch24,11.303759424757247,8.94874984142827,6.418243408203125,9.493628024786473,0.5526315789473685
151821,6269,907969,spearman,30,1,0.7,,True,False,False,catch24,10.218766992730075,8.293862548528933,3.4472330754099327,8.044657402349754,0.5460526315789473
151821,6269,5219788,spearman,30,1,0.6,,True,False,True,catch24,12.412367031668703,10.145397074082318,6.769662894454657,10.434948507968596,0.5921052631578947
151821,6269,5219788,spearman,30,1,0.6,,True,False,False,catch24,13.250172241325561,10.322430108886918,7.498904112896888,11.080419676108733,0.5921052631578947
151821,6269,5219788,spearman,30,1,0.65,,True,False,False,catch24,10.949255952224641,9.006720175150953,5.237135693917867,9.035591943379526,0.5
151821,6269,5219788,spearman,30,1,0.7,,True,False,False,catch24,9.846410699051496,8.085825477550232,3.0391583910175397,7.704451316667691,0.5723684210526315
151821,6269,13451285,spearman,30,1,0.6,,True,False,True,catch24,11.532935772482794,9.428994808321685,4.601754269568748,9.274155155714006,0.5394736842105263
151821,6269,13451285,spearman,30,1,0.6,,True,False,False,catch24,11.039144439109945,8.971458280787749,3.762225747887605,8.70299322672381,0.5394736842105263
151821,6269,13451285,spearman,30,1,0.65,,True,False,False,catch24,12.835748689172009,10.383438833398756,7.556410346934998,10.902836639669442,0.5657894736842105
151821,6269,13451285,spearman,30,1,0.7,,True,False,False,catch24,10.88399003878043,8.856393390231663,4.4961006438810065,8.780118527918383,0.5723684210526315
151821,6269,23616558,spearman,30,1,0.6,,True,False,True,catch24,11.255490570088634,8.899069268719044,2.0180396535038168,8.357022515600033,0.5921052631578947
151821,6269,23616558,spearman,30,1,0.6,,True,False,False,catch24,11.469502675318633,9.382988013473211,5.911725150214301,9.558429628581194,0.5526315789473685
151821,6269,23616558,spearman,30,1,0.65,,True,False,False,catch24,10.198034579178461,8.202691770067402,2.704527911017923,7.825822209860562,0.5394736842105263
151821,6269,23616558,spearman,30,1,0.7,,True,False,False,catch24,13.141033507645457,10.730792251287722,8.515801897235946,11.382165290953646,0.5921052631578947
151821,6269,618626816,spearman,30,1,0.6,,True,False,True,catch24,9.807946122723232,7.951556635837929,1.9975960675407858,7.391261237206295,0.5789473684210527
151821,6269,618626816,spearman,30,1,0.6,,True,False,False,catch24,11.139541250447808,9.189970938987981,5.070499507430332,9.134888236828482,0.46710526315789475
151821,6269,618626816,spearman,30,1,0.65,,True,False,False,catch24,11.075470533724605,9.070096059562333,5.071395350437538,9.07310811936227,0.5328947368421053
151821,6269,618626816,spearman,30,1,0.7,,True,False,False,catch24,12.992726330572463,10.797721114813113,7.579188328163297,11.090590526030335,0.4605263157894737
213628,6269,42,spearman,30,1,0.6,,True,False,True,catch24,16.17290069250287,12.518410925771676,2.5149909624087265,11.844800818296536,0.6644736842105263
213628,6269,42,spearman,30,1,0.6,,True,False,False,catch24,16.24587781483035,12.716613570069955,2.739755867353452,11.987031266771027,0.6644736842105263
213628,6269,42,spearman,30,1,0.65,,True,False,False,catch24,19.045071005154117,15.044213213951759,7.533978705312691,15.16708348239317,0.6710526315789473
213628,6269,42,spearman,30,1,0.7,,True,False,False,catch24,16.99199965506746,12.782331329545164,1.9236098644780177,12.172485126039525,0.6776315789473685
213628,6269,1000,spearman,30,1,0.6,,True,False,True,catch24,16.314126532047975,12.653055702159607,3.119109484105328,12.100104562590221,0.6644736842105263
213628,6269,1000,spearman,30,1,0.6,,True,False,False,catch24,16.691899871492758,12.658701479045394,2.687264635671977,12.182441464425722,0.6644736842105263
213628,6269,1000,spearman,30,1,0.65,,True,False,False,catch24,18.596267881545057,15.063769184686,9.222201939501794,15.369626721819477,0.6842105263157895
213628,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,16.62245751358326,12.820149240930096,4.199769213308696,12.56620837035133,0.6644736842105263
213628,6269,26008,spearman,30,1,0.6,,True,False,True,catch24,16.01372281892124,12.521490982155395,3.053056230732039,11.900498212682479,0.6710526315789473
213628,6269,26008,spearman,30,1,0.6,,True,False,False,catch24,17.875107973675252,13.959609835755591,-2.0503277248806424,12.940038376996686,0.625
213628,6269,26008,spearman,30,1,0.65,,True,False,False,catch24,17.05070621868495,13.180866366118387,6.265795040753932,13.387018461060554,0.6776315789473685
213628,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,16.585164831163496,12.805530947018292,3.051324058981503,12.256796167081696,0.6578947368421053
213628,6269,555555,spearman,30,1,0.6,,True,False,True,catch24,16.07635298664411,12.420923070969925,2.47034773483775,11.760994194773975,0.6710526315789473
213628,6269,555555,spearman,30,1,0.6,,True,False,False,catch24,20.269926911398528,15.471250247332005,-7.682597590427773,15.92342541513921,0.5131578947368421
213628,6269,555555,spearman,30,1,0.65,,True,False,False,catch24,15.94830575882037,12.779257341148027,2.537402137432223,11.803317749055248,0.7171052631578947
213628,6269,555555,spearman,30,1,0.7,,True,False,False,catch24,16.490200136517682,12.839615516413271,4.432598737330219,12.563153631694712,0.6776315789473685
213628,6269,213626,spearman,30,1,0.6,,True,False,True,catch24,15.990461060773477,12.451336106443717,3.6023863499460655,12.008661144484185,0.6776315789473685
213628,6269,213626,spearman,30,1,0.6,,True,False,False,catch24,15.76554606710619,12.438571057288476,2.4869595695944393,11.614155690273824,0.6578947368421053
213628,6269,213626,spearman,30,1,0.65,,True,False,False,catch24,18.217324769805376,14.441463869381574,9.009551927155139,14.971416334036865,0.6710526315789473
213628,6269,213626,spearman,30,1,0.7,,True,False,False,catch24,15.852547201697483,12.675231210546556,4.448186712327346,12.207128081567218,0.6973684210526315
213628,6269,907969,spearman,30,1,0.6,,True,False,True,catch24,16.058835553822412,12.45780922384823,2.47802587272295,11.763376551054002,0.6973684210526315
213628,6269,907969,spearman,30,1,0.6,,True,False,False,catch24,17.151397155072935,12.891661500619128,3.1057528327493107,12.575052160878577,0.6447368421052632
213628,6269,907969,spearman,30,1,0.65,,True,False,False,catch24,17.004283490307937,13.22701258441202,3.26544229345384,12.625255464620432,0.6513157894736842
