product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,num_edges_mean,epoch,train_loss,val_loss,z_norm_mean,z_var_mean,grad_norm_gcn,grad_norm_mlp,grad_ratio_gcn_mlp
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,7,0.01197336645730372,0.006184382829815149,3.8379273414611816,0.014966464601457119,0.011809631145448737,0.39193330430969514,0.030131736740817906
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,8,0.012694695565317358,0.0018704571994021535,3.8248989582061768,0.01507226936519146,0.014105267034649687,0.45144848391426123,0.031244466505501223
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,9,0.010039211816287466,0.001873011700809002,3.809321880340576,0.015190242789685726,0.009425726822013059,0.2416407321903449,0.03900719359908755
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,10,0.009009955874976836,0.0030407696031033993,3.800330638885498,0.014738488011062145,0.005906468216153263,0.1700459546581145,0.03473454118913775
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,11,0.008649168253344084,0.0026535415090620518,3.796635389328003,0.014389846473932266,0.00573565186634194,0.14118443802480304,0.04062524132648164
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,12,0.008850604794653398,0.0018933003302663565,3.793360710144043,0.014632593840360641,0.007313701132092349,0.17454753641011522,0.04190091296886738
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,13,0.008547324254842741,0.0017832594458013773,3.789360284805298,0.014753123745322227,0.006818945335871555,0.15500073610595586,0.043992986789212714
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,14,0.008196383698045142,0.0017243424663320184,3.785475969314575,0.014626134186983109,0.005498884692078675,0.1334741382319536,0.041198128453029774
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,15,0.008073695178609341,0.0019962210208177567,3.7835841178894043,0.01450525876134634,0.004936302595396215,0.12152127503118214,0.040620892054407325
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,16,0.007849365589208901,0.002434530295431614,3.7821383476257324,0.014566609635949135,0.005261206015830239,0.11562070912159003,0.04550401096616611
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,17,0.0077863048978282935,0.0019842092879116535,3.780536651611328,0.014869566075503826,0.006100994249038266,0.12286377856022083,0.0496565734871832
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,18,0.007890877887673144,0.0017999158008024096,3.7782418727874756,0.015129546634852886,0.006927683237497158,0.13048065734275102,0.053093564812799726
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,19,0.00771897124858307,0.002115101320669055,3.775587320327759,0.015078947879374027,0.006747656387394263,0.12655885140469816,0.053316352925516966
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,20,0.007622455288323441,0.0017427799757570028,3.7729711532592773,0.014976762235164642,0.006160800755280339,0.1259442030571333,0.04891690610354363
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,21,0.007631933067126998,0.0033321548253297806,3.769503116607666,0.014817992225289345,0.006784047964288698,0.12686527940221626,0.05347442575463804
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,22,0.007347547440856163,0.004228970501571894,3.7650136947631836,0.015066995285451412,0.007751889034535622,0.11035609329364524,0.07024432274743966
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,23,0.008415601182995098,0.001883869874291122,3.7587528228759766,0.015911569818854332,0.01375306127057758,0.18841433043179562,0.07299371146019637
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,24,0.008665266837592103,0.002235092455521226,3.7501871585845947,0.016204722225666046,0.009409469201392875,0.1853438584773349,0.05076763416195288
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,25,0.008012118167243898,0.0016821675235405564,3.740442991256714,0.016092976555228233,0.0065663592756236054,0.1522968537378185,0.04311552809150334
26008,6269,42,spearman,15,1,0.7,,True,False,False,320.87252747252745,26,0.007257736579049379,0.0017259425949305296,3.7301137447357178,0.016086990013718605,0.005232289560393364,0.1229199727531101,0.042566634560357974
