seed,fp,product_id,n_test,rmse,mae,bias,r2,pocid,score
42,a6ce02c89c,2085,153,2.4901104217373056,2.0664772776996387,0.014036169433905408,0.03642498041384701,0.4407894736842105,1.7651835726520388
42,a6ce02c89c,2188,153,1.2052351685101377,0.9994916401657403,0.2797779553855946,-0.05333379943567196,0.35526315789473684,0.9224349831429026
42,a6ce02c89c,2285,153,2.9150524666886075,2.2250314230233235,-1.0920409310876933,-0.09818532386498169,0.4605263157894737,2.286794321872058
42,a6ce02c89c,2291,153,2.0176106593424317,1.658120902924756,-0.3392086934809591,-0.08592683535363022,0.40131578947368424,1.5081377287726445
42,a6ce02c89c,2305,153,2.388842485959976,1.8925305194909277,-0.5473155298458985,0.0003213382851900981,0.46710526315789475,1.8043827553141947
42,a6ce02c89c,2355,153,2.902058828751394,2.1748851397458244,0.1300804466983072,0.052649510660416676,0.42105263157894735,2.02727081098673
42,a6ce02c89c,2403,153,2.249944804899266,1.8868682892883526,0.005863815156462925,-0.00652528829230814,0.40789473684210525,1.5981554285608368
42,a6ce02c89c,2564,153,12.108742873034654,9.606299874050165,-2.109936717288946,-0.02452774418194248,0.4144736842105263,8.983430584352105
42,a6ce02c89c,2707,153,2.5382398524794585,1.9711222527853025,0.07242564983617246,-0.012679040837640487,0.4605263157894737,1.780006901895098
42,a6ce02c89c,2962,153,2.3389776411815286,1.879578633635652,0.6153795902245964,-0.0030729925185695173,0.4934210526315789,1.7932283765558263
42,a6ce02c89c,3386,153,3.935999622106828,3.2391315739528808,0.6400898182703778,-0.024962850324440566,0.48026315789473684,2.9378051591092285
42,a6ce02c89c,3500,153,3.2267277118486533,2.3479338179226796,0.49018428898325156,0.16204535366056894,0.40789473684210525,2.3228933826508094
42,a6ce02c89c,3520,153,4.726583899539042,3.2413871599957833,-1.5574196475783204,-0.02892764598158104,0.5131578947368421,3.562993651663047
42,a6ce02c89c,3532,153,6.392381905067737,5.196588487796534,-0.34714050347508946,0.07770632703719293,0.48026315789473684,4.582123200351774
42,a6ce02c89c,3559,153,6.200492113736944,4.730448324306338,-1.5877003788558486,0.04864989269551501,0.4868421052631579,4.679783232659019
42,a6ce02c89c,3703,153,3.4562283838576855,2.5369431238158855,-0.18373564489526686,0.04463798099014504,0.4407894736842105,2.408283884106631
42,a6ce02c89c,3713,153,3.2707741321708954,2.402405851027545,-0.8109162866679671,0.01628357261588087,0.45394736842105265,2.4387176005093254
42,a6ce02c89c,3714,153,3.8602348131990185,2.8122248223988837,-0.5505384533039106,-0.06858629369223257,0.4473684210526316,2.770808225525208
42,a6ce02c89c,3715,153,3.0815208234931584,2.1417673976203195,-0.3091703538411583,0.040097707672670846,0.45394736842105265,2.1534948496119486
42,a6ce02c89c,3720,153,3.6266301226228306,2.540017448755261,-1.2927774862428896,-0.08092997850746242,0.5197368421052632,2.7715137950609527
42,a6ce02c89c,3724,153,2.7281030004485936,2.152345897325503,-0.5256686335295634,-0.013499312809358566,0.506578947368421,2.0335551329380634
42,a6ce02c89c,3729,153,3.8758570707057376,3.1797316615877587,0.5579002850195941,0.01291129869048957,0.506578947368421,2.872336522004707
42,a6ce02c89c,3730,153,3.1378183288576156,2.5111913805693584,0.8679410616556803,-0.09141465291739914,0.5,2.4136922749850673
42,a6ce02c89c,3731,153,6.388428458805793,4.306506532664392,-3.1476956023499856,-0.36442235563882597,0.5460526315789473,5.0577647631564915
42,a6ce02c89c,3734,153,2.72021797153569,2.1197215879664704,-0.9345250049837275,-0.12934647921274478,0.3881578947368421,2.1236706340053946
42,a6ce02c89c,3737,153,3.0107961802316585,2.200555704485357,-1.0885916945396685,-0.13409275395731202,0.40131578947368424,2.3276849398720856
42,a6ce02c89c,3743,153,2.5026649328397483,1.7294603511691093,-0.4612598808275329,-0.021659349953549567,0.3223684210526316,1.7990125244190347
42,a6ce02c89c,3745,153,2.5293939994408197,1.970355730625539,-0.6455767487778383,-0.06633603566513879,0.40789473684210525,1.9186801195712542
42,a6ce02c89c,3750,153,2.7565088698381905,2.2612721953127117,0.4286387171231064,-0.0022853534720634894,0.3815789473684211,2.0507321630280497
42,a6ce02c89c,4852,153,6.573091938585396,4.11770239160731,-2.0038547425293456,-0.08472590138690639,0.4473684210526316,4.816935252826862
42,a6ce02c89c,4853,153,4.384853577226274,3.5312718309802946,0.126294339112207,0.08490979009496435,0.5,3.106818331136262
42,a6ce02c89c,4857,153,6.800299384459974,5.51832727357453,1.0323637217478034,0.001411848025314577,0.39473684210526316,5.0378224410605705
42,a6ce02c89c,4858,153,6.128958405956542,3.9447475038712323,-1.3581537489407982,-0.0030396086821316004,0.4473684210526316,4.390204516181279
42,a6ce02c89c,4862,153,7.179427595389991,4.6176330458884145,-1.5542441715602002,-0.021778439473650435,0.47368421052631576,5.132683102057149
42,a6ce02c89c,4872,153,2.178130911737758,1.837178566097434,0.2862196720503514,0.03051619170662878,0.32894736842105265,1.6199150154058255
42,a6ce02c89c,4873,153,2.203663722141828,1.8258675903666253,0.12417212712998484,-0.015664523523529983,0.4407894736842105,1.5893417904450664
42,a6ce02c89c,4978,153,2.5711543302012765,1.9897982686563256,-0.242696972259509,-0.03105446599809647,0.40789473684210525,1.8437009753295968
42,a6ce02c89c,4990,153,2.727445793088807,2.151196648579797,-0.9568916920548171,-0.1611099616882261,0.4276315789473684,2.1407449817030573
42,a6ce02c89c,5256,153,1.694583562085133,1.541620633278797,0.6588097796136257,-0.19352294352199562,0.39473684210526316,1.3973993842656722
42,a6ce02c89c,5862,153,2.72580247291503,2.0875825118882205,-0.33921746797616187,0.10547912737389309,0.5328947368421053,1.9696012314236107
42,a6ce02c89c,5908,153,2.086140563131423,1.7312076200846753,-0.5195453599387524,-0.06664806985626504,0.4605263157894737,1.6057585265715686
42,a6ce02c89c,6032,153,17.576652889373467,9.549594493083704,-3.516996231733584,0.12222791468003025,0.5921052631578947,12.054974125891055
