product_id,store_id,seed,metric,threshold,n_nodes,n_edges,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
911753,6269,42,spearman,0.79,1427,0,26.315732200158685,18.118305206298828,-1.8782556574595601,0.4982309937477112,0.7086092715231788,63,11.96
911753,6269,42,spearman,0.82,1427,0,26.315732200158685,18.118305206298828,-1.8782556574595601,0.4982309937477112,0.7086092715231788,63,11.92
911753,6269,42,spearman,0.85,1427,0,26.315732200158685,18.118305206298828,-1.8782556574595601,0.4982309937477112,0.7086092715231788,63,12.45
911753,6269,42,spearman,0.88,1427,0,26.315732200158685,18.118305206298828,-1.8782556574595601,0.4982309937477112,0.7086092715231788,63,12.94
911753,6269,42,spearman,0.91,1427,0,26.315732200158685,18.118305206298828,-1.8782556574595601,0.4982309937477112,0.7086092715231788,63,12.62
26008,6269,42,spearman,0.7,1,0,46.509050698493084,24.337060928344727,-10.185999669526753,0.327756404876709,0.6622516556291391,18,7.26
26008,6269,42,spearman,0.5,10,26,42.4812214372973,21.043725967407227,-3.5416192255522074,0.4391512870788574,0.6688741721854304,26,7.64
26008,6269,42,spearman,0.55,6,10,49.797708457097954,26.388362884521484,-16.099401699869258,0.22932642698287964,0.6490066225165563,16,7.09
26008,6269,42,spearman,0.6,4,4,48.70592208041159,25.92932891845703,-14.73976755142212,0.2627491354942322,0.6622516556291391,16,6.98
907969,6269,42,spearman,0.5,19,63,55.2268758169426,36.99226379394531,-24.68562306855854,0.013858675956726074,0.7152317880794702,12,6.96
907969,6269,42,spearman,0.55,11,28,53.849340430907326,35.6395263671875,-22.824677166185882,0.06244021654129028,0.7152317880794702,14,7.01
907969,6269,42,spearman,0.6,6,9,54.58348814187652,36.4964714050293,-23.959823959752132,0.036701738834381104,0.7152317880794702,13,6.96
907967,6269,42,spearman,0.5,6,14,20.217594544119006,14.245711326599121,0.7207243066085013,0.15844100713729858,0.6423841059602649,7,6.66
907967,6269,42,spearman,0.55,3,3,20.192948967109317,14.249605178833008,-0.4628242442482396,0.1604914665222168,0.6490066225165563,8,6.81
907967,6269,42,spearman,0.6,1,0,20.190891984769394,14.23024845123291,0.8530416488647461,0.1606624722480774,0.6357615894039735,7,6.44
213626,6269,42,spearman,0.5,9,33,21.429730222341664,14.217966079711914,1.0563366350374723,0.17917585372924805,0.6291390728476821,86,10.18
213626,6269,42,spearman,0.55,6,13,22.076074330852578,15.254077911376953,5.195026447898464,0.12891525030136108,0.6291390728476821,90,10.38
213626,6269,42,spearman,0.6,1,0,21.613422094810378,14.991595268249512,4.191475077679283,0.1650436520576477,0.6423841059602649,103,11.22
