product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,ablate_z,step,n_nodes,src_node,tgt_node,edge_weight
278,6269,42,spearman,15,1,0.75,,True,120,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,121,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,122,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,123,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,124,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,125,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,126,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,127,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,128,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,129,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,130,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,131,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,132,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,133,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,134,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,135,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,136,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,137,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,138,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,139,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,140,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,141,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,142,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,143,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,144,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,145,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,146,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,147,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,148,1,0,0,0.0
278,6269,42,spearman,15,1,0.75,,True,149,1,0,0,0.0
