Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,day_of_week_Unscaled,doy_Unscaled,is_thanksgiving_Unscaled,is_christmas_Unscaled,is_weekend_Unscaled,day_of_week_Scaled,doy_Scaled,is_thanksgiving_Scaled,is_christmas_Scaled,is_weekend_Scaled
20,"[[0.2226233035326004, 0.8333333333333333, 0.7692307692307693, 0.0, 0.0, 1.0], [0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0]]",0.22369207441806793,6.934454306960106,4.0,286.0,0.0,0.0,0.0,0.6666666666666666,0.7857142857142858,0.0,0.0,0.0
21,"[[0.2429778128862381, 1.0, 0.771978021978022, 0.0, 0.0, 1.0], [0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0]]",0.24397845566272736,7.563332125544548,5.0,287.0,0.0,0.0,1.0,0.8333333333333333,0.7884615384615385,0.0,0.0,1.0
22,"[[0.26543837785720825, 0.0, 0.7747252747252747, 0.0, 0.0, 0.0], [0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0]]",0.266391396522522,8.258133292198181,6.0,288.0,0.0,0.0,1.0,1.0,0.7912087912087913,0.0,0.0,1.0
23,"[[0.2448910027742386, 0.16666666666666666, 0.7774725274725275, 0.0, 0.0, 0.0], [0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0]]",0.24593095481395721,7.623859599232674,0.0,289.0,0.0,0.0,0.0,0.0,0.793956043956044,0.0,0.0,0.0
24,"[[0.23116706311702728, 0.3333333333333333, 0.7802197802197803, 0.0, 0.0, 0.0], [0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0]]",0.23221524059772491,7.198672458529472,1.0,290.0,0.0,0.0,0.0,0.16666666666666666,0.7967032967032968,0.0,0.0,0.0
25,"[[0.2245870679616928, 0.5, 0.7829670329670331, 0.0, 0.0, 0.0], [0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0], [0.23221524059772491, 0.3333333333333333, 0.7994505494505495, 0.0, 0.0, 0.0]]",0.22564752399921417,6.995073243975639,2.0,291.0,0.0,0.0,0.0,0.3333333333333333,0.7994505494505495,0.0,0.0,0.0
26,"[[0.22262142598628998, 0.6666666666666666, 0.7857142857142858, 0.0, 0.0, 0.0], [0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0], [0.23221524059772491, 0.3333333333333333, 0.7994505494505495, 0.0, 0.0, 0.0], [0.22564752399921417, 0.5, 0.8021978021978022, 0.0, 0.0, 0.0]]",0.2236914485692978,6.9344349056482315,3.0,292.0,0.0,0.0,0.0,0.5,0.8021978021978022,0.0,0.0,0.0
27,"[[0.22369207441806793, 0.8333333333333333, 0.7884615384615385, 0.0, 0.0, 1.0], [0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0], [0.23221524059772491, 0.3333333333333333, 0.7994505494505495, 0.0, 0.0, 0.0], [0.22564752399921417, 0.5, 0.8021978021978022, 0.0, 0.0, 0.0], [0.2236914485692978, 0.6666666666666666, 0.804945054945055, 0.0, 0.0, 0.0]]",0.2247660905122757,6.967748805880547,4.0,293.0,0.0,0.0,0.0,0.6666666666666666,0.804945054945055,0.0,0.0,0.0
28,"[[0.24397845566272736, 1.0, 0.7912087912087913, 0.0, 0.0, 1.0], [0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0], [0.23221524059772491, 0.3333333333333333, 0.7994505494505495, 0.0, 0.0, 0.0], [0.22564752399921417, 0.5, 0.8021978021978022, 0.0, 0.0, 0.0], [0.2236914485692978, 0.6666666666666666, 0.804945054945055, 0.0, 0.0, 0.0], [0.2247660905122757, 0.8333333333333333, 0.8076923076923077, 0.0, 0.0, 1.0]]",0.24497844278812408,7.594331726431847,5.0,294.0,0.0,0.0,1.0,0.8333333333333333,0.8076923076923077,0.0,0.0,1.0
29,"[[0.266391396522522, 0.0, 0.793956043956044, 0.0, 0.0, 0.0], [0.24593095481395721, 0.16666666666666666, 0.7967032967032968, 0.0, 0.0, 0.0], [0.23221524059772491, 0.3333333333333333, 0.7994505494505495, 0.0, 0.0, 0.0], [0.22564752399921417, 0.5, 0.8021978021978022, 0.0, 0.0, 0.0], [0.2236914485692978, 0.6666666666666666, 0.804945054945055, 0.0, 0.0, 0.0], [0.2247660905122757, 0.8333333333333333, 0.8076923076923077, 0.0, 0.0, 1.0], [0.24497844278812408, 1.0, 0.8104395604395606, 0.0, 0.0, 1.0]]",0.2673417925834656,8.287595570087433,6.0,295.0,0.0,0.0,1.0,1.0,0.8104395604395606,0.0,0.0,1.0
