item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid,train_time,inference_time,best_epoch
904144,6269,5219788,spearman,30,1,0.7,,True,False,True,11.860082177401953,9.470218054609362,3.0232535811031567,0.14943020437362586,0.5526315789473685,8.4067,1.4206,21
904144,6269,5219788,spearman,30,1,0.7,,True,False,False,13.201525581281993,10.929883857568106,5.666946722791086,-0.053859714667232605,0.5131578947368421,7.7126,1.1958,13
904144,6269,13451285,no_emb,30,1,,,,,baseline,11.489356803869127,9.07107661304131,2.2830741274980157,0.20177377221864146,0.5394736842105263,7.3346,0.0901,18
904144,6269,13451285,spearman,30,1,0.7,,True,False,True,10.679112196715394,7.895258517339339,-0.7401178647684895,0.31038792278860095,0.6052631578947368,6.5588,1.2023,19
904144,6269,13451285,spearman,30,1,0.7,,True,False,False,11.478249330034256,8.467147308626986,-2.777846882156297,0.2033164157801134,0.5855263157894737,7.9038,1.2861,18
904144,6269,23616558,no_emb,30,1,,,,,baseline,11.95170271056157,9.4429018168278,1.8847332294859918,0.13623794062817796,0.5131578947368421,7.2676,0.0829,5
904144,6269,23616558,spearman,30,1,0.7,,True,False,True,11.946082762186288,9.34536140845492,1.9040337816562527,0.1370500687411138,0.5921052631578947,8.43,1.4238,25
904144,6269,23616558,spearman,30,1,0.7,,True,False,False,12.118222591809861,9.425480998224682,2.3142894204535516,0.11200113415553004,0.5723684210526315,8.167,1.355,25
904144,6269,618626816,no_emb,30,1,,,,,baseline,11.71529793135781,9.274354823858909,2.6109004453116773,0.17007043628326957,0.5526315789473685,7.9522,0.0844,16
904144,6269,618626816,spearman,30,1,0.7,,True,False,True,11.742779257476323,9.392694269909578,3.3021957967795577,0.16617223143793625,0.6118421052631579,7.6383,1.4174,31
904144,6269,618626816,spearman,30,1,0.7,,True,False,False,13.283602410485974,10.670554938269596,5.8758400368924235,-0.06700461224510068,0.5986842105263158,9.0936,1.4609,31
545598,6269,42,no_emb,30,1,,,,,baseline,10.083357707766561,8.266787338295794,4.477528311068715,-0.27660608694805333,0.5394736842105263,7.3567,0.0733,1
545598,6269,42,spearman,30,1,0.7,,True,False,True,8.86696245082897,6.90118386270174,0.3184329904372396,0.012820106195086667,0.5723684210526315,6.9966,0.803,1
545598,6269,42,spearman,30,1,0.7,,True,False,False,8.87603029024308,6.882321685357811,0.13234931250023685,0.010799985778209398,0.5526315789473685,7.0042,0.9023,1
545598,6269,1000,no_emb,30,1,,,,,baseline,8.395727165046802,6.317912971272188,-0.10433455405671613,0.11495939447612724,0.625,7.4918,0.0884,15
545598,6269,1000,spearman,30,1,0.7,,True,False,True,11.583544137897636,9.385385114772648,5.873152077392815,-0.6847267761041815,0.47368421052631576,6.6575,0.952,1
545598,6269,1000,spearman,30,1,0.7,,True,False,False,11.416886858733385,9.243617569893793,5.559420668221767,-0.6365977776652134,0.4868421052631579,7.3934,0.7806,1
545598,6269,26008,no_emb,30,1,,,,,baseline,10.480829017731718,8.53345049070377,4.3533413552380855,-0.3792336195185697,0.5592105263157895,7.3933,0.1027,1
545598,6269,26008,spearman,30,1,0.7,,True,False,True,8.81282933088868,6.844124188512758,1.1808239407593908,0.02483684902121297,0.5855263157894737,7.6752,0.8582,3
545598,6269,26008,spearman,30,1,0.7,,True,False,False,8.778137236813322,6.7566163086034114,0.6693239441884109,0.032499283630325504,0.6052631578947368,7.3625,0.8963,3
545598,6269,555555,no_emb,30,1,,,,,baseline,10.333667661208755,8.455124957791341,4.625964542716936,-0.3407738870675432,0.6118421052631579,7.2195,0.0949,1
