window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26
0,40,-0.31775638461112976,-0.0924382209777832,1.181594729423523,3.0,0.27038753032684326,-2.2571732997894287,0.8275862336158752,4.0,0.020576132461428642,7.0,0.1136566698551178,1.0,0.3333333432674408,0.0,0.1666666716337204,0.2755049169063568,3.0,2.1571757793426514,0.0,0.0,0.7853981852531433,1.1955934762954712,4.433333396911621,5.769618988037109,26.0,4.0,0.1666666716337204
0,41,-1.2361055612564087,-1.015372395515442,0.5424738526344299,3.0,0.19646087288856506,-1.4704416990280151,0.8620689511299133,5.0,0.001981767825782299,3.0,0.08430564403533936,3.0,1.0,-0.06666667014360428,0.06666667014360428,0.026342319324612617,3.0,2.1776058673858643,0.0,0.0,1.5707963705062866,1.2131315469741821,8.600000381469727,4.530357360839844,21.0,13.0,0.0
0,42,-1.0073230266571045,-0.7748638987541199,0.8312394022941589,3.0,0.35473135113716125,-0.09919220954179764,0.7931034564971924,4.0,0.015306122601032257,6.0,0.14091575145721436,1.0,0.5,0.03333333507180214,0.2666666805744171,0.09430359303951263,4.0,2.0224788188934326,0.0,0.0,0.9817476868629456,1.3122400045394897,6.333333492279053,4.301830768585205,20.0,10.0,0.10000000149011612
0,43,-0.07114128023386002,-0.6313788890838623,0.8221539855003357,3.0,0.2625010907649994,-0.3784327507019043,0.8620689511299133,4.0,0.013605441898107529,5.0,0.16231392323970795,1.0,0.5,-0.4000000059604645,0.13333334028720856,0.037986304610967636,3.0,1.9746756553649902,0.0,0.0,0.9817476868629456,1.2950257062911987,4.4666666984558105,3.7484095096588135,14.0,1.0,0.1666666716337204
0,44,0.09871485829353333,0.6910040378570557,0.6331843733787537,2.0,0.26032358407974243,0.051049116998910904,0.931034505367279,6.0,0.025510204955935478,6.0,0.1429211050271988,2.0,0.5,-0.13333334028720856,-0.23333333432674408,0.1077050045132637,4.0,2.070282220840454,0.0,0.0,1.7671458721160889,1.1453280448913574,4.666666507720947,3.3767290115356445,10.0,5.0,0.1666666716337204
0,45,-0.48554521799087524,-0.48554521799087524,0.7256244421005249,3.0,0.1089012399315834,1.4283170700073242,0.9655172228813171,4.0,0.005102040711790323,7.0,0.09060327708721161,1.0,0.5,0.46666666865348816,-0.03333333507180214,0.06543941050767899,4.0,1.902503490447998,0.0,0.0,1.3744467496871948,1.2186501026153564,7.0,7.620299339294434,33.0,33.0,0.10000000149011612
0,46,-0.6526307463645935,-0.8767268061637878,0.999987006187439,3.0,0.12210753560066223,0.07739807665348053,0.8965517282485962,5.0,0.011904762126505375,6.0,0.1141633540391922,1.0,0.5,0.4000000059604645,-0.2666666805744171,0.17644406855106354,5.0,2.1367459297180176,0.0,0.0,0.9817476868629456,1.296481728553772,9.333333015441895,8.478506088256836,38.0,11.0,0.13333334028720856
0,47,-0.3025612533092499,-0.4945712685585022,0.9705582857131958,2.0,0.4189954698085785,-0.2764289975166321,0.9655172228813171,4.0,0.040816325694322586,6.0,0.07915464788675308,2.0,0.5,0.2666666805744171,-0.03333333507180214,0.12496267259120941,3.0,2.0865557193756104,0.0,0.0,0.9817476868629456,1.1858810186386108,13.5,8.593301773071289,34.0,34.0,0.0
0,48,-0.5142278671264648,-0.7255544066429138,0.7221372127532959,4.0,0.16097410023212433,2.0154178142547607,0.8620689511299133,4.0,0.010204081423580647,7.0,0.0870877280831337,1.0,0.5,-0.20000000298023224,0.13333334028720856,0.12849418818950653,4.0,2.145458698272705,0.0,0.0,1.1780972480773926,1.209778904914856,4.433333396911621,4.732013702392578,20.0,10.0,0.30000001192092896
0,49,-0.6299513578414917,-1.1564106941223145,0.5431906580924988,2.0,0.3535896837711334,0.7206380367279053,0.9655172228813171,4.0,0.00911613181233406,3.0,0.08329777419567108,2.0,1.0,0.2666666805744171,-0.10000000149011612,0.03880904242396355,4.0,2.070899486541748,0.0,0.0,1.7671458721160889,1.2646279335021973,7.933333396911621,3.7039897441864014,16.0,11.0,0.0
0,50,0.33960387110710144,-1.2413105964660645,0.548203706741333,1.0,0.17247027158737183,1.480215072631836,0.7586206793785095,5.0,0.014268727973103523,4.0,0.05592193081974983,5.0,1.0,-0.5,0.03333333507180214,0.09467385709285736,4.0,2.0605690479278564,0.0,0.0,1.9634953737258911,1.2394307851791382,4.0333333015441895,2.8464536666870117,10.0,5.0,0.10000000149011612
0,51,0.24902351200580597,-0.1194639801979065,0.5787444114685059,1.0,0.34233251214027405,-1.2561752796173096,1.0,4.0,0.004359888844192028,6.0,0.07128998637199402,1.0,1.0,0.23333333432674408,0.06666667014360428,0.03897001966834068,3.0,2.1541714668273926,0.0,0.0,1.7671458721160889,1.3032296895980835,117.16666412353516,49.52678298950195,239.0,139.0,0.0
0,52,-0.03238321840763092,0.5505146980285645,0.7130016684532166,2.0,0.24969220161437988,-0.011635194532573223,0.9655172228813171,4.0,0.005102040711790323,3.0,0.10595622658729553,3.0,0.5,0.4000000059604645,-0.3333333432674408,0.10062669962644577,3.0,2.1298024654388428,0.0,0.0,1.3744467496871948,1.2380127906799316,10.166666984558105,5.146698474884033,20.0,14.0,0.03333333507180214
0,53,-0.7363990545272827,-0.8648407459259033,0.573621392250061,2.0,0.29332417249679565,0.05143902823328972,0.8275862336158752,3.0,0.001981767825782299,2.0,0.1354232281446457,3.0,1.0,0.06666667014360428,-0.2666666805744171,0.16835206747055054,3.0,2.1776058673858643,0.0,0.0,1.7671458721160889,1.1302661895751953,1.9333332777023315,1.9464083909988403,5.0,5.0,0.36666667461395264
0,54,-0.5591715574264526,-0.755142867565155,0.8213211297988892,2.0,0.2254888415336609,0.8838973641395569,0.931034505367279,4.0,0.015306122601032257,3.0,0.06500294059515,2.0,0.5,-0.20000000298023224,0.23333333432674408,0.18173260986804962,3.0,2.0615692138671875,0.0,0.0,1.3744467496871948,1.1964620351791382,6.066666603088379,6.378483772277832,25.0,21.0,0.20000000298023224
0,55,-0.3711976110935211,-0.6147960424423218,0.8471459746360779,2.0,0.10544868558645248,0.3618518114089966,0.8620689511299133,4.0,0.025510204955935478,3.0,0.0763641893863678,2.0,0.5,-0.4333333373069763,0.3333333432674408,0.20195841789245605,4.0,1.9863927364349365,0.0,0.0,1.1780972480773926,1.2244939804077148,2.4666666984558105,2.873581647872925,14.0,0.0,0.30000001192092896
0,56,-0.4536508619785309,-0.7879198789596558,0.6758154034614563,2.0,0.33650967478752136,-0.882397472858429,0.931034505367279,3.0,0.015306122601032257,3.0,0.1599631905555725,2.0,0.5,-0.23333333432674408,0.13333334028720856,0.05738316848874092,4.0,1.8479260206222534,0.0,0.0,1.3744467496871948,1.3053035736083984,6.099999904632568,4.1882429122924805,14.0,6.0,0.03333333507180214
0,57,-0.8407296538352966,-0.5987014174461365,0.6070661544799805,2.0,0.1841500848531723,0.25374019145965576,0.8620689511299133,6.0,0.00554894981905818,6.0,0.08732490241527557,4.0,1.0,0.0,0.5,0.10983038693666458,3.0,2.106985569000244,0.0,0.0,1.7671458721160889,1.2359205484390259,6.199999809265137,3.9251620769500732,20.0,3.0,0.0
0,58,-0.5658218860626221,-0.7687797546386719,0.6280866861343384,2.0,0.09341561794281006,0.2668408155441284,0.6896551847457886,6.0,0.01981767825782299,3.0,0.07828839868307114,6.0,1.0,0.7333333492279053,-0.06666667014360428,0.14099159836769104,4.0,1.941593885421753,0.0,0.0,1.7671458721160889,1.23787260055542,2.633333444595337,2.7099220752716064,11.0,8.0,0.23333333432674408
0,59,-0.40017038583755493,-0.9355334639549255,0.8826248049736023,2.0,0.3698728680610657,-0.3345135748386383,0.8620689511299133,7.0,0.09333333373069763,6.0,0.20410649478435516,1.0,0.20000000298023224,-0.23333333432674408,0.2666666805744171,0.32788994908332825,5.0,2.0401391983032227,0.0,0.0,0.9817476868629456,1.0881462097167969,4.5333333015441895,3.0820205211639404,11.0,3.0,0.03333333507180214
