window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
2,8,8.0,3.5683796405792236,3.0,16.0,8.0,9.0,0.03448275849223137,240.0
2,9,112.5,49.69825744628906,20.0,239.0,83.0,104.0,0.7241379022598267,3375.0
2,10,5.199999809265137,3.6460022926330566,0.0,14.0,10.0,3.0,-0.24137930572032928,156.0
2,11,14.133333206176758,7.757719993591309,3.0,33.0,19.0,33.0,0.48275861144065857,424.0
2,12,141.39999389648438,64.86786651611328,55.0,340.0,130.0,106.0,-0.8275862336158752,4242.0
2,13,3.366666555404663,2.4964418411254883,0.0,10.0,4.0,3.0,-0.03448275849223137,101.0
2,14,10.833333015441895,4.8102898597717285,3.0,23.0,8.0,5.0,-0.1034482792019844,325.0
2,15,6.5333333015441895,4.0227131843566895,0.0,18.0,8.0,8.0,0.0,196.0
2,16,5.5333333015441895,4.6312947273254395,0.0,16.0,15.0,3.0,-0.4137931168079376,166.0
2,17,21.600000381469727,11.288932800292969,0.0,41.0,18.0,9.0,-0.3103448152542114,648.0
2,18,24.16666603088379,12.47419548034668,3.0,58.0,20.0,28.0,0.27586206793785095,725.0
2,19,8.366666793823242,6.290115833282471,0.0,24.0,20.0,4.0,-0.5517241358757019,251.0
2,20,6.5,3.293933868408203,0.0,14.0,8.0,9.0,0.03448275849223137,195.0
2,21,39.233333587646484,17.833831787109375,6.0,85.0,44.0,38.0,-0.2068965584039688,1177.0
2,22,85.73332977294922,31.265459060668945,26.0,163.0,80.0,84.0,0.13793103396892548,2572.0
2,23,82.56666564941406,36.88331604003906,25.0,181.0,69.0,61.0,-0.27586206793785095,2477.0
2,24,53.36666488647461,19.873741149902344,18.0,105.0,58.0,59.0,0.03448275849223137,1601.0
2,25,25.16666603088379,8.29491138458252,13.0,50.0,19.0,20.0,0.03448275849223137,755.0
2,26,7.766666889190674,8.92443561553955,0.0,30.0,4.0,30.0,0.8965517282485962,233.0
2,27,133.76666259765625,51.37812805175781,48.0,258.0,153.0,110.0,-1.482758641242981,4013.0
3,0,122.83333587646484,49.31266403198242,40.0,233.0,69.0,111.0,1.4482758045196533,3685.0
3,1,3.866666555404663,3.2324740886688232,0.0,11.0,3.0,1.0,-0.06896551698446274,116.0
3,2,6.5,3.836230754852295,0.0,15.0,0.0,4.0,0.13793103396892548,195.0
3,3,12.600000381469727,6.969457149505615,0.0,25.0,8.0,5.0,-0.1034482792019844,378.0
3,4,5.766666889190674,4.104333877563477,0.0,20.0,5.0,5.0,0.0,173.0
3,5,89.36666870117188,32.18642044067383,30.0,180.0,51.0,76.0,0.8620689511299133,2681.0
3,6,7.0333333015441895,7.507699966430664,0.0,33.0,1.0,5.0,0.13793103396892548,211.0
3,7,113.5999984741211,49.39743423461914,20.0,239.0,60.0,116.0,1.9310344457626343,3408.0
3,8,5.066666603088379,3.5396170616149902,0.0,14.0,1.0,6.0,0.17241379618644714,152.0
3,9,13.833333015441895,7.7377142906188965,3.0,33.0,11.0,10.0,-0.03448275849223137,415.0
3,10,140.6999969482422,65.0999984741211,55.0,340.0,55.0,109.0,1.862069010734558,4221.0
3,11,3.2333333492279053,2.564934492111206,0.0,10.0,3.0,0.0,-0.1034482792019844,97.0
3,12,10.833333015441895,4.8102898597717285,3.0,23.0,4.0,8.0,0.13793103396892548,325.0
3,13,6.366666793823242,4.061882495880127,0.0,18.0,4.0,3.0,-0.03448275849223137,191.0
3,14,5.199999809265137,4.284857273101807,0.0,16.0,1.0,5.0,0.13793103396892548,156.0
3,15,23.799999237060547,12.74990177154541,3.0,58.0,10.0,9.0,-0.03448275849223137,714.0
3,16,7.800000190734863,5.974389553070068,0.0,24.0,10.0,3.0,-0.24137930572032928,234.0
3,17,14.300000190734863,11.633715629577637,0.0,43.0,3.0,13.0,0.3448275923728943,429.0
3,18,6.333333492279053,3.3399932384490967,0.0,14.0,1.0,3.0,0.06896551698446274,190.0
3,19,39.03333282470703,17.812885284423828,6.0,85.0,11.0,38.0,0.931034505367279,1171.0
3,20,85.76667022705078,31.25986099243164,26.0,163.0,68.0,81.0,0.4482758641242981,2573.0
3,21,82.53333282470703,36.89601135253906,25.0,181.0,25.0,68.0,1.482758641242981,2476.0
3,22,52.70000076293945,20.041872024536133,18.0,105.0,43.0,38.0,-0.17241379618644714,1581.0
3,23,6.733333110809326,4.218477725982666,1.0,18.0,5.0,5.0,0.0,202.0
3,24,4.400000095367432,2.7276363372802734,0.0,11.0,3.0,4.0,0.03448275849223137,132.0
3,25,25.03333282470703,8.424105644226074,13.0,50.0,13.0,15.0,0.06896551698446274,751.0
3,26,7.633333206176758,9.00919246673584,0.0,30.0,1.0,0.0,-0.03448275849223137,229.0
3,27,132.43333435058594,51.3807258605957,48.0,258.0,69.0,113.0,1.517241358757019,3973.0
4,0,123.96666717529297,48.445491790771484,40.0,233.0,99.0,103.0,0.13793103396892548,3719.0
4,1,3.799999952316284,3.270066261291504,0.0,11.0,3.0,1.0,-0.06896551698446274,114.0
4,2,5.766666889190674,4.104333877563477,0.0,20.0,3.0,5.0,0.06896551698446274,173.0
4,3,90.43333435058594,31.41834259033203,30.0,180.0,91.0,83.0,-0.27586206793785095,2713.0
4,4,18.700000762939453,11.121001243591309,4.0,44.0,18.0,16.0,-0.06896551698446274,561.0
4,5,33.93333435058594,13.096903800964355,11.0,64.0,24.0,26.0,0.06896551698446274,1018.0
4,6,114.5999984741211,48.59945297241211,20.0,239.0,98.0,90.0,-0.27586206793785095,3438.0
4,7,5.199999809265137,3.4583232402801514,0.0,14.0,4.0,5.0,0.03448275849223137,156.0
4,8,2.5999999046325684,2.0752511024475098,0.0,6.0,0.0,4.0,0.13793103396892548,78.0
4,9,13.766666412353516,7.770385265350342,3.0,33.0,14.0,9.0,-0.17241379618644714,413.0
4,10,142.6666717529297,63.34894561767578,55.0,340.0,104.0,114.0,0.3448275923728943,4280.0
4,11,3.2666666507720947,2.568181276321411,0.0,10.0,0.0,4.0,0.13793103396892548,98.0
4,12,10.866666793823242,4.766083717346191,3.0,23.0,8.0,5.0,-0.1034482792019844,326.0
4,13,6.699999809265137,4.2594990730285645,0.0,18.0,3.0,14.0,0.37931033968925476,201.0
4,14,5.266666889190674,4.234251976013184,0.0,16.0,4.0,3.0,-0.03448275849223137,158.0
4,15,24.133333206176758,12.51328182220459,3.0,58.0,19.0,20.0,0.03448275849223137,724.0
4,16,7.5,6.081392288208008,0.0,24.0,8.0,1.0,-0.24137930572032928,225.0
4,17,39.5,17.24673843383789,6.0,85.0,31.0,25.0,-0.2068965584039688,1185.0
4,18,86.26667022705078,31.0911922454834,26.0,163.0,90.0,83.0,-0.24137930572032928,2588.0
4,19,83.80000305175781,35.52595138549805,33.0,181.0,76.0,63.0,-0.4482758641242981,2514.0
4,20,52.29999923706055,20.348873138427734,18.0,105.0,50.0,31.0,-0.6551724076271057,1569.0
4,21,6.733333110809326,4.218477725982666,1.0,18.0,5.0,5.0,0.0,202.0
4,22,4.333333492279053,2.7848799228668213,0.0,11.0,3.0,1.0,-0.06896551698446274,130.0
4,23,7.9666666984558105,8.942346572875977,0.0,30.0,3.0,11.0,0.27586206793785095,239.0
4,24,133.60000610351562,50.313419342041016,48.0,258.0,88.0,104.0,0.5517241358757019,4008.0
