seed,strategy,item_id,store_id,rmse,mae,bias,pocid,score,train_time,inference_time,best_epoch,n_rows,status
42,best_val,224457,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,224539,6269,5.427869489648335,4.119324207305908,-2.171951910382823,0.6158940397350994,4.28675377424635,8.211804628372192,0.06600022315979004,21,761,ok
42,best_val,224540,6269,3.529422118134366,2.903776168823242,-0.1502097452941694,0.4966887417218543,2.5282075375965363,9.186030626296997,0.0670006275177002,41,761,ok
42,best_val,226596,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,228260,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,228261,6269,3.0518828099401047,2.633237838745117,1.1988252981712944,0.4304635761589404,2.4839571891991556,7.390618801116943,0.06600046157836914,3,761,ok
42,best_val,228262,6269,3.941585298522327,2.940438985824585,-0.6132038816025382,0.48344370860927155,2.8592033661179443,7.269470453262329,0.06700015068054199,1,761,ok
42,best_val,228264,6269,3.5923505629091235,2.8743560314178467,0.12242529502040461,0.4966887417218543,2.5453706130641245,8.226227521896362,0.06500005722045898,21,761,ok
42,best_val,228266,6269,3.4971988913199117,2.838284492492676,0.5106352865695953,0.39072847682119205,2.5858293904255234,7.423991680145264,0.0653996467590332,4,761,ok
42,best_val,228267,6269,4.614606984969838,3.872887372970581,1.8987795694878227,0.4900662251655629,3.7502202280995203,7.923149108886719,0.06500005722045898,13,761,ok
42,best_val,228821,6269,,,,,,,,,748,skipped_insufficient_data
42,best_val,230233,6269,,,,,,,,,749,skipped_insufficient_data
42,best_val,233391,6269,2.5460625973458058,2.0525782108306885,-0.2107394227856084,0.4768211920529801,1.8388607070769771,8.277998924255371,0.0670003890991211,22,761,ok
42,best_val,236593,6269,3.0360503579688936,2.4296610355377197,-0.4737449774616643,0.4370860927152318,2.2438766822342924,7.908686876296997,0.06399989128112793,14,761,ok
42,best_val,236612,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,236689,6269,4.508871658160248,3.713303327560425,2.7393057236545966,0.3708609271523179,3.8675880918838796,9.746258735656738,0.06800007820129395,53,761,ok
42,best_val,236717,6269,3.3310186137558566,2.549179792404175,-1.4386886703340631,0.5298013245033113,2.662476422562488,7.894997835159302,0.06699848175048828,14,761,ok
42,best_val,236770,6269,3.5234855428664065,2.755352735519409,0.12361433631495426,0.4966887417218543,2.4814845393917944,7.315462589263916,0.06300044059753418,3,761,ok
42,best_val,236781,6269,3.8274932962928236,2.951850175857544,0.026515931675308628,0.5562913907284768,2.658338175029625,8.53061819076538,0.06500053405761719,27,761,ok
42,best_val,236783,6269,2.767294083733769,2.1644840240478516,-1.1147328885762315,0.4768211920529801,2.203451270022905,9.174065351486206,0.06500077247619629,40,761,ok
42,best_val,236803,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,236812,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,236821,6269,3.991158250088074,2.9680545330047607,-0.749249614383045,0.4105960264900662,2.924905161890988,7.723212957382202,0.06500077247619629,11,761,ok
42,best_val,236825,6269,2.9689979851196484,2.2204322814941406,-0.6305703740370902,0.5761589403973509,2.1972496564426316,7.857623815536499,0.06299948692321777,14,761,ok
42,best_val,236907,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,236937,6269,,,,,,,,,759,skipped_insufficient_data
42,best_val,236972,6269,2.2475709519097298,1.8814313411712646,-0.5941542559548428,0.47019867549668876,1.7426818752363917,7.179965496063232,0.06399917602539062,1,761,ok
42,best_val,237156,6269,3.49191289927254,2.648405075073242,0.3219940111433205,0.33112582781456956,2.488556221190411,12.654484033584595,0.06500124931335449,115,761,ok
42,best_val,237188,6269,3.7408002539860594,2.9451520442962646,0.7915313047798056,0.5099337748344371,2.804570964262047,12.625424861907959,0.0670003890991211,112,761,ok
42,best_val,237238,6269,3.365994908257009,2.688624620437622,0.25976142444108663,0.48344370860927155,2.4200939653481814,7.277697801589966,0.06500029563903809,1,761,ok
42,best_val,237361,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,237377,6269,2.637549782233459,2.1334526538848877,0.4082582392974904,0.5629139072847682,1.954202614412324,7.801138877868652,0.06600022315979004,13,761,ok
42,best_val,237378,6269,,,,,,,,,757,skipped_insufficient_data
42,best_val,237527,6269,2.6410170044068098,2.0826547145843506,-0.07739639282226562,0.4304635761589404,1.860521279055059,7.331894397735596,0.06636238098144531,3,761,ok
42,best_val,237548,6269,,,,,,,,,740,skipped_insufficient_data
42,best_val,237557,6269,2.682208418557334,2.251145601272583,1.0649414870299792,0.46357615894039733,2.1701259813543077,7.965295314788818,0.06600117683410645,16,761,ok
42,best_val,237558,6269,3.128395372228464,2.3941619396209717,0.12580060174590663,0.5231788079470199,2.1941883214559517,8.903085470199585,0.06699943542480469,35,761,ok
42,best_val,237860,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,241836,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,241837,6269,2.2285758569519705,1.7448770999908447,0.3643903434276581,0.44370860927152317,1.641604789330611,7.270726442337036,0.06400012969970703,3,761,ok
42,best_val,250275,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,251734,6269,4.1653517110454175,3.2255759239196777,-1.6124780664318485,0.5629139072847682,3.29218935311059,7.687795639038086,0.0670003890991211,10,761,ok
42,best_val,251737,6269,2.5742694114597056,1.9943138360977173,-0.5999482230920541,0.45695364238410596,1.9357002205272957,8.032505512237549,0.06499886512756348,17,761,ok
42,best_val,251738,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,251739,6269,5.201534727004651,3.9813361167907715,-0.02832825874027453,0.3841059602649007,3.6031834573850867,7.318448066711426,0.06699967384338379,1,761,ok
42,best_val,251742,6269,4.788675164992446,3.828691244125366,1.1158297913345068,0.45695364238410596,3.6304678413611913,9.867900133132935,0.06500005722045898,54,761,ok
42,best_val,255365,6269,6.0842198113554895,4.940648078918457,1.9566527197235508,0.5099337748344371,4.766435105338246,7.334588289260864,0.06599926948547363,3,761,ok
42,best_val,255369,6269,4.307998297900871,3.5957634449005127,1.1008416565355699,0.39072847682119205,3.328150424309456,9.591894626617432,0.06637239456176758,48,761,ok
42,best_val,255373,6269,5.768012981511294,4.7612433433532715,2.0352305299357365,0.5099337748344371,4.5831249590778995,8.622197389602661,0.0690000057220459,29,761,ok
42,best_val,256332,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,257227,6269,2.7941597486577763,2.2261219024658203,0.19481127983645388,0.4503311258278146,2.0023131699044567,7.530668497085571,0.06300020217895508,6,761,ok
42,best_val,266541,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,266557,6269,,,,,,,,,728,skipped_insufficient_data
42,best_val,266558,6269,3.396310987209266,2.7058322429656982,0.11555529023079496,0.4105960264900662,2.4035023769037562,12.678625345230103,0.06800055503845215,113,761,ok
42,best_val,266560,6269,,,,,,,,,728,skipped_insufficient_data
42,best_val,267869,6269,2.9465949304689194,2.3195555210113525,-0.3354174251619138,0.5033112582781457,2.137040701777776,8.333515644073486,0.06730818748474121,23,761,ok
42,best_val,268150,6269,3.554453680711391,2.9946348667144775,0.8884638359672145,0.4370860927152318,2.7480015160261186,7.994299411773682,0.06300044059753418,18,761,ok
42,best_val,268177,6269,11.094126520349032,9.367886543273926,2.988298631028125,0.543046357615894,8.636109553750028,8.65045166015625,0.06400489807128906,29,761,ok
42,best_val,268187,6269,,,,,,,,,756,skipped_insufficient_data
42,best_val,270072,6269,,,,,,,,,759,skipped_insufficient_data
42,best_val,270076,6269,8.09260604020563,6.863821029663086,6.138078902897082,0.3509933774834437,7.296778003242857,11.052621603012085,0.06600046157836914,71,761,ok
42,best_val,279095,6269,2.827576642064375,2.209960460662842,-0.13223093591238322,0.48344370860927155,1.9993361701759937,7.743721961975098,0.06400060653686523,9,761,ok
42,best_val,281044,6269,2.1516640588619977,1.6189850568771362,-1.2430879663167473,0.2781456953642384,1.7913502852294698,10.893909692764282,0.07199954986572266,76,761,ok
42,best_val,281727,6269,2.3673171206196386,1.8560618162155151,-0.033581089816595376,0.4966887417218543,1.656069286817847,7.797086000442505,0.06500029563903809,11,761,ok
42,best_val,281729,6269,,,,,,,,,760,skipped_insufficient_data
42,best_val,285024,6269,,,,,,,,,759,skipped_insufficient_data
42,best_val,285551,6269,,,,,,,,,758,skipped_insufficient_data
42,best_val,285972,6269,3.2073242945723774,2.6022355556488037,-0.8809969174234491,0.5099337748344371,2.4744702655542516,8.893119812011719,0.07000041007995605,33,761,ok
