Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
65495,2.1194029850746268,1.0,2.350471172931885,14,173,0.0008599033272770316,0.008228048003202088,0.9016889858475141
26254,2.8623548922056385,2.0,3.1658353074848753,24,110,0.0011400470897611299,0.008207852813461683,0.9041360566286334
48369,2.7611940298507465,2.0,3.0500555795981255,33,115,0.0014888577128002935,0.008116011882379969,0.9052900528829152
29629,2.3233830845771144,1.0,2.985853961285084,28,182,0.0007612971290190852,0.00809528622384876,0.7781275753692258
971261,2.986733001658375,2.0,2.723247337228753,26,81,0.0016016231539592145,0.007951022105553316,1.0967501898655454
6032,3.1376451077943615,2.0,3.5844642334502415,33,90,0.0015757587486883943,0.007897057200751487,0.8753431893899307
237377,2.416252072968491,2.0,2.696512313377018,20,166,0.0009892948246394274,0.007858983896773282,0.8960623322053924
14895,2.691542288557214,2.0,2.57447183901282,16,97,0.0012286759516710814,0.007671605715577633,1.045469518475718
153656,2.630182421227197,2.0,2.586651112923715,17,107,0.001474945312707591,0.007667135207415059,1.0168252841804584
278,2.958540630182421,2.0,3.881316286050707,35,106,0.0012925035087905524,0.007654056645362563,0.7622499146271903
110358,2.3764510779436154,2.0,3.045140109106784,22,174,0.0009226987599162712,0.007611714538559382,0.7804052321876132
624334,2.3034825870646767,2.0,2.2539674571274664,14,117,0.0011123920816311827,0.007605618258607227,1.0219634538848943
11346,2.2454394693200666,2.0,2.729871293274677,26,167,0.0009312069345586558,0.0075391598384843,0.8225410661085962
158884,3.111111111111111,2.0,3.4128708572818143,35,98,0.00137132992277556,0.007537482132072529,0.9115791734930215
146764,2.494195688225539,2.0,2.7867043026656964,22,156,0.0010999166882802312,0.00746755406715663,0.8950309997116167
151441,2.316749585406302,2.0,2.5968793714053873,20,146,0.0010827792173370321,0.007418436608376183,0.8921248671261344
962446,2.504145936981758,2.0,2.9643374038800583,26,130,0.0011547254880685106,0.007406787621020012,0.8447545431767076
289177,2.353233830845771,2.0,2.7522826931960953,19,154,0.000904405436756265,0.007380381368501125,0.8550085667353505
7274,1.87893864013267,1.0,2.3577832439438455,14,244,0.0010354955209138526,0.0073720480565443655,0.7969056001661101
66404,2.716417910447761,2.0,3.4517540575926144,40,136,0.000935987261749286,0.007367791844033115,0.7869651184508507
54908,2.756218905472637,2.0,2.792777993427203,28,113,0.0015142827651471497,0.007314997070877268,0.9869058847142601
113627,2.0033167495854065,1.0,2.8633885475597904,25,208,0.0008679943201125871,0.007308734343622835,0.6996290304375016
299448,2.0364842454394694,1.0,2.5422458263888634,20,200,0.0006601027664970792,0.007307742784477773,0.8010540183645424
13544,2.4792703150912105,2.0,2.968181423042946,30,135,0.0011983561891515664,0.007299084649038289,0.8352797922141757
14092,2.4543946932006633,1.0,3.2719461485143375,28,169,0.0011468198093322651,0.007298998007407781,0.7501306807901763
113775,2.494195688225539,2.0,3.1870201319686466,34,151,0.0010259899161196482,0.007215595244162035,0.7826081288678812
205271,2.1774461028192373,2.0,2.446784625444994,28,161,0.0007576671145391627,0.007154713591119794,0.8899178051869511
21177,2.812603648424544,2.0,3.184181521309682,28,117,0.0015667032271578364,0.007149805466396713,0.8833022855571511
14087,2.4560530679933663,2.0,2.5082237563218888,16,123,0.001036034219180371,0.007145673597493528,0.9791962418985058
65434,2.537313432835821,2.0,2.6870830534715617,20,138,0.0012330054654545756,0.007115830026541711,0.9442596078158758
55302,2.339966832504146,2.0,2.381279530953557,24,124,0.0009539519213760231,0.007070658961939585,0.9826469238988912
26220,2.684908789386401,2.0,2.9315385367318596,25,111,0.0010882355363441777,0.00706975887791202,0.9158670769884586
86678,2.5986733001658373,2.0,2.5681035386979354,19,120,0.0011195266652720432,0.007054417767510675,1.011899692520369
12042,2.4792703150912105,2.0,2.7979176333153526,19,145,0.0009194901391131133,0.007038546708759785,0.886109521050566
11130,3.155887230514096,2.0,3.280007938026756,24,94,0.0014322390198861098,0.006999229917310103,0.9621554790681003
150854,2.240464344941957,1.0,2.6579873275603987,16,170,0.0007567652794877611,0.006981749277695959,0.8429144460421005
158883,2.4809286898839136,2.0,2.818598113118129,19,146,0.0012159810222277156,0.006874988504091484,0.8801963913810451
281044,2.252072968490879,2.0,2.5056105894278637,22,156,0.0010048604685635144,0.006872543305011432,0.8988084540784844
113632,2.2056384742951907,1.0,3.287874307411852,36,170,0.0007451094717767002,0.0068541219505926804,0.6708382254579448
13400,2.4660033167495854,2.0,3.443948972333277,34,147,0.001055400828133038,0.006819278991266105,0.716037367622551
213633,2.4096185737976783,2.0,2.550915750202295,18,132,0.0010834774866359705,0.0068113968100848845,0.9446055313866305
498,2.60530679933665,2.0,3.0550675673702457,24,128,0.0011940048608127982,0.006800913293299366,0.8527792639907502
19563,2.2139303482587063,2.0,2.468845005964059,20,130,0.0008580540441661545,0.006716523884012536,0.8967437710641061
117955,1.913764510779436,1.0,2.591450337169799,23,202,0.0006395030957205192,0.006682202622854955,0.7384888293793097
154813,2.3565505804311773,1.0,3.1869191663966676,32,155,0.001124775649185443,0.006666514877873629,0.739442409099928
11587,2.417910447761194,2.0,3.085483737729735,26,157,0.0006849975671530122,0.006663702844488759,0.7836380992107473
606230,2.767827529021559,2.0,2.9550237893223565,29,108,0.0013603385247464175,0.006646565432515156,0.9366483520502392
198401,2.759535655058043,2.0,2.711113626873025,17,101,0.0016516036091417336,0.006633270936130735,1.0178568132065802
21164,2.487562189054726,2.0,3.2098151495413862,45,122,0.0009469633680671641,0.006612301699024871,0.7749837057043883
907196,2.3134328358208953,1.0,2.67032125011623,19,145,0.0010046855927563704,0.006606358115882077,0.8663467634287694
13339,2.1791044776119404,1.0,3.5638354682103586,32,271,0.00089166043286255,0.006598758001205648,0.6114475212378421
213635,3.067993366500829,2.0,2.884226063728188,24,87,0.001694324427200888,0.006587503065174425,1.0637109094791342
151818,3.298507462686567,3.0,3.586474651483269,33,78,0.0016489395439992643,0.006576355749519175,0.9197048874368937
26768,2.6550580431177444,2.0,2.755441495015253,20,117,0.001507137807813615,0.006562444047494448,0.9635655165481499
204525,1.8590381426202323,1.0,2.535001493885397,16,230,0.0004605918399085965,0.006554012127493836,0.7333450546888431
652014,2.2902155887230515,1.0,2.7421566943933167,17,149,0.0008084266312634509,0.006508266345841605,0.8351846710871617
157976,2.0033167495854065,1.0,2.5781301690035776,20,206,0.0006502635515958864,0.006501272630163675,0.777039500672171
154812,2.1177446102819237,1.0,2.7228655683428387,24,180,0.0007903399781271497,0.006448804130570749,0.7777603335619182
213624,3.0812603648424544,2.0,2.9772543591831093,23,75,0.001334926892552566,0.006426048177242103,1.0349300542756905
66411,2.230514096185738,1.0,2.8936249883466902,21,171,0.0008509251725988322,0.006425233214599681,0.770834644026808
526765,2.6401326699834162,2.0,3.0898401933125315,34,107,0.001192125941356903,0.00642109824779999,0.8544532921685154
11355,2.18407960199005,1.0,2.534853944058702,15,160,0.0008836276854529698,0.006409732383077348,0.8616161065011667
66409,2.570480928689884,2.0,3.02388352559025,30,107,0.0012986608809694477,0.006398386407977809,0.8500566924518739
70095,2.4096185737976783,2.0,2.6610089896325846,22,143,0.0011883541005505264,0.006377054468862711,0.9055247569392137
113623,1.978441127694859,1.0,2.4067069547281896,14,190,0.0005777301138192591,0.00634910788448797,0.8220497735755972
606257,2.646766169154229,2.0,3.1763432133515934,29,132,0.0012594868023648221,0.0063345647980809884,0.8332719919273209
636602,1.9734660033167495,1.0,2.8041592704442366,21,224,0.00048048591846371996,0.006334374832814331,0.7037613685154295
66570,2.172470978441128,2.0,2.308705501273851,13,147,0.0007726371007751225,0.006310153348525117,0.9409868722423576
610561,2.1691542288557213,1.0,2.3182691650209843,16,151,0.001014891817586618,0.006308031134900052,0.9356742973774199
161336,2.4908789386401327,2.0,3.2656562134455394,35,141,0.0010655711776378397,0.00625268569719448,0.7627475607839467
297737,2.6782752902155886,2.0,3.498302219421728,31,141,0.0009776656687858808,0.006236776718701195,0.7655906969499446
132688,2.6932006633499173,2.0,2.891699713840363,20,114,0.0011255603487487528,0.006211970820633802,0.931352358938265
103781,2.3665008291873963,1.0,3.094960145634723,28,139,0.0010444803372076051,0.00619985774424229,0.7646279989243868
219721,2.4527363184079602,2.0,3.2774932238874124,39,146,0.0010772631470294326,0.0061872874046456465,0.7483551199985686
268177,2.1044776119402986,1.0,2.519712634135059,19,187,0.0008983720816726038,0.006175058947348675,0.8352020906708644
65878,2.5771144278606966,2.0,2.5133686271406064,23,113,0.001245842584502874,0.00610663254503074,1.0253586149065812
21322,2.1376451077943615,1.0,2.6137712395994024,24,169,0.001066013021601302,0.006066157873180314,0.8178362731389046
65981,2.4378109452736316,2.0,2.4732123418019314,14,129,0.0012188078183968673,0.006062376436751624,0.9856820812549753
70079,2.1940298507462686,2.0,2.4360131456015233,13,183,0.0012613011708066243,0.006031410653703916,0.9006605108444076
